mode,strategy,chain_seed,round,signed_final
same,fresh,0,1,0.001747
same,fresh,1,1,0.012148
same,fresh,2,1,0.006762
same,fresh,3,1,-0.005660
same,fresh,4,1,0.025559
same,fresh,5,1,0.014660
same,fresh,6,1,0.027444
same,fresh,7,1,-0.022901
same,fresh,8,1,0.038099
same,fresh,9,1,-0.002735
same,fresh,10,1,0.027738
same,fresh,11,1,0.021816
same,fresh,12,1,0.021675
same,fresh,13,1,0.008857
same,fresh,14,1,0.007654
same,fresh,15,1,0.019542
same,fresh,16,1,0.004158
same,fresh,17,1,0.020327
same,fresh,18,1,0.039389
same,fresh,19,1,-0.010203
same,fresh,20,1,-0.000065
same,fresh,21,1,-0.003940
same,fresh,22,1,0.002546
same,fresh,23,1,0.019347
same,fresh,24,1,0.047303
same,fresh,25,1,0.046595
same,fresh,26,1,0.022905
same,fresh,27,1,0.046864
same,fresh,28,1,0.019615
same,fresh,29,1,0.020910
same,fresh,30,1,0.008573
same,fresh,31,1,-0.003172
same,fresh,32,1,0.026446
same,fresh,33,1,0.016629
same,fresh,34,1,0.004082
same,fresh,35,1,0.035108
same,fresh,36,1,0.036827
same,fresh,37,1,0.046586
same,fresh,38,1,0.021547
same,fresh,39,1,-0.010341
same,fresh,0,2,-0.000611
same,fresh,1,2,0.048577
same,fresh,2,2,-0.004148
same,fresh,3,2,-0.006508
same,fresh,4,2,0.011890
same,fresh,5,2,0.019115
same,fresh,6,2,-0.014025
same,fresh,7,2,0.016107
same,fresh,8,2,0.010238
same,fresh,9,2,0.005331
same,fresh,10,2,0.002489
same,fresh,11,2,0.036352
same,fresh,12,2,0.014477
same,fresh,13,2,0.002127
same,fresh,14,2,0.048205
same,fresh,15,2,-0.008567
same,fresh,16,2,0.020844
same,fresh,17,2,0.005563
same,fresh,18,2,0.013197
same,fresh,19,2,0.025174
same,fresh,20,2,-0.002262
same,fresh,21,2,0.038830
same,fresh,22,2,0.042464
same,fresh,23,2,0.037174
same,fresh,24,2,0.032735
same,fresh,25,2,0.012455
same,fresh,26,2,0.026676
same,fresh,27,2,0.011458
same,fresh,28,2,0.030774
same,fresh,29,2,0.011370
same,fresh,30,2,0.014475
same,fresh,31,2,-0.003374
same,fresh,32,2,0.025909
same,fresh,33,2,-0.004445
same,fresh,34,2,0.011498
