trial,dstar,t_pulses,ok_flat,ok_hier_vote,ok_hier_meta,d_flat,d_hier_vote,d_hier_meta
0,-1,1200;700;700,1,1,1,-0.13722407702733158,-0.1613861305364153,-0.2385198620379675
1,1,150;700;350,1,1,1,0.1023680408344528,0.08947959408043978,0.12205274957119128
2,-1,1200;700;350,1,1,1,-0.12829531402013594,-0.2933577261257595,-0.16585021742861175
3,1,1200;150;1200,0,0,0,-0.0844427971830401,-0.09071909309897304,-0.1164333908385632
4,1,1200;1200;700,1,1,1,0.2696350671765429,0.010165451899211994,0.0668113021370909
5,1,150;350;700,1,1,1,0.236003813249077,0.13597560746401868,0.18253652222578953
6,-1,150;150;150,1,1,1,-0.004734547977131523,-0.1073095528375528,-0.11588192461584866
7,-1,150;1200;700,1,1,1,-0.12592008290369228,-0.13312130895684374,-0.17502403299847832
8,1,1200;150;700,1,1,1,0.10250362837357152,0.2343409072126784,0.2173671013595275
9,-1,700;150;1200,1,1,1,-0.09136944685985822,-0.20907687339555756,-0.21536086063300594
10,1,700;350;700,1,1,1,0.3704980204329055,0.23278739528211023,0.23820725923859518
11,-1,700;350;350,1,1,1,-0.14970000837919106,-0.13254450899449663,-0.12433582128369201
12,-1,700;700;700,1,1,1,-0.35144266166744503,-0.32035793588468303,-0.3139593693954932
13,-1,700;700;150,1,1,1,-0.0844798414640589,-0.22832882405882848,-0.2319181570596456
14,-1,700;150;350,1,1,1,-0.2417949192142978,-0.20480854887600877,-0.2584022130496852
15,1,1200;1200;350,0,0,0,-0.1693027115296017,-0.02224849590925709,-0.016039984626689596
16,1,350;700;700,1,1,1,0.3745240505424944,0.13278623949793883,0.048108689836607384
17,1,350;350;1200,0,0,0,-0.10311951088165419,-0.31614402796547386,-0.30888020757398565
18,-1,700;1200;150,1,1,1,-0.40134420912824886,-0.356834395733115,-0.31970555533839046
19,-1,700;350;150,1,1,1,-0.2709957588117326,-0.2273476250541071,-0.19379073810655592
