condition,depth,acc_group_test,acc_ident_test
ATTRACTIVE,0,0.6465,0.8529
ATTRACTIVE,1,0.6570,0.8300
ATTRACTIVE,2,0.6612,0.7678
ATTRACTIVE,3,0.6473,0.6759
ATTRACTIVE,5,0.6015,0.5636
ATTRACTIVE,8,0.5788,0.5250
ATTRACTIVE,12,0.5766,0.5197
ATTRACTIVE,20,0.5766,0.5187
ATTRACTIVE,30,0.5766,0.5185
ATTRACTIVE,40,0.5766,0.5185
DOUBT,0,0.6465,0.8529
DOUBT,1,0.6524,0.8431
DOUBT,2,0.6560,0.8351
DOUBT,3,0.6562,0.8351
DOUBT,5,0.6510,0.8462
DOUBT,8,0.6418,0.8561
DOUBT,12,0.6345,0.8560
DOUBT,20,0.6297,0.8549
DOUBT,30,0.6282,0.8556
DOUBT,40,0.6272,0.8562
NO_UPDATE,0,0.6465,0.8529
NO_UPDATE,1,0.6465,0.8529
NO_UPDATE,2,0.6465,0.8529
NO_UPDATE,3,0.6465,0.8529
NO_UPDATE,5,0.6465,0.8529
NO_UPDATE,8,0.6465,0.8529
NO_UPDATE,12,0.6465,0.8529
NO_UPDATE,20,0.6465,0.8529
NO_UPDATE,30,0.6465,0.8529
NO_UPDATE,40,0.6465,0.8529
RESIDUAL_MLP,0,0.6465,0.8529
RESIDUAL_MLP,1,0.6538,0.8238
RESIDUAL_MLP,2,0.6557,0.7596
RESIDUAL_MLP,3,0.6414,0.6717
RESIDUAL_MLP,5,0.5959,0.5579
RESIDUAL_MLP,8,0.5625,0.5213
RESIDUAL_MLP,12,0.5503,0.5128
RESIDUAL_MLP,20,0.5449,0.5090
RESIDUAL_MLP,30,0.5321,0.5049
RESIDUAL_MLP,40,0.5226,0.5064
