condition,depth,acc_group_test,acc_ident_test
ATTRACTIVE,0,0.6406,0.8542
ATTRACTIVE,1,0.6512,0.8303
ATTRACTIVE,2,0.6577,0.7654
ATTRACTIVE,3,0.6470,0.6701
ATTRACTIVE,5,0.6067,0.5585
ATTRACTIVE,8,0.5822,0.5224
ATTRACTIVE,12,0.5788,0.5158
ATTRACTIVE,20,0.5784,0.5155
ATTRACTIVE,30,0.5784,0.5155
ATTRACTIVE,40,0.5784,0.5155
ATTRACTIVE,60,0.5784,0.5155
ATTRACTIVE,90,0.5784,0.5155
ATTRACTIVE,120,0.5784,0.5155
DOUBT,0,0.6406,0.8542
DOUBT,1,0.6480,0.8430
DOUBT,2,0.6501,0.8350
DOUBT,3,0.6501,0.8347
DOUBT,5,0.6458,0.8465
DOUBT,8,0.6359,0.8581
DOUBT,12,0.6279,0.8599
DOUBT,20,0.6228,0.8592
DOUBT,30,0.6216,0.8597
DOUBT,40,0.6208,0.8606
DOUBT,60,0.6191,0.8618
DOUBT,90,0.6168,0.8630
DOUBT,120,0.6152,0.8643
NO_UPDATE,0,0.6406,0.8542
NO_UPDATE,1,0.6406,0.8542
NO_UPDATE,2,0.6406,0.8542
NO_UPDATE,3,0.6406,0.8542
NO_UPDATE,5,0.6406,0.8542
NO_UPDATE,8,0.6406,0.8542
NO_UPDATE,12,0.6406,0.8542
NO_UPDATE,20,0.6406,0.8542
NO_UPDATE,30,0.6406,0.8542
NO_UPDATE,40,0.6406,0.8542
NO_UPDATE,60,0.6406,0.8542
NO_UPDATE,90,0.6406,0.8542
NO_UPDATE,120,0.6406,0.8542
RESIDUAL_MLP,0,0.6406,0.8542
RESIDUAL_MLP,1,0.6499,0.8256
RESIDUAL_MLP,2,0.6546,0.7585
RESIDUAL_MLP,3,0.6409,0.6662
RESIDUAL_MLP,5,0.5975,0.5569
RESIDUAL_MLP,8,0.5766,0.5169
RESIDUAL_MLP,12,0.5657,0.5100
RESIDUAL_MLP,20,0.5514,0.5076
RESIDUAL_MLP,30,0.5439,0.5086
RESIDUAL_MLP,40,0.5284,0.5060
RESIDUAL_MLP,60,0.5219,0.5061
RESIDUAL_MLP,90,0.5089,0.5034
RESIDUAL_MLP,120,0.5061,0.5009
