seed,cut_full_half1,cut_full_half2,cut_froz_half1,cut_froz_half2,cut_full,E_full,cut_froz,E_froz,identical,t_best_full,t_best_froz,n_improve_full,n_improve_froz,t_div_v,t_div_s,s_final_equal,u_mean_full_end,v_maxdiff_end,cut_best_of_random,cut_expected_random
0,74.22,74.0,75.26,74.42,90.0,26.0,92.0,30.0,False,20,20,2,2,1,20,False,0.7818473848227253,3.8293437936167916,95.0,77.0
1,74.38,75.0,73.03333333333333,75.99333333333334,77.0,4.0,80.0,10.0,False,860,2840,4,6,1,50,False,0.8200425628867254,3.8922068846690925,94.0,75.0
2,66.88666666666667,66.85333333333334,66.74666666666667,67.48666666666666,77.0,16.0,77.0,16.0,True,0,0,1,1,1,60,True,0.8455546366350464,1.706772469075125,83.0,69.0
3,79.84666666666666,80.0,79.6,80.87333333333333,81.0,12.0,85.0,20.0,False,60,2510,5,8,1,30,True,0.8409207386655954,1.6625799880797385,94.0,75.0
4,73.07333333333334,73.04666666666667,72.54,72.90666666666667,81.0,18.0,81.0,18.0,True,40,40,3,3,1,10,True,0.8061830851774308,1.5626982011416901,92.0,72.0
5,82.72666666666667,83.0,81.21333333333334,82.33333333333333,85.0,21.0,86.0,23.0,False,80,170,4,5,1,30,False,0.8365311940826444,4.525399239429957,94.0,74.5
6,74.42,74.16,74.13333333333334,73.36666666666666,79.0,11.0,79.0,11.0,True,0,0,1,1,1,40,False,0.8050997797202407,4.166078153511546,95.0,73.5
7,79.98666666666666,80.10666666666667,78.62666666666667,80.05333333333333,85.0,15.0,86.0,17.0,False,20,30,2,3,1,30,True,0.7898850014548401,1.6367931251978443,96.0,77.5
8,77.18,78.0,77.11333333333333,76.88,79.0,28.0,80.0,30.0,False,60,1420,5,5,1,20,False,0.8119546066676603,4.590863232868668,84.0,65.0
9,59.36,58.68,59.92666666666667,58.78666666666667,75.0,9.0,75.0,9.0,True,20,20,2,2,1,50,True,0.8136993641778504,2.1592596531920516,88.0,70.5
