seed,cut_full_half1,cut_full_half2,cut_froz_half1,cut_froz_half2,cut_full,E_full,cut_froz,E_froz,identical,t_best_full,t_best_froz,n_improve_full,n_improve_froz,t_div_v,t_div_s,s_final_equal,u_mean_full_end,v_maxdiff_end,cut_best_of_random,cut_expected_random
10,69.59333333333333,70.0,69.53333333333333,70.02,73.0,9.0,75.0,13.0,False,40,2040,2,4,1,30,True,0.7909880048775687,1.4484549365357802,84.0,68.5
11,78.58666666666667,80.0,78.67333333333333,78.92666666666666,81.0,8.0,83.0,12.0,False,750,1020,10,12,1,20,True,0.8145529097979233,1.7525234410303328,93.0,77.0
12,77.3,77.0,76.25333333333333,77.63333333333334,84.0,16.0,84.0,16.0,True,30,30,3,3,1,10,False,0.8093525216747824,3.7863588796222056,95.0,76.0
13,78.0,78.0,77.20666666666666,77.23333333333333,81.0,20.0,81.0,20.0,True,730,1610,5,5,1,10,True,0.8089923237298362,1.6033528372460946,87.0,71.0
14,69.60666666666667,69.8,69.81333333333333,69.91333333333333,75.0,16.0,75.0,16.0,True,30,30,2,2,1,40,False,0.7431115486568842,4.206636570733318,85.0,67.0
15,68.34,68.0,67.77333333333333,69.49333333333334,84.0,30.0,84.0,30.0,True,0,0,1,1,1,40,False,0.8247291031500147,3.8824974327035626,85.0,69.0
16,80.78666666666666,81.0,81.13333333333334,80.65333333333334,83.0,16.0,84.0,18.0,False,1310,750,7,8,1,20,False,0.771856723526739,3.4429494772864078,93.0,75.0
17,74.74,75.14666666666666,74.52666666666667,74.3,86.0,16.0,86.0,16.0,True,10,10,2,2,1,20,False,0.8159811302550779,4.102879287457582,95.0,78.0
18,57.96666666666667,58.0,57.593333333333334,57.62,67.0,-1.0,69.0,3.0,False,30,40,3,5,1,20,False,0.7964029307961701,4.426989888095366,81.0,67.5
19,75.66666666666667,75.84666666666666,74.78,75.76666666666667,84.0,11.0,84.0,11.0,True,30,30,2,2,1,50,True,0.8004133394012044,1.7994194481853916,93.0,78.5
