seed,cut_full,cut_froz,E_full,E_froz,identical,ident_cut_only,ident_E_only,affine_residual,t_best_full,t_best_froz,hamming_best,frac_s_equal,frac_cut_equal,hamming_median,cut_visited_sd,sd_early_full,sd_late_full,sd_early_froz,sd_late_froz,sd_uniform,max_cut_late_full,max_cut_late_froz,hamming_early,hamming_late,frac_s_equal_early,frac_s_equal_late,cut_mean_early_full,cut_mean_late_full,full_best_seen_by_froz,froz_best_seen_by_full,s_equal_at_best,n_states_full,n_states_froz,n_states_common,cut_rnd_a,cut_rnd_b,rnd_collision,sum_abs_J,cut_expected_random,J_values_ok,trace_J
0,90.0,92.0,26.0,30.0,False,False,False,0.0,20,20,1,0.30333333333333334,0.39,1.0,2.122743900395586,3.409301003627185,0.0,3.6668181786878327,2.606115525917976,6.189090962128445,74.0,81.0,0.1,1.4074074074074074,0.9,0.23703703703703705,75.1,74.0,False,False,False,25,50,13,95.0,96.0,False,308.0,77.0,True,0.0
1,77.0,80.0,4.0,10.0,False,False,False,0.0,860,2840,7,0.23666666666666666,0.32666666666666666,1.0,2.0370723818482466,2.8715075405709025,0.4605716016802908,2.860458393723325,2.2343987385666177,6.068381250383005,77.0,80.0,0.5,1.885185185185185,0.6333333333333333,0.1925925925925926,71.43333333333334,75.05185185185185,False,False,False,29,48,12,94.0,90.0,False,300.0,75.0,True,0.0
2,77.0,77.0,16.0,16.0,True,True,True,0.0,0,0,0,0.37,0.43666666666666665,1.0,1.5652333869284656,2.1437246921084694,0.4319382417878658,2.15225979431439,1.9924549036828605,5.8407169936575425,67.0,72.0,0.1,1.114814814814815,0.9,0.3111111111111111,67.93333333333334,66.75185185185185,True,True,True,14,30,11,83.0,86.0,False,276.0,69.0,True,0.0
3,81.0,85.0,12.0,20.0,False,False,False,0.0,60,2510,6,0.37333333333333335,0.41333333333333333,1.0,1.7195735905547436,3.148368184031566,0.0,3.084729413669139,2.0586230032257364,6.083047735305058,80.0,85.0,0.3333333333333333,0.9407407407407408,0.7,0.337037037037037,79.23333333333333,80.0,True,False,True,16,31,11,94.0,95.0,False,300.0,75.0,True,0.0
4,81.0,81.0,18.0,18.0,True,True,True,0.0,40,40,0,0.6466666666666666,0.6933333333333334,0.0,1.3291340121380621,2.7245794782559254,0.7421190879776243,2.2597935008904386,1.2188787039425022,5.976908894863631,74.0,75.0,0.3,0.4925925925925926,0.7666666666666667,0.6333333333333333,73.9,72.96666666666667,True,True,True,22,30,14,92.0,91.0,False,288.0,72.0,True,0.0
5,85.0,86.0,21.0,23.0,False,False,False,0.0,80,170,7,0.42,0.51,1.0,2.0421387209383095,2.7416540019970914,0.3317658618749436,3.0258148581093915,2.3479144643622756,6.170856864123491,84.0,83.0,1.2,0.9333333333333333,0.36666666666666664,0.42592592592592593,80.5,83.12592592592593,True,False,True,28,37,11,94.0,92.0,False,298.0,74.5,True,0.0
6,79.0,79.0,11.0,11.0,True,True,True,0.0,0,0,0,0.39666666666666667,0.5066666666666667,1.0,1.2934192411331034,1.3888444437333103,0.7598371784289762,1.3743685418725533,1.5849298859836751,6.126744440361455,77.0,77.0,0.06666666666666667,1.2518518518518518,0.9333333333333333,0.337037037037037,74.26666666666667,74.2925925925926,True,True,True,24,43,14,95.0,88.0,False,294.0,73.5,True,0.0
7,85.0,86.0,15.0,17.0,False,False,False,0.0,20,30,11,0.3233333333333333,0.36,1.0,2.033704884086075,1.9482185594936612,0.51448164012401,2.0893911925619753,2.7610583247556235,6.173664308982146,82.0,84.0,0.2,1.3777777777777778,0.8333333333333334,0.26666666666666666,79.06666666666666,80.15555555555555,True,False,True,24,44,12,96.0,96.0,True,310.0,77.5,True,0.0
8,79.0,80.0,28.0,30.0,False,False,False,0.0,60,1420,11,0.43333333333333335,0.5233333333333333,1.0,2.1765313893644835,5.1168566739964705,0.736292197618818,5.241819022693044,1.8723312053857297,5.558797621788367,78.0,80.0,0.23333333333333334,1.2148148148148148,0.7666666666666667,0.3962962962962963,76.13333333333334,77.75185185185185,True,False,False,29,48,14,84.0,79.0,False,260.0,65.0,True,0.0
9,75.0,75.0,9.0,9.0,True,True,True,0.0,20,20,0,0.45,0.49,1.0,2.0791497995307813,4.430826358843485,0.5981338147577455,4.423296910174078,2.0038508880014767,5.890418231119077,60.0,66.0,0.1,1.1407407407407408,0.9,0.4,60.96666666666667,58.803703703703704,True,True,True,18,30,9,88.0,82.0,False,282.0,70.5,True,0.0
10,73.0,75.0,9.0,13.0,False,False,False,0.0,40,2040,14,0.38333333333333336,0.4,1.0,1.380032205743362,2.0286832072937253,0.4999999999999999,2.0450482200237294,1.7451520150277897,5.839766690545094,70.0,75.0,0.23333333333333334,0.9555555555555556,0.8333333333333334,0.3333333333333333,69.46666666666667,69.83333333333333,False,False,False,19,39,11,84.0,86.0,False,274.0,68.5,True,0.0
11,81.0,83.0,8.0,12.0,False,False,False,0.0,750,1020,6,0.3466666666666667,0.4666666666666667,1.0,2.7774968746857107,4.580756851583954,0.21407920024619886,4.530881690012319,1.550237824137142,6.293348269204558,81.0,83.0,0.6666666666666666,1.0629629629629629,0.5333333333333333,0.32592592592592595,72.5,80.04814814814814,False,False,False,30,42,12,93.0,96.0,False,308.0,77.0,True,0.0
12,84.0,84.0,16.0,16.0,True,True,True,0.0,30,30,0,0.47,0.49,1.0,1.7591159395812683,2.1367160680716455,0.5169818499678291,2.1563858652847827,2.34931621841367,6.149160084922168,79.0,80.0,0.5,1.288888888888889,0.5666666666666667,0.45925925925925926,76.96666666666667,77.17037037037036,True,True,True,21,42,9,95.0,93.0,False,304.0,76.0,True,0.0
13,81.0,81.0,20.0,20.0,True,True,True,0.0,730,1610,6,0.43666666666666665,0.48,1.0,1.8559543816232842,3.3214789209360074,0.6929885974235954,2.8798148088606896,1.8638868190086206,5.913799915240624,81.0,81.0,0.7,0.8074074074074075,0.3333333333333333,0.44814814814814813,75.03333333333333,78.32962962962964,False,False,False,20,34,11,87.0,85.0,False,284.0,71.0,True,0.0
