seed,cut_full,cut_froz,E_full,E_froz,identical,ident_cut_only,ident_E_only,affine_residual,t_best_full,t_best_froz,hamming_best,frac_s_equal,frac_cut_equal,hamming_median,cut_visited_sd,sd_early_full,sd_late_full,sd_early_froz,sd_late_froz,sd_uniform,max_cut_late_full,max_cut_late_froz,hamming_early,hamming_late,frac_s_equal_early,frac_s_equal_late,cut_mean_early_full,cut_mean_late_full,full_best_seen_by_froz,froz_best_seen_by_full,s_equal_at_best,n_states_full,n_states_froz,n_states_common,cut_rnd_a,cut_rnd_b,rnd_collision,sum_abs_J,cut_expected_random,J_values_ok,trace_J
20,85.0,85.0,20.0,20.0,True,True,True,0.0,0,0,0,0.45,0.5366666666666666,1.0,2.366957728580908,3.54479273802511,0.9878271453730165,3.1342197327777344,2.2223950550073814,6.1036556208144646,82.0,84.0,0.7666666666666667,1.0777777777777777,0.3,0.4666666666666667,73.03333333333333,78.28888888888889,True,True,True,24,41,9,90.0,90.0,True,300.0,75.0,True,0.0
21,79.0,83.0,22.0,30.0,False,False,False,0.0,80,2170,6,0.36,0.46,1.0,2.290409352059146,4.073764297987251,0.0,3.806427312965386,2.700172732370373,5.784260837609245,78.0,83.0,0.36666666666666664,1.3666666666666667,0.7333333333333333,0.31851851851851853,75.93333333333334,78.0,True,False,False,21,48,13,83.0,89.0,False,272.0,68.0,True,0.0
22,79.0,81.0,14.0,18.0,False,False,False,0.0,1130,1140,1,0.41333333333333333,0.47,1.0,2.15624094200996,3.7837371296995075,0.5264082295544601,4.068988408273814,1.922646781059587,5.9946189203318,79.0,81.0,0.9333333333333333,0.9407407407407408,0.4,0.4148148148148148,72.5,77.17407407407407,False,False,False,24,44,13,89.0,89.0,True,288.0,72.0,True,0.0
23,77.0,77.0,12.0,12.0,True,True,True,0.0,0,0,0,0.21333333333333335,0.30666666666666664,1.0,2.272266978640983,3.947010120190838,0.24944382578492943,4.168133075290823,2.625515822335362,5.9486081565354425,64.0,71.0,0.43333333333333335,1.6814814814814816,0.7,0.15925925925925927,64.76666666666667,63.06666666666667,True,True,True,24,55,11,89.0,88.0,False,284.0,71.0,True,0.0
24,81.0,81.0,9.0,9.0,True,True,True,0.0,10,10,0,0.44333333333333336,0.4633333333333333,1.0,1.6073131479445926,2.2764494771951833,0.2735731157425094,2.4765567494675613,1.7569926919642869,6.160557356075829,72.0,77.0,0.3,0.9962962962962963,0.7,0.4148148148148148,74.13333333333334,71.91851851851852,True,True,True,18,32,8,94.0,96.0,False,306.0,76.5,True,0.0
25,83.0,86.0,20.0,26.0,False,False,False,0.0,620,650,1,0.4633333333333333,0.53,1.0,2.123659708040711,4.022713291078824,0.6859455240780739,4.104333752944021,1.2009883903912624,6.027957780210475,83.0,86.0,0.7333333333333333,1.337037037037037,0.6,0.44814814814814813,75.46666666666667,81.08518518518518,True,False,False,30,47,14,89.0,91.0,False,292.0,73.0,True,0.0
26,70.0,71.0,8.0,10.0,False,False,False,0.0,690,60,7,0.5533333333333333,0.6466666666666666,0.0,1.23079806990785,2.3163668870788916,0.7780951733338487,2.0720360357226735,1.2676409508401474,5.611281293073802,70.0,70.0,0.3333333333333333,0.7222222222222222,0.6666666666666666,0.5407407407407407,66.36666666666666,67.15555555555555,False,False,False,26,42,14,80.0,84.0,False,264.0,66.0,True,0.0
27,79.0,79.0,-8.0,-8.0,True,True,True,0.0,0,0,0,0.5333333333333333,0.55,0.0,1.6244580292789623,1.8089284734953517,0.4539115170326973,1.7349351572897476,2.1081232918031794,6.415038732346048,73.0,78.0,0.3333333333333333,0.8962962962962963,0.7,0.5148148148148148,71.83333333333333,71.96296296296296,True,True,True,20,30,9,104.0,100.0,False,332.0,83.0,True,0.0
28,91.0,91.0,22.0,22.0,True,True,True,0.0,20,20,0,0.5433333333333333,0.66,0.0,1.7840582638716955,4.752192476461084,0.5387711466128235,4.29987079909256,1.4058909959365335,6.30672743485082,76.0,79.0,0.6666666666666666,0.5888888888888889,0.3333333333333333,0.5666666666666667,74.5,74.24814814814815,True,True,True,22,27,11,97.0,96.0,False,320.0,80.0,True,0.0
29,80.0,82.0,17.0,21.0,False,False,False,0.0,20,30,13,0.34,0.38,1.0,1.578856829762879,2.1830152440043915,0.39189315752329773,2.445858177045885,1.9327549865760099,5.9529602667496455,77.0,79.0,0.3,1.114814814814815,0.7333333333333333,0.2962962962962963,75.03333333333333,76.82222222222222,True,False,True,32,49,18,86.0,90.0,False,286.0,71.5,True,0.0
