arm,u_frozen,group,seed,synchrony,lz_full,lz_tail,u_drift,u_mean_final
FULL,adaptive,canon,0,0.0121718629,1.0782495424,1.5547131451,9.500e-01,0.997266
FULL,adaptive,canon,1,0.0041773099,1.0543859682,1.5439165261,9.500e-01,0.997949
FULL,adaptive,canon,2,-0.0086564658,1.1054046441,1.5572046726,9.500e-01,0.994480
FULL,adaptive,canon,3,-0.0006693604,1.1073247018,1.5563741635,9.500e-01,0.997572
FULL,adaptive,canon,4,0.0035310102,1.0793467182,1.5165097238,9.500e-01,0.998139
FULL,adaptive,canon,5,-0.0033938909,1.1054046441,1.5630182367,9.500e-01,0.997520
FULL,adaptive,canon,6,0.0210624801,1.1018388227,1.5787979108,9.500e-01,0.996956
FULL,adaptive,canon,7,-0.0098278862,1.1353026853,1.5580351818,9.500e-01,0.997847
FULL,adaptive,canon,8,-0.0009874356,1.0974501194,1.5455775444,9.500e-01,0.997719
FULL,adaptive,canon,9,0.0057092854,1.0985472952,1.5572046726,9.500e-01,0.997548
FULL,adaptive,replication,3021,0.0018445618,1.0560317319,1.5696623100,9.500e-01,0.993172
FULL,adaptive,replication,3022,-0.0021633794,1.0645348446,1.5414249986,9.500e-01,0.990389
FULL,adaptive,replication,3023,0.0024136105,1.1141820507,1.5812894382,9.500e-01,0.997878
FULL,adaptive,replication,3024,-0.0090197382,1.1119876990,1.5264758338,9.500e-01,0.997333
FULL,adaptive,replication,3025,-0.0049215059,1.1023874106,1.5871030023,9.500e-01,0.997386
FULL,adaptive,replication,3026,0.0009969021,1.0914156523,1.5671707825,9.500e-01,0.996880
FULL,adaptive,replication,3027,-0.0097359102,1.0999187650,1.5264758338,9.500e-01,0.997908
FULL,adaptive,replication,3028,-0.0043488142,1.1144563446,1.5488995810,9.500e-01,0.997966
FULL,adaptive,replication,3029,0.0022961553,1.1128105809,1.5422555078,9.500e-01,0.997431
FULL,adaptive,replication,3030,-0.0008340201,1.0944328858,1.5389334711,9.500e-01,0.997079
FROZ_005,0.05,canon,0,0.6976088479,1.6035224688,1.9732897611,0.000e+00,0.050000
FROZ_005,0.05,canon,1,0.7793044378,1.6070882903,1.9865779077,0.000e+00,0.050000
FROZ_005,0.05,canon,2,0.6461589766,1.5977622957,1.9649846696,0.000e+00,0.050000
FROZ_005,0.05,canon,3,0.6725122263,1.6035224688,1.9965440176,0.000e+00,0.050000
FROZ_005,0.05,canon,4,0.5521184895,1.5974880018,1.9815948527,0.000e+00,0.050000
FROZ_005,0.05,canon,5,0.7375119022,1.6035224688,1.9965440176,0.000e+00,0.050000
FROZ_005,0.05,canon,6,0.8302483736,1.6007795293,1.9874084168,0.000e+00,0.050000
FROZ_005,0.05,canon,7,0.6231022315,1.6120255815,1.9948829993,0.000e+00,0.050000
FROZ_005,0.05,canon,8,0.7807115927,1.6059911144,1.9824253619,0.000e+00,0.050000
FROZ_005,0.05,canon,9,0.6475224862,1.5928250045,1.9782728161,0.000e+00,0.050000
FROZ_005,0.05,replication,3021,0.6454436849,1.5972137078,1.9757812886,0.000e+00,0.050000
FROZ_005,0.05,replication,3022,0.6933337677,1.6087340540,1.9932219810,0.000e+00,0.050000
FROZ_005,0.05,replication,3023,0.6046220818,1.6057168205,1.9940524901,0.000e+00,0.050000
FROZ_005,0.05,replication,3024,0.5723269992,1.6065397023,1.9874084168,0.000e+00,0.050000
FROZ_005,0.05,replication,3025,0.6451800878,1.6090083479,1.9982050359,0.000e+00,0.050000
FROZ_005,0.05,replication,3026,0.6734508155,1.6120255815,1.9915609626,0.000e+00,0.050000
FROZ_005,0.05,replication,3027,0.7021074868,1.6106541117,1.9998660542,0.000e+00,0.050000
FROZ_005,0.05,replication,3028,0.7812723690,1.6166885787,1.9915609626,0.000e+00,0.050000
