protocol,arm,u_frozen,u_filter,group,seed,synchrony,lz_full,u_drift
ENDOGENE,FULL,,,canon,0,0.0064796536,1.0132418748,9.500e-01
ENDOGENE,FULL,,,canon,1,-0.0058781540,1.0351853913,9.500e-01
ENDOGENE,FULL,,,canon,2,0.0012807492,0.9882811247,9.500e-01
ENDOGENE,FULL,,,canon,3,0.0132946488,1.1298168062,9.500e-01
ENDOGENE,FULL,,,canon,4,0.0034847717,1.1136334628,9.500e-01
ENDOGENE,FULL,,,canon,5,0.0186609575,1.1311882760,9.500e-01
ENDOGENE,FULL,,,canon,6,0.0111894783,1.1432572101,9.500e-01
ENDOGENE,FULL,,,canon,7,0.0082028901,1.0502715589,9.500e-01
ENDOGENE,FULL,,,canon,8,0.0196797236,1.0294252182,9.500e-01
ENDOGENE,FULL,,,canon,9,0.0051224990,1.1344798035,9.500e-01
ENDOGENE,FULL,,,replication,3031,0.0047283955,1.0349110973,9.500e-01
ENDOGENE,FULL,,,replication,3032,0.0195964888,1.1879671250,9.500e-01
ENDOGENE,FULL,,,replication,3033,0.0079367389,1.1295425122,9.500e-01
ENDOGENE,FULL,,,replication,3034,-0.0025859609,1.0779752485,9.500e-01
ENDOGENE,FULL,,,replication,3035,-0.0048441215,1.1374970370,9.500e-01
ENDOGENE,FULL,,,replication,3036,-0.0054938562,1.1363998612,9.500e-01
ENDOGENE,FULL,,,replication,3037,-0.0030307426,1.1457258557,9.500e-01
ENDOGENE,FULL,,,replication,3038,0.0090764903,1.1569719079,9.500e-01
ENDOGENE,FULL,,,replication,3039,0.0102541599,1.2197852239,9.500e-01
ENDOGENE,FULL,,,replication,3040,-0.0019156588,1.0521916166,9.500e-01
ENDOGENE,U_0.05,0.050000,0.898281,canon,0,0.0043665740,1.0883984188,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,canon,1,-0.0046333659,1.0173562841,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,canon,2,0.0141746554,0.9773093665,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,canon,3,0.0154520228,1.2192366360,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,canon,4,-0.0054855888,1.5242515154,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,canon,5,0.0127254618,1.5176684605,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,canon,6,-0.0001377578,1.4746043093,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,canon,7,-0.0022228434,1.0755066028,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,canon,8,0.0056245222,1.1328340397,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,canon,9,0.0107181533,1.3758584851,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,replication,3031,0.0260612777,0.9910240643,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,replication,3032,0.0060339431,1.4984678835,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,replication,3033,-0.0027942500,1.1440800919,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,replication,3034,0.0030082883,1.0431399160,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,replication,3035,0.0095801912,1.2721753696,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,replication,3036,0.0112206402,1.3997220593,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,replication,3037,0.0023336833,1.4795416006,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,replication,3038,0.0074466732,1.2650437267,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,replication,3039,0.0081643342,1.5184913424,0.000e+00
ENDOGENE,U_0.05,0.050000,0.898281,replication,3040,-0.0070193211,0.9912983582,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,canon,0,0.0023732375,1.0124189929,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,canon,1,-0.0050518334,0.9954127676,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,canon,2,0.0327781599,0.9808751879,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,canon,3,0.0113402949,1.1073247018,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,canon,4,0.0032450674,0.9830695396,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,canon,5,0.0121184441,1.2721753696,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,canon,6,-0.0007256502,1.2030532926,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,canon,7,-0.0026671382,0.9814237758,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,canon,8,0.0045039391,1.0179048720,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,canon,9,0.0076714664,1.0733122512,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,replication,3031,0.0227162461,0.9825209516,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,replication,3032,-0.0023990515,1.2145736387,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,replication,3033,0.0001202634,1.0061102319,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,replication,3034,-0.0021496461,1.0091274654,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,replication,3035,0.0134510074,1.0447856797,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,replication,3036,0.0084984852,1.0472543253,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,replication,3037,0.0027619241,1.0873012430,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,replication,3038,0.0065649087,1.0530144984,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,replication,3039,0.0071537230,1.4652783148,0.000e+00
ENDOGENE,U_0.30,0.300000,0.566893,replication,3040,-0.0051038817,0.9888297126,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,canon,0,-0.0009537930,0.9940412978,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,canon,1,-0.0076564310,1.0121446989,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,canon,2,0.0208263445,1.0168076962,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,canon,3,0.0067722338,0.9858124791,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,canon,4,0.0003496980,0.9742921330,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,canon,5,0.0056421577,0.9904754764,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,canon,6,-0.0023901352,0.9959613555,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,canon,7,0.0014484416,0.9877325368,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,canon,8,0.0024321662,0.9915726522,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,canon,9,0.0022299272,0.9951384736,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,replication,3031,0.0185904653,1.0044644682,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,replication,3032,-0.0133343171,1.0041901742,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,replication,3033,-0.0010372257,1.0006243528,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,replication,3034,-0.0065565816,1.0187277539,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,replication,3035,0.0072640942,0.9992528830,0.000e+00
