i_stim,u_frozen,u_filter,group,seed,synchrony,lz_full,u_drift
0.00,0.050,0.898281,canon,0,0.0043665740,1.0883984188,0.000e+00
0.00,0.050,0.898281,canon,1,-0.0046333659,1.0173562841,0.000e+00
0.00,0.050,0.898281,canon,2,0.0141746554,0.9773093665,0.000e+00
0.00,0.050,0.898281,canon,3,0.0154520228,1.2192366360,0.000e+00
0.00,0.050,0.898281,canon,4,-0.0054855888,1.5242515154,0.000e+00
0.00,0.050,0.898281,canon,5,0.0127254618,1.5176684605,0.000e+00
0.00,0.050,0.898281,canon,6,-0.0001377578,1.4746043093,0.000e+00
0.00,0.050,0.898281,canon,7,-0.0022228434,1.0755066028,0.000e+00
0.00,0.050,0.898281,canon,8,0.0056245222,1.1328340397,0.000e+00
0.00,0.050,0.898281,canon,9,0.0107181533,1.3758584851,0.000e+00
0.00,0.150,0.810340,canon,0,0.0035249752,1.0777009545,0.000e+00
0.00,0.150,0.810340,canon,1,-0.0061625951,0.9967842374,0.000e+00
0.00,0.150,0.810340,canon,2,0.0235295675,0.9855381852,0.000e+00
0.00,0.150,0.810340,canon,3,0.0144581549,1.1871442431,0.000e+00
0.00,0.150,0.810340,canon,4,-0.0050894706,1.4918848286,0.000e+00
0.00,0.150,0.810340,canon,5,0.0126687829,1.5025822929,0.000e+00
0.00,0.150,0.810340,canon,6,-0.0003626600,1.4488206774,0.000e+00
0.00,0.150,0.810340,canon,7,-0.0031556578,1.0661806083,0.000e+00
0.00,0.150,0.810340,canon,8,0.0055979770,1.0988215891,0.000e+00
0.00,0.150,0.810340,canon,9,0.0098654366,1.2510547349,0.000e+00
0.00,0.250,0.665794,canon,0,0.0016847878,1.0247622209,0.000e+00
0.00,0.250,0.665794,canon,1,-0.0065827481,0.9959613555,0.000e+00
0.00,0.250,0.665794,canon,2,0.0245917623,0.9816980698,0.000e+00
0.00,0.250,0.665794,canon,3,0.0126777543,1.1259766908,0.000e+00
0.00,0.250,0.665794,canon,4,-0.0038272040,1.1303653941,0.000e+00
0.00,0.250,0.665794,canon,5,0.0125428945,1.3440403861,0.000e+00
0.00,0.250,0.665794,canon,6,-0.0006158398,1.2861643613,0.000e+00
0.00,0.250,0.665794,canon,7,-0.0032508308,0.9814237758,0.000e+00
0.00,0.250,0.665794,canon,8,0.0036407287,1.0442370918,0.000e+00
0.00,0.250,0.665794,canon,9,0.0088237810,1.1975674134,0.000e+00
0.00,0.325,0.510354,canon,0,0.0024402119,1.0022701165,0.000e+00
0.00,0.325,0.510354,canon,1,-0.0054115407,0.9989785890,0.000e+00
0.00,0.325,0.510354,canon,2,0.0349555286,0.9844410093,0.000e+00
0.00,0.325,0.510354,canon,3,0.0105129465,1.1034845864,0.000e+00
0.00,0.325,0.510354,canon,4,0.0039101117,0.9731949571,0.000e+00
0.00,0.325,0.510354,canon,5,0.0116653255,1.2392600948,0.000e+00
0.00,0.325,0.510354,canon,6,-0.0009215669,1.1040331743,0.000e+00
0.00,0.325,0.510354,canon,7,0.0008010405,0.9751150148,0.000e+00
0.00,0.325,0.510354,canon,8,0.0047078000,1.0129675808,0.000e+00
0.00,0.325,0.510354,canon,9,0.0068912385,1.0595975534,0.000e+00
0.00,0.400,0.314216,canon,0,0.0018794272,0.9811494819,0.000e+00
0.00,0.400,0.314216,canon,1,-0.0065035106,1.0008986467,0.000e+00
0.00,0.400,0.314216,canon,2,0.0243948612,0.9984300011,0.000e+00
0.00,0.400,0.314216,canon,3,0.0067455218,1.0088531715,0.000e+00
0.00,0.400,0.314216,canon,4,-0.0009646760,0.9734692511,0.000e+00
0.00,0.400,0.314216,canon,5,0.0094759793,1.0637119627,0.000e+00
0.00,0.400,0.314216,canon,6,-0.0051200083,1.0080302896,0.000e+00
0.00,0.400,0.314216,canon,7,0.0050435789,0.9800523060,0.000e+00
0.00,0.400,0.314216,canon,8,0.0031394011,0.9984300011,0.000e+00
0.00,0.400,0.314216,canon,9,0.0028227228,0.9844410093,0.000e+00
0.00,0.450,0.165800,canon,0,-0.0009537930,0.9940412978,0.000e+00
0.00,0.450,0.165800,canon,1,-0.0076564310,1.0121446989,0.000e+00
0.00,0.450,0.165800,canon,2,0.0208263445,1.0168076962,0.000e+00
0.00,0.450,0.165800,canon,3,0.0067722338,0.9858124791,0.000e+00
0.00,0.450,0.165800,canon,4,0.0003496980,0.9742921330,0.000e+00
0.00,0.450,0.165800,canon,5,0.0056421577,0.9904754764,0.000e+00
0.00,0.450,0.165800,canon,6,-0.0023901352,0.9959613555,0.000e+00
0.00,0.450,0.165800,canon,7,0.0014484416,0.9877325368,0.000e+00
0.00,0.450,0.165800,canon,8,0.0024321662,0.9915726522,0.000e+00
0.00,0.450,0.165800,canon,9,0.0022299272,0.9951384736,0.000e+00
0.00,0.500,0.010000,canon,0,0.0001779523,1.0176305781,0.000e+00
0.00,0.500,0.010000,canon,1,-0.0000456786,1.0409455643,0.000e+00
0.00,0.500,0.010000,canon,2,0.0154700177,1.0395740946,0.000e+00
0.00,0.500,0.010000,canon,3,0.0078380946,0.9943155918,0.000e+00
0.00,0.500,0.010000,canon,4,0.0043411663,0.9855381852,0.000e+00
0.00,0.500,0.010000,canon,5,0.0073045388,1.0041901742,0.000e+00
0.00,0.500,0.010000,canon,6,-0.0069502535,0.9899268885,0.000e+00
0.00,0.500,0.010000,canon,7,-0.0037244671,1.0030929984,0.000e+00
0.00,0.500,0.010000,canon,8,0.0039736739,1.0003500588,0.000e+00
0.00,0.500,0.010000,canon,9,-0.0013096043,1.0096760533,0.000e+00
0.00,0.550,-0.145800,canon,0,-0.0047314247,1.0497229710,0.000e+00
0.00,0.550,-0.145800,canon,1,0.0018634901,1.0744094270,0.000e+00
0.00,0.550,-0.145800,canon,2,0.0256055578,1.0645348446,0.000e+00
0.00,0.550,-0.145800,canon,3,-0.0031861205,1.0200992237,0.000e+00
0.00,0.550,-0.145800,canon,4,0.0072104478,1.0096760533,0.000e+00
0.00,0.550,-0.145800,canon,5,0.0089715892,1.0277794544,0.000e+00
0.00,0.550,-0.145800,canon,6,-0.0066471750,0.9976071192,0.000e+00
0.00,0.550,-0.145800,canon,7,-0.0009046603,1.0368311550,0.000e+00
0.00,0.550,-0.145800,canon,8,0.0004102154,1.0310709819,0.000e+00
0.00,0.550,-0.145800,canon,9,0.0035292959,1.0456085616,0.000e+00
0.00,0.650,-0.429200,canon,0,0.0164660384,1.1451772678,0.000e+00
0.00,0.650,-0.429200,canon,1,0.0030969162,1.2030532926,0.000e+00
0.00,0.650,-0.429200,canon,2,-0.0017977390,1.3358115674,0.000e+00
0.00,0.650,-0.429200,canon,3,0.0108101270,1.1641035507,0.000e+00
0.00,0.650,-0.429200,canon,4,0.0014626871,1.3558350262,0.000e+00
0.00,0.650,-0.429200,canon,5,0.0108933332,1.3657096087,0.000e+00
0.00,0.650,-0.429200,canon,6,-0.0040706755,1.3454118559,0.000e+00
0.00,0.650,-0.429200,canon,7,-0.0004296251,1.1550518502,0.000e+00
0.00,0.650,-0.429200,canon,8,0.0053983763,1.0982730012,0.000e+00
0.00,0.650,-0.429200,canon,9,0.0231091276,1.2145736387,0.000e+00
0.00,0.800,-0.726359,canon,0,0.0133864388,1.2222538695,0.000e+00
0.00,0.800,-0.726359,canon,1,0.0018079713,1.2639465509,0.000e+00
