condition,seed,fou_frac_time,fou_frac_late,pct_nodes_ever_fou,t_first_fou,u_in_deadband_frac
HONEST_HIGH,0,0.7455,1.0,1.0,3055,0.15541666666666668
HONEST_HIGH,1,0.7455,1.0,1.0,3055,0.15541666666666668
HONEST_HIGH,2,0.7455,1.0,1.0,3055,0.15541666666666668
HONEST_HIGH,3,0.7455,1.0,1.0,3055,0.15541666666666668
HONEST_HIGH,4,0.7455,1.0,1.0,3055,0.15541666666666668
ATTACK,0,0.0,0.0,0.0,12001,0.5291666666666667
ATTACK,1,0.0,0.0,0.0,12001,0.5291666666666667
ATTACK,2,0.0,0.0,0.0,12001,0.5291666666666667
ATTACK,3,0.0,0.0,0.0,12001,0.5291666666666667
ATTACK,4,0.0,0.0,0.0,12001,0.5291666666666667
ATTACK_FATIGUE,0,0.0,0.0,0.0,12001,0.5291666666666667
ATTACK_FATIGUE,1,0.0,0.0,0.0,12001,0.5291666666666667
ATTACK_FATIGUE,2,0.0,0.0,0.0,12001,0.5291666666666667
ATTACK_FATIGUE,3,0.0,0.0,0.0,12001,0.5291666666666667
ATTACK_FATIGUE,4,0.0,0.0,0.0,12001,0.5291666666666667
ATTACK_WATCHDOG,0,0.4083333333333333,0.4166666666666667,1.0,701,0.0
ATTACK_WATCHDOG,1,0.4083333333333333,0.4166666666666667,1.0,701,0.0
ATTACK_WATCHDOG,2,0.4083333333333333,0.4166666666666667,1.0,701,0.0
ATTACK_WATCHDOG,3,0.4083333333333333,0.4166666666666667,1.0,701,0.0
ATTACK_WATCHDOG,4,0.4083333333333333,0.4166666666666667,1.0,701,0.0
