i_stim,u_frozen,u_filter,label,group,seed,r_global,r_intra,r_inter,n_min,desequilibre,r_equilibre
1.00,0.050,0.898281,attractif fort,canon,0,0.87847452,0.87847452,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,canon,1,0.85999970,0.85999970,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,canon,2,0.87224616,0.87224616,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,canon,3,0.86708146,0.86708146,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,canon,4,0.77273174,0.77273174,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,canon,5,0.83898501,0.83898501,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,canon,6,0.89303195,0.89303195,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,canon,7,0.86156406,0.86156406,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,canon,8,0.87933162,0.87933162,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,canon,9,0.82762634,0.82762634,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,repli,3051,0.86953082,0.86953082,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,repli,3052,0.85307021,0.85307021,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,repli,3053,0.82610869,0.82610869,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,repli,3054,0.85282125,0.85282125,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,repli,3055,0.87296270,0.87296270,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,repli,3056,0.85168393,0.85168393,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,repli,3057,0.82242725,0.82242725,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,repli,3058,0.87452894,0.87452894,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,repli,3059,0.88120274,0.88120274,nan,0,0.0000,nan
1.00,0.050,0.898281,attractif fort,repli,3060,0.86121034,0.86121034,nan,0,0.0000,nan
1.00,0.500,0.010000,filtre ~ 0,canon,0,0.27666131,0.62274279,-0.24641160,27,0.2700,0.18377592
1.00,0.500,0.010000,filtre ~ 0,canon,1,0.35250033,0.68949138,-0.25240907,23,0.2300,0.21378408
1.00,0.500,0.010000,filtre ~ 0,canon,2,0.28244313,0.62134120,-0.25056391,26,0.2600,0.18098508
1.00,0.500,0.010000,filtre ~ 0,canon,3,0.33179101,0.58525889,-0.17101960,21,0.2100,0.20330006
1.00,0.500,0.010000,filtre ~ 0,canon,4,0.23489878,0.60065253,-0.26148131,30,0.3000,0.16523140
1.00,0.500,0.010000,filtre ~ 0,canon,5,0.20458381,0.59652057,-0.29506352,32,0.3200,0.14622557
1.00,0.500,0.010000,filtre ~ 0,canon,6,0.31951908,0.62995183,-0.23771735,23,0.2300,0.19173507
1.00,0.500,0.010000,filtre ~ 0,canon,7,0.27626024,0.63722809,-0.24907690,28,0.2800,0.18959931
1.00,0.500,0.010000,filtre ~ 0,canon,8,0.30949690,0.64380762,-0.23877268,25,0.2500,0.19805999
1.00,0.500,0.010000,filtre ~ 0,canon,9,0.24620525,0.60215893,-0.20757027,32,0.3200,0.19320479
1.00,0.500,0.010000,filtre ~ 0,repli,3051,0.25435687,0.59059564,-0.23499063,28,0.2800,0.17363287
1.00,0.500,0.010000,filtre ~ 0,repli,3052,0.26687792,0.61601462,-0.20695044,30,0.3000,0.20037570
1.00,0.500,0.010000,filtre ~ 0,repli,3053,0.25498681,0.61779730,-0.25442802,29,0.2900,0.17727946
1.00,0.500,0.010000,filtre ~ 0,repli,3054,0.26736152,0.57922663,-0.20399625,27,0.2700,0.18365952
1.00,0.500,0.010000,filtre ~ 0,repli,3055,0.27232259,0.65996937,-0.25376947,30,0.3000,0.19848511
1.00,0.500,0.010000,filtre ~ 0,repli,3056,0.28781176,0.64937084,-0.28083573,26,0.2600,0.17956954
1.00,0.500,0.010000,filtre ~ 0,repli,3057,0.21045619,0.62134488,-0.31335137,32,0.3200,0.14927607
1.00,0.500,0.010000,filtre ~ 0,repli,3058,0.29889168,0.64175631,-0.26340632,25,0.2500,0.18460346
1.00,0.500,0.010000,filtre ~ 0,repli,3059,0.26688520,0.59863863,-0.32862252,23,0.2300,0.13032492
1.00,0.500,0.010000,filtre ~ 0,repli,3060,0.23969360,0.58039855,-0.25615378,28,0.2800,0.15789737
1.00,0.550,-0.145800,LE CREUX,canon,0,0.14866680,0.62014898,-0.39280102,36,0.3600,0.10855807
1.00,0.550,-0.145800,LE CREUX,canon,1,0.22299236,0.64861521,-0.39644090,28,0.2800,0.12080909
1.00,0.550,-0.145800,LE CREUX,canon,2,0.18638553,0.66146886,-0.38650907,34,0.3400,0.13218708
1.00,0.550,-0.145800,LE CREUX,canon,3,0.20152904,0.60664050,-0.33085445,31,0.3100,0.13315820
1.00,0.550,-0.145800,LE CREUX,canon,4,0.12767039,0.58357760,-0.38456512,37,0.3700,0.09461663
1.00,0.550,-0.145800,LE CREUX,canon,5,0.09709571,0.60861520,-0.44639376,40,0.4000,0.07578239
1.00,0.550,-0.145800,LE CREUX,canon,6,0.17604715,0.57821430,-0.38862755,29,0.2900,0.08991034
1.00,0.550,-0.145800,LE CREUX,canon,7,0.15370306,0.60355883,-0.41978034,32,0.3200,0.08672086
1.00,0.550,-0.145800,LE CREUX,canon,8,0.18845699,0.62418455,-0.40288755,30,0.3000,0.10546127
1.00,0.550,-0.145800,LE CREUX,canon,9,0.11250623,0.57588233,-0.37983087,40,0.4000,0.09319889
1.00,0.550,-0.145800,LE CREUX,repli,3051,0.13809182,0.58275133,-0.38474958,35,0.3500,0.09411450
1.00,0.550,-0.145800,LE CREUX,repli,3052,0.14613840,0.60646631,-0.37106401,37,0.3700,0.11276413
1.00,0.550,-0.145800,LE CREUX,repli,3053,0.16864834,0.63476122,-0.36665317,36,0.3600,0.12899638
1.00,0.550,-0.145800,LE CREUX,repli,3054,0.17400396,0.59325757,-0.31896457,35,0.3500,0.13253932
1.00,0.550,-0.145800,LE CREUX,repli,3055,0.16930483,0.68146128,-0.44829559,34,0.3400,0.11087700
1.00,0.550,-0.145800,LE CREUX,repli,3056,0.16580882,0.60535882,-0.43072332,30,0.3000,0.08208501
1.00,0.550,-0.145800,LE CREUX,repli,3057,0.12517906,0.59247531,-0.42427917,35,0.3500,0.07896294
1.00,0.550,-0.145800,LE CREUX,repli,3058,0.16833545,0.61966161,-0.44417864,30,0.3000,0.08236856
1.00,0.550,-0.145800,LE CREUX,repli,3059,0.16441697,0.58523127,-0.44801814,28,0.2800,0.06338813
1.00,0.550,-0.145800,LE CREUX,repli,3060,0.11950375,0.59785188,-0.38099195,41,0.4100,0.10348631
1.00,0.650,-0.429200,LA BANDE,canon,0,0.29566613,0.73649319,-0.34589467,28,0.2800,0.18983265
1.00,0.650,-0.429200,LA BANDE,canon,1,0.30144338,0.78057752,-0.42272741,27,0.2700,0.17284776
1.00,0.650,-0.429200,LA BANDE,canon,2,0.34242044,0.69212610,-0.31664022,22,0.2200,0.18264816
1.00,0.650,-0.429200,LA BANDE,canon,3,0.32345857,0.68185676,-0.38750491,21,0.2100,0.14177510
1.00,0.650,-0.429200,LA BANDE,canon,4,0.25767294,0.62838556,-0.32537092,26,0.2600,0.14669037
1.00,0.650,-0.429200,LA BANDE,canon,5,0.34132187,0.67181916,-0.31429393,21,0.2100,0.17378225
1.00,0.650,-0.429200,LA BANDE,canon,6,0.26513367,0.77791038,-0.43077758,30,0.3000,0.16746192
1.00,0.650,-0.429200,LA BANDE,canon,7,0.31096797,0.60903346,-0.28031205,21,0.2100,0.15986906
1.00,0.650,-0.429200,LA BANDE,canon,8,0.34136962,0.63659262,-0.31295504,19,0.1900,0.15702309
1.00,0.650,-0.429200,LA BANDE,canon,9,0.32441495,0.74952062,-0.29426562,28,0.2800,0.22235585
1.00,0.650,-0.429200,LA BANDE,repli,3051,0.26952093,0.63959956,-0.31252582,26,0.2600,0.15872815
1.00,0.650,-0.429200,LA BANDE,repli,3052,0.28120522,0.69910507,-0.40415053,25,0.2500,0.14190527
1.00,0.650,-0.429200,LA BANDE,repli,3053,0.37121064,0.66180756,-0.40847128,16,0.1600,0.12126269
1.00,0.650,-0.429200,LA BANDE,repli,3054,0.33382060,0.62747341,-0.31702392,19,0.1900,0.15045455
1.00,0.650,-0.429200,LA BANDE,repli,3055,0.33173212,0.71047318,-0.31736030,24,0.2400,0.19136536
1.00,0.650,-0.429200,LA BANDE,repli,3056,0.30711421,0.64948344,-0.30744920,23,0.2300,0.16618413
1.00,0.650,-0.429200,LA BANDE,repli,3057,0.34886461,0.68674750,-0.40001031,19,0.1900,0.13787992
1.00,0.650,-0.429200,LA BANDE,repli,3058,0.28752721,0.78023245,-0.38114419,30,0.3000,0.19367859
1.00,0.650,-0.429200,LA BANDE,repli,3059,0.30212723,0.69398990,-0.31418069,26,0.2600,0.18481283
1.00,0.650,-0.429200,LA BANDE,repli,3060,0.36481377,0.78133944,-0.38286275,23,0.2300,0.19335854
1.00,0.800,-0.726359,LA BANDE,canon,0,0.28531565,0.72845030,-0.41163105,26,0.2600,0.15265164
1.00,0.800,-0.726359,LA BANDE,canon,1,0.27248685,0.68203429,-0.34650950,27,0.2700,0.16256773
