i_stim,u_frozen,label,group,seed,r_global,r_intra,r_inter,n_min,desequilibre,u_final_mean
0.50,,FULL (regime de Table 1),canon,0,0.00660377,0.13166756,-0.11635557,48,0.4800,0.997266
0.50,,FULL (regime de Table 1),canon,1,-0.00372239,0.10805767,-0.11362154,48,0.4800,0.997949
0.50,,FULL (regime de Table 1),canon,2,0.00010410,0.12053601,-0.11791917,50,0.5000,0.994480
0.50,,FULL (regime de Table 1),canon,3,-0.00570347,0.11432704,-0.12419204,47,0.4700,0.997572
0.50,,FULL (regime de Table 1),canon,4,-0.00202464,0.11137105,-0.11324226,49,0.4900,0.998139
0.50,,FULL (regime de Table 1),canon,5,0.00073822,0.10663591,-0.10337754,48,0.4800,0.997520
0.50,,FULL (regime de Table 1),canon,6,0.02715922,0.14234443,-0.09028175,43,0.4300,0.996956
0.50,,FULL (regime de Table 1),canon,7,-0.00255232,0.11488765,-0.11999230,45,0.4500,0.997847
0.50,,FULL (regime de Table 1),canon,8,-0.00515025,0.09379935,-0.10282871,47,0.4700,0.997719
0.50,,FULL (regime de Table 1),canon,9,0.00674905,0.11049684,-0.10032072,42,0.4200,0.997548
0.50,,FULL (regime de Table 1),repli,3061,0.00555706,0.12670292,-0.12119787,41,0.4100,0.989807
0.50,,FULL (regime de Table 1),repli,3062,-0.00225855,0.11747999,-0.11998226,48,0.4800,0.997731
0.50,,FULL (regime de Table 1),repli,3063,-0.00175972,0.11257816,-0.11462878,47,0.4700,0.997519
0.50,,FULL (regime de Table 1),repli,3064,-0.00501057,0.09848739,-0.10775856,46,0.4600,0.998297
0.50,,FULL (regime de Table 1),repli,3065,-0.00486077,0.11935798,-0.12669357,49,0.4900,0.997138
0.50,,FULL (regime de Table 1),repli,3066,0.00243228,0.11527624,-0.10959396,46,0.4600,0.998007
0.50,,FULL (regime de Table 1),repli,3067,-0.00195856,0.10582145,-0.10835400,47,0.4700,0.990105
0.50,,FULL (regime de Table 1),repli,3068,0.00412220,0.11141626,-0.10660738,42,0.4200,0.993596
0.50,,FULL (regime de Table 1),repli,3069,0.00411684,0.11491330,-0.10446368,50,0.5000,0.993456
0.50,,FULL (regime de Table 1),repli,3070,0.00955235,0.12607796,-0.10697326,45,0.4500,0.997745
1.00,,FULL (regime de la bande),canon,0,0.04322468,0.22576859,-0.17690179,34,0.3400,0.999587
1.00,,FULL (regime de la bande),canon,1,0.06986811,0.23192071,-0.16597629,28,0.2800,0.999650
1.00,,FULL (regime de la bande),canon,2,0.04972944,0.22618633,-0.14852908,37,0.3700,0.999096
1.00,,FULL (regime de la bande),canon,3,0.14655724,0.28614796,-0.16282803,19,0.1900,0.999267
1.00,,FULL (regime de la bande),canon,4,0.02403735,0.16090877,-0.12138854,40,0.4000,0.999608
1.00,,FULL (regime de la bande),canon,5,0.00300979,0.12768565,-0.12565816,42,0.4200,0.998829
1.00,,FULL (regime de la bande),canon,6,0.19748499,0.44056151,-0.31145648,20,0.2000,0.999425
1.00,,FULL (regime de la bande),canon,7,0.01930143,0.14570587,-0.10467507,49,0.4900,0.999309
1.00,,FULL (regime de la bande),canon,8,0.03745189,0.15413713,-0.09655382,36,0.3600,0.999535
1.00,,FULL (regime de la bande),canon,9,0.01759049,0.17902631,-0.14384533,45,0.4500,0.999513
1.00,,FULL (regime de la bande),repli,3061,0.03195885,0.17650975,-0.13404882,36,0.3600,0.999363
1.00,,FULL (regime de la bande),repli,3062,0.01786396,0.15826197,-0.12151666,46,0.4600,0.999545
1.00,,FULL (regime de la bande),repli,3063,0.05554557,0.26859702,-0.17470044,39,0.3900,0.999512
1.00,,FULL (regime de la bande),repli,3064,0.04396806,0.24213459,-0.15039215,49,0.4900,0.999104
1.00,,FULL (regime de la bande),repli,3065,0.00255197,0.13434491,-0.13534299,41,0.4100,0.998905
1.00,,FULL (regime de la bande),repli,3066,0.00475825,0.13920940,-0.13232596,43,0.4300,0.999120
1.00,,FULL (regime de la bande),repli,3067,0.02451183,0.18689847,-0.17130735,34,0.3400,0.999399
1.00,,FULL (regime de la bande),repli,3068,0.03687530,0.19075832,-0.13602030,37,0.3700,0.999258
1.00,,FULL (regime de la bande),repli,3069,0.05357730,0.21016621,-0.14040598,33,0.3300,0.999187
