tau_u,group,seed,bloc,step,u,u_filter,synchrony,r_intra,r_inter,n_min,t_cross_u05
2.0,canon,0,0,0,0.843096,-0.782407,0.39931987,0.49791196,-0.36739098,6,35
2.0,canon,0,1,300,0.987187,-0.900517,0.57154179,0.76459366,-0.40220335,9,35
2.0,canon,0,2,600,0.997318,-0.905804,0.16628413,0.62327844,-0.47537229,29,35
2.0,canon,0,3,900,0.996253,-0.905262,0.28104809,0.69931145,-0.40490384,25,35
2.0,canon,0,4,1200,0.995508,-0.904882,0.03074968,0.52771240,-0.46261186,46,35
2.0,canon,0,5,1500,0.997691,-0.905992,0.07508882,0.51929407,-0.41398945,38,35
2.0,canon,0,6,1800,0.994183,-0.904201,0.17551882,0.57350945,-0.40369967,28,35
2.0,canon,0,7,2100,0.997678,-0.905986,0.05846018,0.42369156,-0.30677120,45,35
2.0,canon,0,8,2400,0.995930,-0.905098,0.25329181,0.47589754,-0.21278895,20,35
2.0,canon,0,9,2700,0.997629,-0.905961,0.16464851,0.48915661,-0.47908636,21,35
2.0,canon,0,10,3000,0.997002,-0.905643,0.27988744,0.64289940,-0.44022851,21,35
2.0,canon,0,11,3300,0.996119,-0.905194,-0.00033841,0.46287463,-0.45465421,49,35
2.0,canon,0,12,3600,0.997836,-0.906066,0.06935409,0.51581544,-0.37710726,45,35
2.0,canon,0,13,3900,0.994676,-0.904455,0.14628141,0.54978546,-0.38398970,31,35
2.0,canon,0,14,4200,0.997522,-0.905907,0.04613116,0.45230714,-0.41022874,37,35
2.0,canon,0,15,4500,0.996146,-0.905208,0.26862299,0.47633534,-0.25235080,17,35
2.0,canon,0,16,4800,0.996030,-0.905149,-0.00510348,0.35488807,-0.38176268,41,35
2.0,canon,0,17,5100,0.996145,-0.905207,0.02079855,0.37202732,-0.33730862,43,35
2.0,canon,0,18,5400,0.996699,-0.905489,0.04707482,0.46810854,-0.40027350,40,35
2.0,canon,0,19,5700,0.997278,-0.905783,0.14359250,0.52721606,-0.37703946,30,35
2.0,canon,0,20,6000,0.996364,-0.905319,-0.00609165,0.32871764,-0.33447004,49,35
2.0,canon,0,21,6300,0.997199,-0.905744,0.00572507,0.38730257,-0.37095060,47,35
2.0,canon,0,22,6600,0.995982,-0.905124,0.09976115,0.42484515,-0.32745302,31,35
2.0,canon,0,23,6900,0.996242,-0.905257,-0.00778104,0.30172419,-0.31134140,49,35
2.0,canon,0,24,7200,0.996290,-0.905281,0.06546152,0.35967480,-0.29901165,33,35
2.0,canon,0,25,7500,0.997074,-0.905680,0.00118933,0.36357831,-0.35654431,47,35
2.0,canon,0,26,7800,0.996519,-0.905398,0.04687486,0.32877785,-0.28459349,35,35
2.0,canon,0,27,8100,0.996441,-0.905358,-0.00162981,0.34353554,-0.39803064,36,35
2.0,canon,0,28,8400,0.997787,-0.906041,0.02845499,0.43857909,-0.37379157,49,35
2.0,canon,0,29,8700,0.995281,-0.904765,0.11691852,0.40206642,-0.28345185,29,35
2.0,canon,1,0,0,0.854773,-0.795666,0.39943475,0.45318460,-0.10694542,5,31
2.0,canon,1,1,300,0.988552,-0.901248,0.52800925,0.75277037,-0.38366228,11,31
2.0,canon,1,2,600,0.997216,-0.905752,0.16038512,0.57745167,-0.49556260,26,31
2.0,canon,1,3,900,0.996775,-0.905528,0.20221092,0.69270591,-0.44238067,31,31
2.0,canon,1,4,1200,0.994984,-0.904613,0.04063775,0.49352701,-0.40643357,47,31
2.0,canon,1,5,1500,0.997980,-0.906139,0.05380226,0.42277638,-0.36994145,36,31
2.0,canon,1,6,1800,0.996429,-0.905352,0.21066159,0.49923713,-0.28390372,24,31
2.0,canon,1,7,2100,0.996410,-0.905342,-0.00527248,0.25455162,-0.26741643,44,31
2.0,canon,1,8,2400,0.996551,-0.905414,0.00780239,0.35431680,-0.34980731,42,31
2.0,canon,1,9,2700,0.995718,-0.904989,0.01004860,0.28049269,-0.26039549,45,31
2.0,canon,1,10,3000,0.997519,-0.905906,0.03699837,0.38697910,-0.34122798,39,31
2.0,canon,1,11,3300,0.996788,-0.905535,0.21032289,0.45947446,-0.31133820,20,31
2.0,canon,1,12,3600,0.996873,-0.905578,0.00069888,0.30470151,-0.33401369,38,31
2.0,canon,1,13,3900,0.996334,-0.905303,0.01190053,0.29558137,-0.29467509,39,31
