topology,seed,regime,lambda2,lambda2_norm,avg_ebc,diameter,avg_path,avg_degree,avg_clustering,n_nodes
BA m=1,0,uniform_wins,0.015601335321362646,0.008073654458899172,0.04865217834914804,9.0,4.816565656565657,1.98,0.0,100
BA m=1,1,uniform_wins,0.021333239896991985,0.011265925523165536,0.04820528517498214,11.0,4.772323232323233,1.98,0.0,100
BA m=1,2,uniform_wins,0.019805344729602794,0.010385247189172907,0.04912559942862973,10.0,4.863434343434343,1.98,0.0,100
BA m=2,0,degree_linear_wins,0.5688513499551963,0.1731994397040435,0.015451453308596165,6.0,3.0284848484848483,3.92,0.15783258995906055,100
BA m=2,1,degree_linear_wins,0.5670738093863322,0.17167008783519072,0.015566893424036282,6.0,3.051111111111111,3.92,0.11153238428238428,100
BA m=2,2,degree_linear_wins,0.5739857577267186,0.17469819409563958,0.015125747268604408,5.0,2.9646464646464645,3.92,0.15288587956147628,100
BA m=3,0,degree_linear_wins,0.965501266845227,0.32098635297401823,0.008740324204241728,4.0,2.5434343434343436,5.82,0.20867432999590219,100
BA m=3,1,degree_linear_wins,0.9756512064984693,0.3190401224654368,0.008873615883925162,4.0,2.582222222222222,5.82,0.16190090097984836,100
BA m=3,2,degree_linear_wins,1.416210755795173,0.3158242547113426,0.008840987191502657,5.0,2.5727272727272728,5.82,0.13268358101145153,100
BA m=4,0,degree_linear_marginal,0.9350752444023179,0.3788150752128037,0.006214225589225589,4.0,2.386262626262626,7.68,0.1552900779975622,100
BA m=4,1,degree_linear_marginal,0.9493489764582994,0.4029706809898829,0.006186868686868688,4.0,2.375757575757576,7.68,0.15735903504720303,100
BA m=4,2,degree_linear_marginal,2.126137790765241,0.3859857318599994,0.006239478114478115,4.0,2.395959595959596,7.68,0.16106491237807027,100
BA m=5,0,dead_zone,3.0662799098980704,0.43170798241714337,0.004667729930887827,3.0,2.217171717171717,9.5,0.1952013694934073,100
BA m=5,1,dead_zone,3.1518523008767834,0.47235304242305853,0.004660925039872408,4.0,2.213939393939394,9.5,0.18855319497618933,100
BA m=5,2,dead_zone,2.50371854953571,0.45607511061519496,0.004669005847953216,4.0,2.2177777777777776,9.5,0.1918026696335824,100
BA m=8,0,dead_zone,5.7989192222599,0.5481159488570309,0.0026644158981115502,3.0,1.961010101010101,14.72,0.24516362780993112,100
BA m=8,1,dead_zone,5.874887290329278,0.5602131587253919,0.0026397123407992974,3.0,1.9428282828282828,14.72,0.2543041657936126,100
BA m=8,2,dead_zone,5.654484972148148,0.550352788235344,0.0026567303469477383,3.0,1.9553535353535354,14.72,0.22021427858348852,100
BA m=10,0,dead_zone,7.1130309125188935,0.6176862043550393,0.0020731762065095394,3.0,1.8658585858585859,18.0,0.2723030450090318,100
BA m=10,1,dead_zone,7.441157093949746,0.590055164267808,0.0020682379349046013,3.0,1.8614141414141414,18.0,0.2785979023266082,100
BA m=10,2,dead_zone,7.34964810450727,0.6180383668338774,0.0020644219977553305,3.0,1.857979797979798,18.0,0.2723071633563978,100
WS p=0.1,0,degree_linear_wins,0.15120532123617625,0.03841688502299666,0.023742424242424242,9.0,4.748484848484848,4.0,0.3643333333333333,100
WS p=0.1,1,degree_linear_wins,0.1548472054390892,0.03878752552618735,0.025332323232323234,10.0,5.066464646464646,4.0,0.38766666666666666,100
WS p=0.1,2,degree_linear_wins,0.1877814725170812,0.04693615737795558,0.023517171717171718,10.0,4.703434343434344,4.0,0.389,100
WS p=0.3,0,degree_linear_wins,0.3141272226926063,0.0787569161064835,0.019755555555555554,7.0,3.951111111111111,4.0,0.20800000000000002,100
WS p=0.3,1,degree_linear_wins,0.2953698725354447,0.07550201914481486,0.020073737373737376,8.0,4.014747474747475,4.0,0.24671428571428572,100
WS p=0.3,2,degree_linear_wins,0.2989035586988287,0.07950097325995012,0.01965757575757576,7.0,3.9315151515151516,4.0,0.2671428571428571,100
ER p=0.05,0,degree_linear_wins,0.7746988368510996,0.30565798178399084,0.010014135524339605,6.0,2.8039579468150895,5.656565656565657,0.05255659043537831,99
ER p=0.05,1,degree_linear_wins,0.6694511973441168,0.24842060582857936,0.010906064389210456,6.0,2.911919191919192,5.34,0.06709163059163059,100
ER p=0.05,2,degree_linear_wins,0.4351311843759118,0.21721117098496995,0.012037506539498572,6.0,3.0214141414141413,5.02,0.0430966810966811,100
ER p=0.12,0,dead_zone,4.255874797749194,0.5152294051054384,0.003423675700903424,3.0,2.0747474747474746,12.12,0.12761546783184957,100
ER p=0.12,1,dead_zone,4.247729567155509,0.5043785677950148,0.003442049014188318,3.0,2.0755555555555554,12.06,0.12975511588514685,100
ER p=0.12,2,dead_zone,3.9980552241515888,0.4853097145841814,0.003535524449230033,3.0,2.0894949494949495,11.82,0.12301373257319549,100
Lattice,0,uniform_wins,0.0978869674096891,0.028598008320487485,0.037037037037037035,18.0,6.666666666666667,3.6,0.0,100
Lattice,1,uniform_wins,0.0978869674096891,0.028598008320487485,0.037037037037037035,18.0,6.666666666666667,3.6,0.0,100
Lattice,2,uniform_wins,0.0978869674096891,0.028598008320487485,0.037037037037037035,18.0,6.666666666666667,3.6,0.0,100
