topo,ablation,distance,mi_mean,mi_std
lattice,FULL,1,0.6014677198810727,0.04323336339293223
lattice,FULL,2,0.5590805225572293,0.05462175302978162
lattice,FULL,3,0.5290202864831757,0.04142005791931043
lattice,FULL,4,0.521141073755164,0.04465543310287908
lattice,FULL,5,0.5090479284925477,0.04498868317822246
lattice,FULL,6,0.5105855843591938,0.046886423731710224
lattice,FULL,7,0.5025829394601157,0.03906476540982456
lattice,FULL,8,0.506687920335974,0.03258212603952873
lattice,NO_HERETIC,1,1.0030821279984912,0.05661282252036493
lattice,NO_HERETIC,2,0.9720785310519849,0.05766275308491398
lattice,NO_HERETIC,3,0.9248383964242395,0.06707503350162655
lattice,NO_HERETIC,4,0.9216660816225455,0.06294971662803028
lattice,NO_HERETIC,5,0.9120772127477095,0.06073734500966488
lattice,NO_HERETIC,6,0.9183310148243373,0.06453456830286423
lattice,NO_HERETIC,7,0.9241942199792819,0.05850961670384297
lattice,NO_HERETIC,8,0.9092485342243191,0.05648991942621279
lattice,FROZEN_U,1,1.7117886205791142,0.03477739598108159
lattice,FROZEN_U,2,1.6094114680175888,0.03266727550756179
lattice,FROZEN_U,3,1.639916125727757,0.058563278729141105
lattice,FROZEN_U,4,1.6129617733022772,0.0625338925150093
lattice,FROZEN_U,5,1.655252173246994,0.04694972891501947
lattice,FROZEN_U,6,1.6080752817742325,0.04289510334449945
lattice,FROZEN_U,7,1.624451605494075,0.056455492716620745
lattice,FROZEN_U,8,1.6143070668267072,0.0633994665758679
lattice,NO_SIGMOID,1,0.5774730911202068,0.0808949218091143
lattice,NO_SIGMOID,2,0.521829792984618,0.07111841275198283
lattice,NO_SIGMOID,3,0.5023666610761152,0.06246796741020951
lattice,NO_SIGMOID,4,0.4854800718618926,0.05322981360505372
lattice,NO_SIGMOID,5,0.48696749007486845,0.06675106991322116
lattice,NO_SIGMOID,6,0.4791767040750738,0.06281184100912046
lattice,NO_SIGMOID,7,0.48513344429495664,0.07007398276472444
lattice,NO_SIGMOID,8,0.48454878197938944,0.06212997180134513
ba_m3,FULL,1,0.4875410394709667,0.03535371061140431
ba_m3,FULL,2,0.5129886808097341,0.030489192467273326
ba_m3,FULL,3,0.5856404014634868,0.03578315170045951
ba_m3,FULL,4,0.6172588872148168,0.04194792761758618
ba_m3,FULL,5,0.6807485491089654,0.19069724287748913
ba_m3,NO_HERETIC,1,0.5765070517195686,0.04507802100856712
ba_m3,NO_HERETIC,2,0.5979229318396944,0.0385692177629317
ba_m3,NO_HERETIC,3,0.6215408681890082,0.05027836214763711
ba_m3,NO_HERETIC,4,0.649321404011434,0.049651380113646094
ba_m3,NO_HERETIC,5,0.7007461312750644,0.21509693641668398
ba_m3,FROZEN_U,1,1.662472519229676,0.07680070288314139
ba_m3,FROZEN_U,2,1.585222851301285,0.05514655034936457
ba_m3,FROZEN_U,3,1.6297044254948225,0.060260966876067926
ba_m3,FROZEN_U,4,1.613649736506158,0.05015263565309102
ba_m3,FROZEN_U,5,1.3570068337146939,0.4108478659847378
ba_m3,NO_SIGMOID,1,0.4586132725842857,0.03741657735928871
ba_m3,NO_SIGMOID,2,0.49059357645834584,0.02776117532710896
ba_m3,NO_SIGMOID,3,0.5547060925488119,0.0344610872888102
ba_m3,NO_SIGMOID,4,0.5954444731996252,0.02951531597678652
ba_m3,NO_SIGMOID,5,0.6329116159574523,0.15262938219778413
