mode,sigma,h_cont_mean,h_cont_std,h_cog_mean,h_cog_std,lz_mean,lz_std
ZERO,0.0,2.8836212319794816,0.1420552104286215,0.0037703463418091885,0.011311039025427565,1.0364546651194335,0.04947021860897893
ZERO,0.02,2.8836212319794816,0.1420552104286215,0.0037703463418091885,0.011311039025427565,1.0364546651194335,0.04947021860897893
ZERO,0.05,2.8836212319794816,0.1420552104286215,0.0037703463418091885,0.011311039025427565,1.0364546651194335,0.04947021860897893
ZERO,0.1,2.8836212319794816,0.1420552104286215,0.0037703463418091885,0.011311039025427565,1.0364546651194335,0.04947021860897893
ZERO,0.15,2.8836212319794816,0.1420552104286215,0.0037703463418091885,0.011311039025427565,1.0364546651194335,0.04947021860897893
ZERO,0.2,2.8836212319794816,0.1420552104286215,0.0037703463418091885,0.011311039025427565,1.0364546651194335,0.04947021860897893
ZERO,0.3,2.8836212319794816,0.1420552104286215,0.0037703463418091885,0.011311039025427565,1.0364546651194335,0.04947021860897893
ZERO,0.4,2.8836212319794816,0.1420552104286215,0.0037703463418091885,0.011311039025427565,1.0364546651194335,0.04947021860897893
ZERO,0.5,2.8836212319794816,0.1420552104286215,0.0037703463418091885,0.011311039025427565,1.0364546651194335,0.04947021860897893
UNIFORM,0.0,2.8836212319794816,0.1420552104286215,0.0037703463418091885,0.011311039025427565,1.0364546651194335,0.04947021860897893
UNIFORM,0.02,2.866667926558853,0.055376878813878504,3.590806039818275e-05,0.00010772418119454824,1.0835804476815736,0.029015501482630702
UNIFORM,0.05,3.0320978463623574,0.23820231194461364,0.008079313589591117,0.024237940768773347,1.24034226233559,0.02883847664149689
UNIFORM,0.1,3.156236927699855,0.0803067955370788,0.0020826675030945997,0.006248002509283799,1.5052120807596443,0.018150478315810643
UNIFORM,0.15,3.35013775410975,0.024719076458137288,3.590806039818275e-05,0.00010772418119454824,1.7443485131272916,0.019858447770423
UNIFORM,0.2,3.5755489277757038,0.04592268747680609,0.0019031272011036855,0.005709381603311055,1.920557960968337,0.018473195155027915
UNIFORM,0.3,3.8981810926655682,0.030668248099300674,0.00039498866438001024,0.0005666196357242886,2.141392781390333,0.010929973796227142
UNIFORM,0.4,4.126585807082046,0.011107368057857137,0.007002352069506841,0.0015770600414995537,2.287215302376647,0.007165152720170685
UNIFORM,0.5,4.280364723875647,0.006631854350940487,0.030894654474095652,0.0050014288968197994,2.3838630937328995,0.008236009278504808
HUB,0.0,2.8836212319794816,0.1420552104286215,0.0037703463418091885,0.011311039025427565,1.0364546651194335,0.04947021860897893
HUB,0.02,2.9036122723992412,0.09783701426508365,0.002298115865483696,0.006894347596451088,1.0751068360786538,0.03139518888443879
HUB,0.05,2.954708836481701,0.03235714816596158,0.0,0.0,1.2272845657671563,0.021276624188106913
HUB,0.1,3.110743074737118,0.04104566589015941,0.0,0.0,1.4883690413030206,0.02454593108812763
HUB,0.15,3.281201888949732,0.025854753792290994,0.0,0.0,1.7168440033342072,0.02162077074868366
HUB,0.2,3.454658299533824,0.04440059199501862,0.0,0.0,1.870515033428143,0.01290533483679917
HUB,0.3,3.75391052334067,0.02328554696961231,7.18161207963655e-05,0.0002154483623890965,2.0825984189159756,0.010428152030420116
HUB,0.4,3.9700587433404726,0.016774271149297564,0.000969517630750934,0.000663084897529572,2.2249481482617464,0.012098879126434016
HUB,0.5,4.138299942042048,0.012500348515760016,0.007774515513998373,0.001413942146877924,2.317602229231379,0.011522343769027927
HERETIC,0.0,2.8836212319794816,0.1420552104286215,0.0037703463418091885,0.011311039025427565,1.0364546651194335,0.04947021860897893
HERETIC,0.02,2.941358924402871,0.19532844533380672,0.006212094448885616,0.018636283346656846,1.0671888711382203,0.06728940443958864
HERETIC,0.05,3.030719572429044,0.23676769053125066,0.008079313589591117,0.024237940768773347,1.1103209433137384,0.021417750900095203
HERETIC,0.1,3.0875281017231186,0.0262439027890411,0.0,0.0,1.1386589231005524,0.015638208650416652
HERETIC,0.15,3.245582143511668,0.19062685105329752,0.00938105085199054,0.023834366179786647,1.2155118021057223,0.020816163383186804
HERETIC,0.2,3.278447626244426,0.1835780324632666,0.016522772686820706,0.022856969370334407,1.269722079614566,0.015125432926945763
HERETIC,0.3,3.3133524531563445,0.18034996615992877,0.0422598486355794,0.02208004594259189,1.1816520836104485,0.0876014289893147
HERETIC,0.4,3.3256537132890713,0.17196789110865557,0.0728247040416959,0.02482294986565064,1.1257748661141451,0.05559874341953289
HERETIC,0.5,3.329514048817888,0.1591725196800995,0.11140493186578719,0.022699450894435935,1.0906302147118705,0.059829104811923654
