m,label,H_cont,H_std,synchrony,lz_complexity,u_mean
3,V4 D=0.15 static,3.6559513211178967,0.05920307811605625,0.0009528980905328122,0.8003967970354187,0.9960311720211216
3,D(u) alpha=-0.5,4.259427905236932,0.05802845769717443,0.005899526174800683,0.8730355323086947,0.9986441015906072
3,D(u) alpha=-4.0,5.172472472606654,0.023724267172600236,0.003304729066129726,0.9435518794074409,0.9997695669338947
3,D(u) alpha=-8.0,5.268726614291981,0.018138692963636956,0.0029883382395611206,1.040076324928236,0.9998842717945443
5,V4 D=0.15 static,3.246470297635668,0.0886980868218375,-0.0011142563236507727,0.7875032888751515,0.9984655568001927
5,D(u) alpha=-0.5,3.6697749653943905,0.09139363604073367,-0.0008898099393152638,0.8042966853061171,0.9995172066016152
5,D(u) alpha=-4.0,5.06752488835569,0.030788474851756387,0.004302197752967709,0.8703118008180484,0.9998589937538145
5,D(u) alpha=-8.0,5.336630105910769,0.029291137255026977,5.5102528645793714e-05,0.9876975534376569,0.9999520927991279
7,V4 D=0.15 static,2.8955724917527306,0.053159254103428505,-0.001806025460967946,0.7639801532741148,0.9998542506116416
7,D(u) alpha=-0.5,4.273813388573186,0.10179769276426928,-0.0038337340315063606,0.5700115606902292,0.9999501805889169
7,D(u) alpha=-4.0,4.829107417593498,0.15814380704672928,-0.0021311199560531285,0.5962761143500331,0.999966256819797
7,D(u) alpha=-8.0,4.306060723515482,0.12375897838250215,-0.004395347993504006,0.5816404792298394,0.9999976729480191
10,V4 D=0.15 static,2.495028595687502,0.0366177988247606,-0.002036622570282639,0.7124061206330451,0.9999711719944497
10,D(u) alpha=-0.5,3.6271719501022885,0.23097082682080394,-0.005686072623077003,0.5205864460758705,0.999995175291675
10,D(u) alpha=-4.0,3.8655045461087227,0.2781490475931169,-0.005129598723930883,0.5195252519886057,0.9999952556463815
10,D(u) alpha=-8.0,3.4217229695056575,0.08424243644783419,-0.002914125031803184,0.5115662963341197,0.9999987810604302
