kind,idx,u_final,sig_mean,z_score,lap_input
normal,0,0.827747,2.398317,0.824936,0.044984
normal,1,0.823614,2.645799,0.795622,0.044036
normal,2,0.838144,2.770569,0.828821,0.044452
normal,3,0.833191,2.775622,0.878587,0.044493
normal,4,0.809522,2.607258,0.846375,0.044665
normal,5,0.795731,2.690360,0.760206,0.045189
normal,6,0.839720,2.880974,0.881831,0.044076
normal,7,0.848377,2.721625,0.876975,0.044153
normal,8,0.853038,2.620904,0.821556,0.044140
normal,9,0.850805,2.911593,0.776299,0.044907
normal,10,0.864709,2.710423,0.833974,0.044237
normal,11,0.822994,2.572944,0.844718,0.043903
normal,12,0.798830,2.619937,0.837576,0.044869
normal,13,0.835298,2.784619,0.859629,0.045182
normal,14,0.853133,2.926679,0.814841,0.044250
normal,15,0.841932,2.701313,0.817133,0.044934
normal,16,0.810429,2.735557,0.867642,0.044287
normal,17,0.797775,2.660708,0.738543,0.044805
normal,18,0.838775,2.874776,0.833443,0.044272
normal,19,0.882224,2.828649,0.816487,0.044710
normal,20,0.851735,2.715451,0.867671,0.044531
normal,21,0.884158,2.767923,0.846663,0.044952
normal,22,0.848247,2.786936,0.870491,0.044835
normal,23,0.868615,2.687386,0.738791,0.044471
normal,24,0.852615,2.868143,0.688385,0.045118
normal,25,0.831489,2.851119,0.683896,0.045148
normal,26,0.852098,2.791891,0.855695,0.044286
normal,27,0.848478,2.899021,0.808908,0.044836
normal,28,0.835195,2.688504,0.861439,0.044616
normal,29,0.835829,2.722732,0.882177,0.044261
normal,30,0.867333,2.768574,0.786985,0.044866
normal,31,0.838041,2.604224,0.795338,0.044274
normal,32,0.897421,2.872692,0.829336,0.044079
normal,33,0.832496,2.775876,0.714016,0.044256
normal,34,0.843960,2.784142,0.848073,0.044243
normal,35,0.856446,2.830824,0.844960,0.044359
normal,36,0.877796,2.840847,0.748318,0.045064
normal,37,0.839238,2.839067,0.665590,0.044839
normal,38,0.832511,2.827873,0.869657,0.044557
normal,39,0.797917,2.705444,0.803111,0.044237
corrupt,0,0.786734,2.532172,0.953376,0.391344
corrupt,1,0.755749,2.361801,1.221530,0.354123
corrupt,2,0.730032,2.215078,1.190153,0.366001
corrupt,3,0.775769,2.389899,1.097680,0.369004
corrupt,4,0.799568,2.547593,1.085702,0.394163
corrupt,5,0.723601,2.410078,1.179648,0.380639
corrupt,6,0.679808,2.337528,1.250885,0.369109
corrupt,7,0.686876,2.269692,1.194229,0.402561
corrupt,8,0.747618,2.437235,1.087021,0.399164
corrupt,9,0.779690,2.516387,1.111699,0.371438
corrupt,10,0.716268,2.368374,1.266422,0.353653
corrupt,11,0.713635,2.376801,1.196968,0.389833
corrupt,12,0.757824,2.499048,1.052553,0.381648
corrupt,13,0.701177,2.505562,1.160402,0.381741
corrupt,14,0.684596,2.208035,1.176321,0.431750
corrupt,15,0.737497,2.382842,1.176894,0.368537
corrupt,16,0.765889,2.488671,1.185112,0.396329
corrupt,17,0.706096,2.229103,1.222968,0.431224
corrupt,18,0.754168,2.432772,1.069689,0.397176
corrupt,19,0.732745,2.303159,1.240513,0.398768
corrupt,20,0.679164,2.090077,1.199326,0.352535
corrupt,21,0.698509,2.287414,1.058763,0.350322
corrupt,22,0.791939,2.410879,1.157571,0.394460
corrupt,23,0.786613,2.401366,1.195549,0.437284
corrupt,24,0.792868,2.497771,1.052643,0.432555
corrupt,25,0.751146,2.476733,1.199338,0.392865
corrupt,26,0.758156,2.404962,1.034719,0.406237
corrupt,27,0.728720,2.338943,1.222626,0.368418
corrupt,28,0.744402,2.540106,1.211266,0.330922
corrupt,29,0.731394,2.359421,1.204562,0.429277
corrupt,30,0.711904,2.264626,1.143209,0.397715
corrupt,31,0.674961,2.226552,1.099338,0.376975
corrupt,32,0.762777,2.300360,1.138258,0.364277
corrupt,33,0.780358,2.528940,1.200322,0.503627
corrupt,34,0.776135,2.507102,1.185151,0.444276
corrupt,35,0.764142,2.470294,1.077083,0.374658
corrupt,36,0.730032,2.281283,1.179597,0.428137
corrupt,37,0.794872,2.470656,1.142137,0.407048
corrupt,38,0.694087,2.333663,1.198642,0.423939
corrupt,39,0.760552,2.495664,1.236035,0.416921
novel_clean,0,0.962739,3.314027,1.837803,0.063798
novel_clean,1,0.946371,3.192731,1.888734,0.063529
novel_clean,2,0.962607,3.196549,1.886907,0.063728
novel_clean,3,0.968513,3.322546,1.871310,0.063222
novel_clean,4,0.945063,3.174177,1.951491,0.063847
novel_clean,5,0.965649,3.318777,1.923359,0.063586
novel_clean,6,0.965345,3.156421,1.943742,0.063737
novel_clean,7,0.971938,3.318517,1.967234,0.063455
novel_clean,8,0.964756,3.396271,1.872547,0.063756
novel_clean,9,0.926365,3.006291,1.850265,0.063543
novel_clean,10,0.957895,3.212034,1.898175,0.063562
novel_clean,11,0.955019,3.330762,1.937354,0.063798
novel_clean,12,0.957399,3.144786,1.927301,0.063863
novel_clean,13,0.983387,3.538431,1.837173,0.063354
novel_clean,14,0.948559,3.108750,1.959415,0.063726
novel_clean,15,0.939121,3.100022,1.895228,0.063710
novel_clean,16,0.956977,3.204397,1.924464,0.063597
novel_clean,17,0.939553,3.049363,1.864372,0.063399
novel_clean,18,0.963306,3.350635,1.823519,0.063497
novel_clean,19,0.966935,3.210911,1.912524,0.063898
