m,nu,ablation,elapsed_hours,seed,h_cont,h_cog,sync
3,0.05,FULL,1,42,3.7491904849486857,0.23707386608661352,0.09753982749603654
3,0.05,FULL,1,123,3.818761052861276,0.29257449539056535,0.09137151790741865
3,0.05,FULL,1,777,3.7755909341918823,0.24623402727469917,0.11413515609455659
3,0.05,FULL,1,17,3.7330532423740532,0.20698471896436804,0.09481060597360391
3,0.05,FULL,1,256,3.65163929050272,0.18373386955151985,0.12782340029097589
3,0.05,FULL,1,1337,3.559609173344029,0.10451867008552258,0.06582069138722037
3,0.05,FULL,1,99,3.6692581996642812,0.16967863429306243,0.08650479199140669
3,0.05,FULL,1,314,3.7682547525870813,0.211284187739326,0.0907379414688697
3,0.05,FULL,1,2024,3.7003962564078816,0.2053467193097064,0.08153591248195645
3,0.05,FULL,1,888,3.7044095440970106,0.22797697311723392,0.08279600493108256
3,0.05,FULL,10,42,3.745509650997813,0.27409692182172446,0.08290766306777408
3,0.05,FULL,10,123,3.836427285115281,0.3409685656374288,0.1703004198484893
3,0.05,FULL,10,777,3.768199029793626,0.2864617479771851,0.12481641551308863
3,0.05,FULL,10,17,3.7774734428282377,0.29690804472159754,0.08674165378413307
3,0.05,FULL,10,256,3.6738996666187376,0.2536702363352883,0.14994895572395253
3,0.05,FULL,10,1337,3.5946358544680495,0.18099290575689564,0.08935777098161922
3,0.05,FULL,10,99,3.7301338473077346,0.25445766925330293,0.09943483817114773
3,0.05,FULL,10,314,3.7336826115004897,0.26020349522331965,0.08342105062328324
3,0.05,FULL,10,2024,3.7332796453435444,0.2723209804950764,0.08166227351409192
3,0.05,FULL,10,888,3.736553736108014,0.2730956445134775,0.09152344336329234
3,0.05,FULL,100,42,3.803834652776198,0.3808296948524775,0.09685814052966836
3,0.05,FULL,100,123,3.8767359639491694,0.4078714319386891,0.15279588145826334
3,0.05,FULL,100,777,3.8324019496852686,0.3642214573308223,0.15224283191482899
3,0.05,FULL,100,17,3.8110765182626953,0.34663123118206035,0.11520097024022485
3,0.05,FULL,100,256,3.729099063783577,0.3046919457695434,0.15828950813961873
3,0.05,FULL,100,1337,3.6403969390749125,0.21696876838325682,0.0810352127735202
3,0.05,FULL,100,99,3.766079503366369,0.3277686178018596,0.10709743963792635
3,0.05,FULL,100,314,3.744296292021809,0.3287985687642279,0.11736139603647316
3,0.05,FULL,100,2024,3.7388616255660962,0.32396748663898456,0.09065465772304784
3,0.05,FULL,100,888,3.869046855667401,0.37231141363712916,0.11953232606203955
3,0.05,FULL,1000,42,3.8268350659750254,0.41517723457264877,0.08685682092846032
3,0.05,FULL,1000,123,3.916129813557321,0.4517503222614996,0.15845111896271255
3,0.05,FULL,1000,777,3.811250596865587,0.43659243401473113,0.14175201117427683
3,0.05,FULL,1000,17,3.8370632464311325,0.4217333284071687,0.1384030635182313
3,0.05,FULL,1000,256,3.7856699941758847,0.3982796393392006,0.10754506533341006
3,0.05,FULL,1000,1337,3.7013979962467434,0.34105372106304466,0.10892175470040055
3,0.05,FULL,1000,99,3.7262288080930315,0.4019337297599835,0.14120251638756207
3,0.05,FULL,1000,314,3.7925429040213294,0.4189978602394086,0.09602791357890604
3,0.05,FULL,1000,2024,3.8203675624039475,0.40593924772282414,0.09535722111220453
3,0.05,FULL,1000,888,3.8507502016762767,0.42109574400948874,0.12045385344325982
3,0.05,FULL,10000,42,3.811750334605242,0.5311198842322178,0.04938079243225282
3,0.05,FULL,10000,123,3.922085860700194,0.5054691676911002,0.1506150842807196
3,0.05,FULL,10000,777,3.9254782686650347,0.5027118623253549,0.11304892697894516
3,0.05,FULL,10000,17,3.8671476518430548,0.5021248713955481,0.10369983023355682
3,0.05,FULL,10000,256,3.8014198560607566,0.4908458363461749,0.12093711805007352
3,0.05,FULL,10000,1337,3.702079731249278,0.4312948001526556,0.11560827009890175
3,0.05,FULL,10000,99,3.8558182562356365,0.4798944544573521,0.15588212068395127
3,0.05,FULL,10000,314,3.869461442826676,0.5199676512226347,0.09100129795897433
3,0.05,FULL,10000,2024,3.855781675511451,0.5020973539116208,0.10973260395130807
3,0.05,FULL,10000,888,4.047159873993405,0.5077390865393073,0.15555846757437553
3,0.05,FULL,100000,42,3.901353827401208,0.5690479027533456,0.10580202731482892
3,0.05,FULL,100000,123,4.0113567714426965,0.5846376996303358,0.1348171964952033
3,0.05,FULL,100000,777,3.9485332487909983,0.5701693676183174,0.12903713210513842
3,0.05,FULL,100000,17,3.860309255956771,0.5811925116417916,0.06212536865618922
3,0.05,FULL,100000,256,3.901896408567878,0.5449089635963901,0.16210023611183472
3,0.05,FULL,100000,1337,3.833931445383584,0.5292770783905049,0.11763464934049774
3,0.05,FULL,100000,99,3.9792071308305585,0.5779238548639946,0.17265899109916222
3,0.05,FULL,100000,314,3.9397861602549074,0.5567404568501858,0.13225758337316945
3,0.05,FULL,100000,2024,3.852902750997458,0.5585429854715045,0.09185951482740463
3,0.05,FULL,100000,888,3.9731474523074515,0.5654358259369978,0.13978885929670287
3,0.05,FULL,1000000,42,3.947579993203464,0.6091570998708434,0.1499584343298548
3,0.05,FULL,1000000,123,4.036306858841419,0.613957161562959,0.22775106219995764
3,0.05,FULL,1000000,777,3.9502787774292285,0.5895536391180304,0.19830382839770494
3,0.05,FULL,1000000,17,4.011937267714162,0.6357875916031424,0.0950074326998307
3,0.05,FULL,1000000,256,3.923718265773531,0.5719529515469981,0.17686960651940273
3,0.05,FULL,1000000,1337,3.848603428815545,0.5736206118721778,0.15087503415228196
3,0.05,FULL,1000000,99,3.9934662440196074,0.7052459620337224,0.1340236728587221
3,0.05,FULL,1000000,314,3.957094399409466,0.6197005836563606,0.21502516817583153
3,0.05,FULL,1000000,2024,3.8919649950566417,0.5823973264953661,0.1504809091608072
3,0.05,FULL,1000000,888,3.965625365260809,0.5738651007954967,0.15504297949198487
3,0.05,FROZEN_U,1,42,4.5129595902986965,1.225576062824101,0.5874432410261016
3,0.05,FROZEN_U,1,123,4.947369050826307,1.560112394776852,0.29150234403524866
3,0.05,FROZEN_U,1,777,4.526500624993381,1.2535310874798744,0.5532213185035644
3,0.05,FROZEN_U,1,17,4.676657655809163,1.3556941941146883,0.4613414557613794
3,0.05,FROZEN_U,1,256,4.585826622344302,1.2790727117489924,0.5942921065392094
3,0.05,FROZEN_U,1,1337,4.495819692154015,1.2313627565027414,0.6074278745613207
3,0.05,FROZEN_U,1,99,4.559269289760214,1.2426140878187972,0.6010930572396576
3,0.05,FROZEN_U,1,314,4.7023553401822085,1.3747432811579676,0.4494172148329056
3,0.05,FROZEN_U,1,2024,4.5342164847235225,1.2568331423491357,0.5754348105272871
3,0.05,FROZEN_U,1,888,4.61441677512132,1.3232481189718124,0.5042782653657439
3,0.05,FROZEN_U,10,42,4.555944590666869,1.2572965534525375,0.5111829559856884
3,0.05,FROZEN_U,10,123,4.6455155254885785,1.3049999422572265,0.5438600167537586
3,0.05,FROZEN_U,10,777,4.500106164452524,1.2273220589018716,0.5738944559130237
3,0.05,FROZEN_U,10,17,4.830635284421764,1.4471907441250218,0.3628827455531422
3,0.05,FROZEN_U,10,256,4.3969832199118555,1.1392416093223907,0.6677961902349312
3,0.05,FROZEN_U,10,1337,4.469721438734899,1.213038943600405,0.560404320139744
3,0.05,FROZEN_U,10,99,4.527559269513845,1.2119691330129854,0.6042411654612966
3,0.05,FROZEN_U,10,314,4.701779043080104,1.3840911854480653,0.4312710325086694
3,0.05,FROZEN_U,10,2024,4.82397201884998,1.4464876387054924,0.3935241662665012
3,0.05,FROZEN_U,10,888,4.398206963974689,1.1337365171944362,0.6217091511996305
3,0.05,FROZEN_U,100,42,4.720892461486948,1.35322605534299,0.39308795921758494
3,0.05,FROZEN_U,100,123,4.407140278847909,1.2046319256422897,0.5704649964800526
3,0.05,FROZEN_U,100,777,4.404336045685607,1.142345881282761,0.6023398651820661
3,0.05,FROZEN_U,100,17,4.578931595977991,1.3042963051700216,0.4108671924827267
3,0.05,FROZEN_U,100,256,4.5350410300350585,1.2295189074831845,0.5215909534467834
