m,direction,graph_seed,dyn_seed,k_harm_in,k_harm_out,n_deaf_in,h_cont,h_cog,sync
3,UNDIRECTED,1,42,nan,nan,0,3.580436066860588,0.09982513749400504,0.0023289669246480066
3,UNDIRECTED,1,123,nan,nan,0,3.6510195225416933,0.1605773172271851,0.00662255718190125
3,UNDIRECTED,1,777,nan,nan,0,3.681210616547197,0.13129170998311135,0.020647043564059202
3,UNDIRECTED,1,17,nan,nan,0,3.748059884965432,0.18461226327746297,0.010272675143227338
3,UNDIRECTED,1,256,nan,nan,0,3.634178504008336,0.1211323086418756,0.004061070536239913
3,RANDOM,1,42,2.161506405968233,1.9217523222210622,5,3.742201555347044,0.17627228874948478,0.08805998905992386
3,RANDOM,1,123,2.161506405968233,1.9217523222210622,5,3.8760484861219062,0.32570112152819525,0.013571332352206034
3,RANDOM,1,777,2.161506405968233,1.9217523222210622,5,3.871880815862488,0.2458479553574071,0.0030650625607280377
3,RANDOM,1,17,2.161506405968233,1.9217523222210622,5,3.896246476227642,0.2352607629888525,0.02802901936301095
3,RANDOM,1,256,2.161506405968233,1.9217523222210622,5,3.77493359436883,0.16678279912841568,0.01728756239738783
3,HUBS_LISTEN,1,42,2.282262594834917,2.7310344827586204,40,4.043684663771441,0.35265868259302485,0.013131619836103883
3,HUBS_LISTEN,1,123,2.282262594834917,2.7310344827586204,40,4.144157186768678,0.38463159284268855,0.034480422649086
3,HUBS_LISTEN,1,777,2.282262594834917,2.7310344827586204,40,4.1293839513048045,0.39239265692780956,0.04255269683699021
3,HUBS_LISTEN,1,17,2.282262594834917,2.7310344827586204,40,4.12950223879713,0.4101205900509248,0.03264160302491667
3,HUBS_LISTEN,1,256,2.282262594834917,2.7310344827586204,40,4.160032428645865,0.4135974545471588,0.022335580792704195
3,HUBS_BROADCAST,1,42,2.783505154639175,2.4396549201423854,1,3.682561112352488,0.11060227318930753,0.05544854330718972
3,HUBS_BROADCAST,1,123,2.783505154639175,2.4396549201423854,1,3.718884639082529,0.18051190554531096,0.011565238420400319
3,HUBS_BROADCAST,1,777,2.783505154639175,2.4396549201423854,1,3.933465881867627,0.3206307818272549,0.014437417684306194
3,HUBS_BROADCAST,1,17,2.783505154639175,2.4396549201423854,1,3.805634744889476,0.2517645596261162,0.009946396001789277
3,HUBS_BROADCAST,1,256,2.783505154639175,2.4396549201423854,1,3.6906039214197754,0.16623764524900714,0.01888347594352806
3,UNDIRECTED,2,42,nan,nan,0,3.6194221431121925,0.08728615368372922,0.00963185057893029
3,UNDIRECTED,2,123,nan,nan,0,3.758260547875253,0.21501837246059005,0.03209138174593103
3,UNDIRECTED,2,777,nan,nan,0,3.655694982299234,0.11008362358289275,0.02194071811852296
3,UNDIRECTED,2,17,nan,nan,0,3.730701293053358,0.2202312690425234,0.013147153547943375
3,UNDIRECTED,2,256,nan,nan,0,3.705621894920266,0.23368818722565238,0.018792607013392356
3,RANDOM,2,42,2.121126847748478,1.7815765084961603,9,3.726923883767358,0.24176113415260025,0.05373503700146253
3,RANDOM,2,123,2.121126847748478,1.7815765084961603,9,3.9638098694928643,0.31136046098756687,0.014750782341786901
3,RANDOM,2,777,2.121126847748478,1.7815765084961603,9,3.910641853055348,0.20353545027545572,0.023772983985179668
3,RANDOM,2,17,2.121126847748478,1.7815765084961603,9,3.931895140978347,0.3077842478649597,0.08072458702173459
3,RANDOM,2,256,2.121126847748478,1.7815765084961603,9,3.9787905582914775,0.2832029702335729,0.03779619226993516
3,HUBS_LISTEN,2,42,1.9835026967421667,2.6975476839237054,43,4.124632057441288,0.41257870708790134,0.0472877213978128
3,HUBS_LISTEN,2,123,1.9835026967421667,2.6975476839237054,43,4.283651333155881,0.49498697823775045,0.02249817911153663
3,HUBS_LISTEN,2,777,1.9835026967421667,2.6975476839237054,43,4.319234754959353,0.5589271515412828,0.07151324520005943
3,HUBS_LISTEN,2,17,1.9835026967421667,2.6975476839237054,43,4.315184556468136,0.5656655179292422,0.013864256347629379
3,HUBS_LISTEN,2,256,1.9835026967421667,2.6975476839237054,43,4.28680310423768,0.5590155936353142,0.04725969442871242
3,HUBS_BROADCAST,2,42,2.722273143904674,2.015254837828386,1,3.810808028881967,0.2661396673850341,0.007944830304543567
3,HUBS_BROADCAST,2,123,2.722273143904674,2.015254837828386,1,3.766878800136989,0.298292527816058,0.012099621794181378
3,HUBS_BROADCAST,2,777,2.722273143904674,2.015254837828386,1,3.7417935361195043,0.21254255767643354,0.06397866387703739
3,HUBS_BROADCAST,2,17,2.722273143904674,2.015254837828386,1,3.7191500997796374,0.20493397250727186,0.03827935544243914
3,HUBS_BROADCAST,2,256,2.722273143904674,2.015254837828386,1,3.7899197969254885,0.27556941366758286,0.026065134096111876
3,UNDIRECTED,3,42,nan,nan,0,3.599001760705188,0.09232432586026645,-0.0025277421756794345
3,UNDIRECTED,3,123,nan,nan,0,3.823284993470655,0.2779598900252501,0.013465535744957801
3,UNDIRECTED,3,777,nan,nan,0,3.6890591678993676,0.17647612781045496,0.016234894361521392
3,UNDIRECTED,3,17,nan,nan,0,3.682616006964545,0.19965040102878995,-0.0008122936145581245
3,UNDIRECTED,3,256,nan,nan,0,3.64366186284396,0.19947960853848032,0.006693669368333575
3,RANDOM,3,42,2.068354944021248,1.8992750963016278,11,3.8253911870329023,0.28063489585277557,0.0854319907068327
3,RANDOM,3,123,2.068354944021248,1.8992750963016278,11,4.089607923346418,0.3388849974553605,0.04895445168014763
3,RANDOM,3,777,2.068354944021248,1.8992750963016278,11,3.9693584749105053,0.3790618517605023,0.06091511038647129
3,RANDOM,3,17,2.068354944021248,1.8992750963016278,11,3.887875152993961,0.2504393405159368,0.058710542704582605
