budget,signal,r_pb,base_acc,acc_cov50,acc_cov70
400,conf_u_naif,+0.7393,0.4667,0.7833,0.6667
400,conf_u_inv,-0.7393,0.4667,0.1500,0.2976
400,conf_sig,+0.1536,0.4667,0.5833,0.5000
400,conf_tcons,-0.8084,0.4667,0.1000,0.2738
400,conf_stab,-0.5647,0.4667,0.4000,0.2857
400,COMPOSITE_CV,+0.8304,0.4667,0.8500,0.6667
800,conf_u_naif,-0.1197,0.6833,0.5500,0.6310
800,conf_u_inv,+0.1197,0.6833,0.8167,0.7500
800,conf_sig,+0.4630,0.6833,0.8833,0.7738
800,conf_tcons,+0.4510,0.6833,0.8500,0.6905
800,conf_stab,+0.5825,0.6833,0.7833,0.8452
800,COMPOSITE_CV,+0.8455,0.6833,0.9333,0.9048
1600,conf_u_naif,-0.1014,0.4500,0.3833,0.3690
1600,conf_u_inv,+0.1014,0.4500,0.5167,0.5119
1600,conf_sig,-0.0879,0.4500,0.4333,0.4048
1600,conf_tcons,-0.0350,0.4500,0.4333,0.4524
1600,conf_stab,+0.1663,0.4500,0.5167,0.5238
1600,COMPOSITE_CV,+0.0693,0.4500,0.5333,0.5119
