trial,dstar,t_fake_end,correct,conf_u_naif,conf_u_inv,conf_sig,conf_tcons,conf_stab
0,-1,330.5,1,0.1552,0.8448,0.8927,0.4412,0.9025
1,-1,1099.5,1,0.2091,0.7909,0.8023,0.5650,0.9350
2,1,485.5,0,0.1006,0.8994,0.8253,0.2350,1.0000
3,-1,647.3,1,0.1129,0.8871,0.9045,0.5863,0.8575
4,-1,185.7,1,0.2799,0.7201,0.7524,0.2662,1.0000
5,1,1281.4,0,0.3121,0.6879,0.7427,0.2762,0.8625
6,-1,711.8,1,0.0790,0.9210,0.9121,0.4813,0.8625
7,1,172.1,0,0.2454,0.7546,0.7476,0.2437,0.5600
8,1,101.7,0,0.3050,0.6950,0.7772,0.2213,0.5550
9,-1,603.9,1,0.1579,0.8421,0.8700,0.4775,0.8875
10,-1,1265.9,1,0.1108,0.8892,0.8238,0.5513,0.8450
11,-1,1393.8,1,0.1347,0.8653,0.7888,0.4838,0.9125
12,-1,663.3,1,0.1215,0.8785,0.8789,0.6375,0.7450
13,-1,628.2,1,0.1490,0.8510,0.8795,0.5312,0.8900
14,-1,1012.5,1,0.0945,0.9055,0.7768,0.6162,0.8400
15,1,599.9,1,0.1703,0.8297,0.6832,0.2288,0.1875
16,1,821.2,0,0.2511,0.7489,0.7894,0.2562,0.9925
17,-1,785.3,1,0.1509,0.8491,0.8388,0.4988,0.8925
18,-1,364.3,1,0.1051,0.8949,0.8985,0.4938,0.8125
19,-1,250.5,1,0.1421,0.8579,0.8715,0.4375,0.9750
20,1,709.4,0,0.1790,0.8210,0.2078,0.2412,1.0000
21,-1,616.1,1,0.1505,0.8495,0.8163,0.7913,0.8700
22,-1,997.0,1,0.1154,0.8846,0.7980,0.6275,0.9075
23,-1,938.0,1,0.1501,0.8499,0.8269,0.5663,0.8425
24,-1,1167.8,1,0.1384,0.8616,0.8045,0.5175,0.9300
25,1,239.3,0,0.1217,0.8783,0.7914,0.2825,0.4350
26,-1,221.1,1,0.1414,0.8586,0.9039,0.3250,1.0000
27,1,637.8,1,0.1869,0.8131,0.3314,0.2188,0.1325
28,1,342.0,0,0.1136,0.8864,0.8012,0.2750,0.3850
29,1,837.7,0,0.3449,0.6551,0.6991,0.2275,1.0000
30,1,650.7,0,0.1466,0.8534,0.5704,0.8150,0.8425
31,1,1305.0,0,0.2100,0.7900,0.7712,0.2275,1.0000
32,1,581.5,1,0.1420,0.8580,0.6783,0.2737,0.4550
33,1,679.1,1,0.2073,0.7927,0.1435,0.2162,0.1775
34,-1,952.4,1,0.0967,0.9033,0.7998,0.6925,0.6950
35,1,459.3,0,0.1671,0.8329,0.7001,0.2288,0.1375
36,-1,693.0,1,0.1333,0.8667,0.9032,0.5162,0.9275
37,-1,1114.0,1,0.0781,0.9219,0.8193,0.5675,0.8600
38,-1,245.3,1,0.1066,0.8934,0.9336,0.3525,1.0000
39,1,1153.4,0,0.2667,0.7333,0.8050,0.2238,0.4900
40,-1,1109.5,1,0.2364,0.7636,0.7711,0.5637,0.9175
41,1,1234.9,0,0.2410,0.7590,0.7284,0.2200,1.0000
42,-1,608.5,1,0.1246,0.8754,0.8748,0.6262,0.7850
43,1,900.3,0,0.2266,0.7734,0.7459,0.5913,0.9725
44,-1,1183.1,1,0.1583,0.8417,0.8180,0.4537,0.8975
45,-1,1105.0,1,0.1278,0.8722,0.7613,0.6238,0.7675
46,-1,799.2,1,0.1847,0.8153,0.7932,0.6512,0.7550
47,-1,115.4,1,0.3299,0.6701,0.7558,0.2225,1.0000
48,-1,215.8,1,0.1835,0.8165,0.8753,0.3100,1.0000
49,1,1268.7,0,0.1870,0.8130,0.7766,0.4713,1.0000
50,1,286.5,0,0.1225,0.8775,0.7932,0.3075,0.5350
51,-1,800.6,1,0.2087,0.7913,0.7897,0.6175,0.8625
52,1,981.0,0,0.3637,0.6363,0.6989,0.2838,1.0000
53,-1,774.4,1,0.0704,0.9296,0.8629,0.6488,0.7200
54,1,498.9,0,0.1295,0.8705,0.7459,0.2313,0.5000
55,1,225.9,0,0.1250,0.8750,0.8269,0.2762,0.5375
56,1,1251.5,0,0.2645,0.7355,0.5769,0.2700,0.5325
57,-1,494.6,1,0.1599,0.8401,0.8452,0.5800,0.7850
58,1,573.2,1,0.1275,0.8725,0.7494,0.2288,0.2875
59,1,819.9,0,0.2006,0.7994,0.7735,0.2875,0.8400
