kind,seed,rule,param,stop_iter,success,network_node_steps
easy,0,TOL,0.02,90,1,0
easy,0,TOL,0.01,104,1,0
easy,0,TOL,0.005,117,1,0
easy,0,TOL,0.002,135,1,0
easy,0,PATIENCE,50,2000,1,0
easy,0,PATIENCE,100,2000,1,0
easy,0,PATIENCE,200,2000,1,0
easy,0,PATIENCE,400,2000,1,0
easy,0,PATIENCE,800,2000,1,0
easy,0,PATIENCE,1600,2000,1,0
easy,0,M4R_U,(2; 0.3),2000,1,400000
easy,0,M4R_SIG,(2; 0.3),108,1,21600
easy,0,M4R_U,(2; 0.5),2000,1,400000
easy,0,M4R_SIG,(2; 0.5),96,1,19200
easy,0,M4R_U,(2; 0.7),2000,1,400000
easy,0,M4R_SIG,(2; 0.7),35,0,7000
easy,0,M4R_L,(2; 0.01; 0.3),1062,1,212400
easy,0,M4R_L,(2; 0.01; 0.5),167,1,33400
easy,0,M4R_L,(2; 0.01; 0.7),120,1,24000
easy,0,M4R_L,(2; 0.03; 0.3),146,1,29200
easy,0,M4R_L,(2; 0.03; 0.5),116,1,23200
easy,0,M4R_L,(2; 0.03; 0.7),75,1,15000
easy,0,M4R_L,(2; 0.1; 0.3),117,1,23400
easy,0,M4R_L,(2; 0.1; 0.5),103,1,20600
easy,0,M4R_L,(2; 0.1; 0.7),50,0,10000
easy,0,M4R_L,(2; 0.3; 0.3),110,1,22000
easy,0,M4R_L,(2; 0.3; 0.5),99,1,19800
easy,0,M4R_L,(2; 0.3; 0.7),40,0,8000
easy,0,M4R_U,(5; 0.3),2000,1,1000000
easy,0,M4R_SIG,(5; 0.3),51,0,25500
easy,0,M4R_U,(5; 0.5),2000,1,1000000
easy,0,M4R_SIG,(5; 0.5),47,0,23500
easy,0,M4R_U,(5; 0.7),2000,1,1000000
easy,0,M4R_SIG,(5; 0.7),38,0,19000
easy,0,M4R_L,(5; 0.01; 0.3),193,1,96500
easy,0,M4R_L,(5; 0.01; 0.5),128,1,64000
easy,0,M4R_L,(5; 0.01; 0.7),89,1,44500
easy,0,M4R_L,(5; 0.03; 0.3),95,1,47500
easy,0,M4R_L,(5; 0.03; 0.5),74,1,37000
easy,0,M4R_L,(5; 0.03; 0.7),61,0,30500
easy,0,M4R_L,(5; 0.1; 0.3),61,0,30500
easy,0,M4R_L,(5; 0.1; 0.5),55,0,27500
easy,0,M4R_L,(5; 0.1; 0.7),49,0,24500
easy,0,M4R_L,(5; 0.3; 0.3),53,0,26500
easy,0,M4R_L,(5; 0.3; 0.5),49,0,24500
easy,0,M4R_L,(5; 0.3; 0.7),42,0,21000
easy,0,M4R_U,(10; 0.3),2000,1,2000000
easy,0,M4R_SIG,(10; 0.3),36,0,36000
easy,0,M4R_U,(10; 0.5),2000,1,2000000
easy,0,M4R_SIG,(10; 0.5),33,0,33000
easy,0,M4R_U,(10; 0.7),1038,1,1038000
easy,0,M4R_SIG,(10; 0.7),28,0,28000
easy,0,M4R_L,(10; 0.01; 0.3),161,1,161000
easy,0,M4R_L,(10; 0.01; 0.5),105,1,105000
easy,0,M4R_L,(10; 0.01; 0.7),69,0,69000
easy,0,M4R_L,(10; 0.03; 0.3),74,1,74000
