integrator,tau,condition,seed,h_cont,sync
EULER_WHITE,,FULL,0,1.633024938588686,0.07258726771146884
EULER_OU,0.4,FULL,0,1.530193088651283,0.11993422317518135
RK45_OU,0.4,FULL,0,1.5270492450173994,0.12234491027819336
EULER_OU,0.1,FULL,0,1.5787331330773626,0.08995407904188157
RK45_OU,0.1,FULL,0,1.5704164444043704,0.09336014920847494
EULER_OU,0.025,FULL,0,1.6980384154244885,0.07486930482730181
RK45_OU,0.025,FULL,0,1.6082403489147155,0.07951295240546584
EULER_OU,0.00625,FULL,0,2.2469362483464135,0.07264400490322027
RK45_OU,0.00625,FULL,0,1.6259394607647064,0.07632588449191251
EULER_WHITE,,FROZEN_U,0,4.908218528229189,0.5432636888919646
EULER_OU,0.4,FROZEN_U,0,4.893727795707022,0.5422598619995177
RK45_OU,0.4,FROZEN_U,0,4.878876469019058,0.542393816771315
EULER_OU,0.1,FROZEN_U,0,4.882466660531639,0.5438689599762433
RK45_OU,0.1,FROZEN_U,0,4.878226909880245,0.5445422210189458
EULER_OU,0.025,FROZEN_U,0,4.935451364397888,0.5399278901793958
RK45_OU,0.025,FROZEN_U,0,4.919949206823416,0.5403752226113044
EULER_OU,0.00625,FROZEN_U,0,5.053848930836283,0.5116355883359761
RK45_OU,0.00625,FROZEN_U,0,4.926243820123558,0.5529025827743419
EULER_WHITE,,FULL,1,1.600366900855749,0.0722184933498603
EULER_OU,0.4,FULL,1,1.5460200604773002,0.11837760956513689
RK45_OU,0.4,FULL,1,1.5444320625460262,0.12067964968831085
EULER_OU,0.1,FULL,1,1.5887653702498539,0.09064527262189251
RK45_OU,0.1,FULL,1,1.5797852875002008,0.09423398075025587
EULER_OU,0.025,FULL,1,1.6818565065507987,0.07480169668238482
RK45_OU,0.025,FULL,1,1.6231733723460156,0.07880941898317748
EULER_OU,0.00625,FULL,1,2.210337520579795,0.07304198586334483
RK45_OU,0.00625,FULL,1,1.6245181074316997,0.07656027194692756
EULER_WHITE,,FROZEN_U,1,4.841164280235715,0.5670389623409041
EULER_OU,0.4,FROZEN_U,1,4.822737253035547,0.5765150030212893
RK45_OU,0.4,FROZEN_U,1,4.815043263664071,0.5760077445710082
EULER_OU,0.1,FROZEN_U,1,4.902167211813063,0.5656911524477325
RK45_OU,0.1,FROZEN_U,1,4.8991221583830615,0.5662851889032706
EULER_OU,0.025,FROZEN_U,1,4.874753375780426,0.5680998108754335
RK45_OU,0.025,FROZEN_U,1,4.858047298857198,0.5689540219703906
EULER_OU,0.00625,FROZEN_U,1,4.9654551568585745,0.5128232389771216
RK45_OU,0.00625,FROZEN_U,1,4.830802226524304,0.5585179914160304
EULER_WHITE,,FULL,2,1.6117339508891386,0.07076320016054191
EULER_OU,0.4,FULL,2,1.550856566910049,0.1185964238509263
RK45_OU,0.4,FULL,2,1.5516099332631152,0.12097754673904382
EULER_OU,0.1,FULL,2,1.58361542337963,0.08925460722279965
RK45_OU,0.1,FULL,2,1.5813017145693977,0.09244852509195751
EULER_OU,0.025,FULL,2,1.6801919705243988,0.0743442629658229
RK45_OU,0.025,FULL,2,1.6094293652255751,0.07842158673450812
EULER_OU,0.00625,FULL,2,2.2651894920873183,0.07054187988963911
RK45_OU,0.00625,FULL,2,1.6105592803992839,0.07795465060571459
EULER_WHITE,,FROZEN_U,2,4.936229044409478,0.5453423646007564
EULER_OU,0.4,FROZEN_U,2,4.955760661294807,0.5423812387999711
RK45_OU,0.4,FROZEN_U,2,4.941089862900947,0.5428391354359823
EULER_OU,0.1,FROZEN_U,2,4.928354943719299,0.548128105135672
RK45_OU,0.1,FROZEN_U,2,4.910208991478052,0.5492658668958129
EULER_OU,0.025,FROZEN_U,2,4.913981768628654,0.5428524729894915
RK45_OU,0.025,FROZEN_U,2,4.87061983123528,0.5509890741852395
EULER_OU,0.00625,FROZEN_U,2,5.060411593534741,0.5004305689832763
RK45_OU,0.00625,FROZEN_U,2,4.893959404480479,0.5360439832243783
EULER_WHITE,,FULL,3,1.6439021814625492,0.0731968603444653
EULER_OU,0.4,FULL,3,1.5511384501107057,0.11810488087958868
RK45_OU,0.4,FULL,3,1.5500337676104585,0.12032661630976392
EULER_OU,0.1,FULL,3,1.5930690187225809,0.08823518050055189
RK45_OU,0.1,FULL,3,1.578208300250461,0.0917755309457511
EULER_OU,0.025,FULL,3,1.683585901308113,0.07436025487193824
RK45_OU,0.025,FULL,3,1.6167381909846597,0.07927941729175653
EULER_OU,0.00625,FULL,3,2.2940941845974367,0.07330354514508408
RK45_OU,0.00625,FULL,3,1.6244026141664427,0.07717525157176996
EULER_WHITE,,FROZEN_U,3,4.734419859167727,0.5705279813953404
EULER_OU,0.4,FROZEN_U,3,4.814142709445158,0.5940089631365246
RK45_OU,0.4,FROZEN_U,3,4.79750828602698,0.5946015477768946
EULER_OU,0.1,FROZEN_U,3,4.801007558091526,0.5828780247147292
RK45_OU,0.1,FROZEN_U,3,4.771401234388569,0.5842624082741967
EULER_OU,0.025,FROZEN_U,3,4.797682701540924,0.5843555474566293
RK45_OU,0.025,FROZEN_U,3,4.738728082003979,0.5785583019154096
EULER_OU,0.00625,FROZEN_U,3,5.022579034830704,0.5168163714975686
RK45_OU,0.00625,FROZEN_U,3,4.779821045299991,0.5686544017235415
