integrator,tau,condition,h_cont_mean,h_cont_std,sync_mean,sync_std
EULER_WHITE,,FULL,1.6222569929490307,0.017134565832921847,0.07219145539158409,0.0008955655431119657
EULER_OU,0.4,FULL,1.5445520415373346,0.008536135332551343,0.1187532843677083,0.0007037009893082692
EULER_OU,0.1,FULL,1.5860457363573568,0.0053875665098255445,0.0895222848467814,0.0008910438651428191
EULER_OU,0.025,FULL,1.68591819845195,0.007099758742497994,0.07459387983686194,0.00024286620451639522
EULER_OU,0.00625,FULL,2.254139361402741,0.030368484411666747,0.07238285395032207,0.0010885210686046084
RK45_OU,0.4,FULL,1.54328125210925,0.009743790513040779,0.12108218075382798,0.0007645820780979065
RK45_OU,0.1,FULL,1.5774279366811075,0.004193246035567294,0.09295454649910985,0.0009283858169436
RK45_OU,0.025,FULL,1.6143953193677414,0.006022616194862282,0.07900584385372698,0.00042188286892521997
RK45_OU,0.00625,FULL,1.6213548656905332,0.0062621490492529575,0.07700401465408116,0.0006304361390165632
EULER_WHITE,,FROZEN_U,4.855007928010528,0.07771963499604059,0.5565432493072414,0.012324155819891484
EULER_OU,0.4,FROZEN_U,4.871592104870634,0.057579432703688434,0.5637912667393257,0.02234386564003427
EULER_OU,0.1,FROZEN_U,4.878499093538882,0.04760899409167242,0.5601415605685942,0.015466620618047636
EULER_OU,0.025,FROZEN_U,4.880467302586973,0.05251762946189976,0.5588089303752375,0.01837152903239345
EULER_OU,0.00625,FROZEN_U,5.025573679015075,0.037537896696887826,0.5104264419484856,0.006081844846790037
RK45_OU,0.4,FROZEN_U,4.858129470402764,0.05666615806918891,0.5639605611388,0.02233407585471836
RK45_OU,0.1,FROZEN_U,4.8647398235324815,0.05509896529193626,0.5610889212730565,0.015633214650092545
RK45_OU,0.025,FROZEN_U,4.846836104729968,0.06656618284776417,0.559719155170586,0.01492144644255268
RK45_OU,0.00625,FROZEN_U,4.857706624107083,0.05657212502198042,0.554029739784573,0.011819296314763151
