window_center,source,target,te_bits
200,Q1,Q2,0.000000
250,Q1,Q2,0.000000
300,Q1,Q2,0.000000
350,Q1,Q2,0.000000
400,Q1,Q2,0.001939
450,Q1,Q2,0.018693
500,Q1,Q2,0.025907
550,Q1,Q2,0.027229
600,Q1,Q2,0.029644
650,Q1,Q2,0.000000
700,Q1,Q2,0.000000
750,Q1,Q2,0.000000
800,Q1,Q2,0.000000
850,Q1,Q2,0.000000
900,Q1,Q2,0.000000
950,Q1,Q2,0.000578
1000,Q1,Q2,0.008641
1050,Q1,Q2,0.016867
1100,Q1,Q2,0.009948
1150,Q1,Q2,0.000000
1200,Q1,Q2,0.008201
1250,Q1,Q2,0.027274
1300,Q1,Q2,0.037181
1350,Q1,Q2,0.036520
1400,Q1,Q2,0.037255
1450,Q1,Q2,0.028946
1500,Q1,Q2,0.005358
1550,Q1,Q2,0.005587
1600,Q1,Q2,0.002701
1650,Q1,Q2,0.021924
1700,Q1,Q2,0.058602
1750,Q1,Q2,0.034540
1800,Q1,Q2,0.030391
1850,Q1,Q2,0.066421
1900,Q1,Q2,0.051145
1950,Q1,Q2,0.027229
200,Q1,Q3,0.000000
250,Q1,Q3,0.000000
300,Q1,Q3,0.000000
350,Q1,Q3,0.000000
400,Q1,Q3,0.002026
450,Q1,Q3,0.002981
500,Q1,Q3,0.002567
550,Q1,Q3,0.000000
600,Q1,Q3,0.000000
650,Q1,Q3,0.000000
700,Q1,Q3,0.000000
750,Q1,Q3,0.000000
800,Q1,Q3,0.000000
850,Q1,Q3,0.000000
900,Q1,Q3,0.000000
950,Q1,Q3,0.027981
1000,Q1,Q3,0.042026
1050,Q1,Q3,0.047544
1100,Q1,Q3,0.017541
1150,Q1,Q3,0.000000
1200,Q1,Q3,0.004108
1250,Q1,Q3,0.001717
1300,Q1,Q3,0.017905
1350,Q1,Q3,0.029541
1400,Q1,Q3,0.040227
1450,Q1,Q3,0.018611
1500,Q1,Q3,0.012499
1550,Q1,Q3,0.004469
1600,Q1,Q3,0.003402
1650,Q1,Q3,0.016712
1700,Q1,Q3,0.005369
1750,Q1,Q3,0.011417
1800,Q1,Q3,0.001272
1850,Q1,Q3,0.050085
1900,Q1,Q3,0.070016
1950,Q1,Q3,0.069525
200,Q1,Q4,0.000000
250,Q1,Q4,0.000000
300,Q1,Q4,0.000000
350,Q1,Q4,0.002052
400,Q1,Q4,0.003039
450,Q1,Q4,0.005960
500,Q1,Q4,0.013396
550,Q1,Q4,0.000000
600,Q1,Q4,0.000000
650,Q1,Q4,0.000000
700,Q1,Q4,0.000000
750,Q1,Q4,0.000000
800,Q1,Q4,0.000000
850,Q1,Q4,0.000000
900,Q1,Q4,0.000000
950,Q1,Q4,0.000387
1000,Q1,Q4,0.057955
1050,Q1,Q4,0.070548
1100,Q1,Q4,0.092289
1150,Q1,Q4,0.000000
1200,Q1,Q4,0.007402
1250,Q1,Q4,0.012373
1300,Q1,Q4,0.016496
1350,Q1,Q4,0.051608
1400,Q1,Q4,0.042452
1450,Q1,Q4,0.040175
1500,Q1,Q4,0.020461
1550,Q1,Q4,0.010045
1600,Q1,Q4,0.014965
1650,Q1,Q4,0.023270
1700,Q1,Q4,0.008586
1750,Q1,Q4,0.015402
1800,Q1,Q4,0.001311
1850,Q1,Q4,0.000825
1900,Q1,Q4,0.017152
