m,condition,lam_coupling,lam_stimulus,n_seeds,h_cont_mean,h_cont_std,h_cog_mean,sync_mean,sync_std
3,DETERMINISTIC,,,10,3.669208570918907,0.03666573145237019,0.18033674367461025,0.007369445952248406,0.006387897551186494
3,COUPLING_3,3,,10,3.6848087291411318,0.04739515250753933,0.17164402570502113,0.005270442067754277,0.005257464287635083
3,COUPLING_10,10,,10,3.676772778148039,0.042526021063967634,0.17259365363910845,0.006629844466005395,0.007790224418075501
3,COUPLING_30,30,,10,3.66543982299494,0.048801392734666514,0.1745320104751421,0.010031874323136502,0.005509791918450635
3,COUPLING_100,100,,10,3.6735493782077135,0.05001803077114792,0.1767156507819402,0.009390537715345544,0.0082912280248207
3,COUPLING_300,300,,10,3.6788892026640654,0.048343255456707916,0.1804685976947347,0.008788863532687475,0.006739385166242335
3,COUPLING_1000,1000,,10,3.6556999503294625,0.05510512388824001,0.1668756846664794,0.009471651091794186,0.007265414365927242
3,FULLOPT_3,3,3,10,3.8407454600211444,0.052692646268109974,0.21616737473192565,0.005005714169252122,0.00496263046619783
3,FULLOPT_10,10,10,10,3.7182809407891697,0.06047669973608719,0.18337401042974846,0.008217636794276954,0.0067534664031424305
3,FULLOPT_30,30,30,10,3.6817967710262685,0.043921625894989214,0.1738372334332273,0.007814131033944011,0.007948604066285989
3,FULLOPT_100,100,100,10,3.6650485419109358,0.05020033341007122,0.1751398311786892,0.007972770408722645,0.00596649636604617
3,FULLOPT_300,300,300,10,3.668078294891616,0.03973996351745742,0.17199510568811344,0.00684390405372568,0.007254990867102801
3,FULLOPT_1000,1000,1000,10,3.662763593399089,0.06338282000363568,0.1748376715776821,0.011358668490674526,0.008974759808294696
5,DETERMINISTIC,,,10,3.184459611420193,0.06163353159216261,0.0,0.0024546788796685356,0.006139967681014823
5,COUPLING_3,3,,10,3.1942109166899706,0.05560666038795701,0.0,0.0016427134677902719,0.006106887230815206
5,COUPLING_10,10,,10,3.207705406131621,0.07511762827284538,0.0,0.002298418190810847,0.007593029599285508
5,COUPLING_30,30,,10,3.2035473385592637,0.057599394520179176,0.0,0.005195827182024414,0.009041014090170269
5,COUPLING_100,100,,10,3.188801276405557,0.05949572143150864,0.0,-0.00020639092005771877,0.004524938243379831
5,COUPLING_300,300,,10,3.188905907901286,0.06347742109056928,0.0,-0.00022679018652713737,0.002298639704733896
5,COUPLING_1000,1000,,10,3.1876139299989292,0.05885446409339699,0.0,0.00014607863029034542,0.004016223810620225
5,FULLOPT_3,3,3,10,3.383860926097642,0.0634937300529413,0.0003770346341809189,0.0002775779477001671,0.003622198699329674
5,FULLOPT_10,10,10,10,3.265345530602766,0.0772461388625432,0.0,-0.00025551051061714565,0.0037835163120120132
5,FULLOPT_30,30,30,10,3.2154099708283503,0.06471196729373428,2.693104529863706e-05,0.00020734158735075895,0.005266067733961049
5,FULLOPT_100,100,100,10,3.192549630127618,0.047814455979974364,0.0,0.00021396099995735896,0.004749492840672135
5,FULLOPT_300,300,300,10,3.2019161770984823,0.06326980419826608,5.386209059727412e-05,-0.002498607630093608,0.0029396362744637788
5,FULLOPT_1000,1000,1000,10,3.199871695348588,0.06210682317390819,2.693104529863706e-05,0.0008630448195531602,0.0027838631267496656
