condition,tau_mat,seed,h_pre,h_post,delta_h,i_eff_max
ELEC,,42,3.6554990410643216,3.119810085263876,-0.5356889558004454,1.5
ELEC,,123,4.417761554951375,3.3480933752978723,-1.0696681796535028,1.5
ELEC,,777,3.6170442434893664,3.4645925510070095,-0.1524516924823569,1.5
ELEC,,17,4.367380560268332,3.3730308382882224,-0.9943497219801096,1.5
ELEC,,256,4.17923649063635,3.435138333234528,-0.7440981574018215,1.5
ELEC,,1337,3.8432400882527458,3.508047440369749,-0.33519264788299674,1.5
ELEC,,99,4.289183641752688,3.3270941686675335,-0.9620894730851544,1.5
ELEC,,314,4.185827919884561,3.393543618351985,-0.7922843015325762,1.5
ELEC,,2024,4.485042466140571,3.245903679547639,-1.2391387865929318,1.5
ELEC,,888,3.9527042652925455,3.1328598349356542,-0.8198444303568913,1.5
GST_tau0,0,42,3.6554990410643216,3.182380713951535,-0.47311832711278656,1.4736842105263157
GST_tau0,0,123,4.417761554951375,3.443190955741904,-0.9745705992094713,1.5121951219512197
GST_tau0,0,777,3.6170442434893664,3.3522359768033585,-0.2648082666860079,1.4444444444444444
GST_tau0,0,17,4.367380560268332,3.2478952050109995,-1.1194853552573325,1.4444444444444444
GST_tau0,0,256,4.17923649063635,3.298323177144368,-0.8809133134919818,1.4285714285714286
GST_tau0,0,1337,3.8432400882527458,3.443559083403637,-0.39968100484910885,1.4444444444444444
GST_tau0,0,99,4.289183641752688,3.386620791883437,-0.9025628498692511,1.411764705882353
GST_tau0,0,314,4.185827919884561,3.3503254913117164,-0.8355024285728447,1.5121951219512197
GST_tau0,0,2024,4.485042466140571,3.1668765017119527,-1.3181659644286179,1.4285714285714286
GST_tau0,0,888,3.9527042652925455,3.2050714846182067,-0.7476327806743388,1.4736842105263157
GST_tau1,1,42,3.6554990410643216,3.182380713951535,-0.47311832711278656,1.4736842105263157
GST_tau1,1,123,4.417761554951375,3.443190955741904,-0.9745705992094713,1.5121951219512197
GST_tau1,1,777,3.6170442434893664,3.3522359768033585,-0.2648082666860079,1.4444444444444444
GST_tau1,1,17,4.367380560268332,3.2478952050109995,-1.1194853552573325,1.4444444444444444
GST_tau1,1,256,4.17923649063635,3.298323177144368,-0.8809133134919818,1.4285714285714286
GST_tau1,1,1337,3.8432400882527458,3.443559083403637,-0.39968100484910885,1.4444444444444444
GST_tau1,1,99,4.289183641752688,3.386620791883437,-0.9025628498692511,1.411764705882353
GST_tau1,1,314,4.185827919884561,3.3503254913117164,-0.8355024285728447,1.5121951219512197
GST_tau1,1,2024,4.485042466140571,3.1668765017119527,-1.3181659644286179,1.4285714285714286
GST_tau1,1,888,3.9527042652925455,3.2050714846182067,-0.7476327806743388,1.4736842105263157
GST_tau3,3,42,3.6554990410643216,3.1663749607475085,-0.4891240803168131,1.2975418853590335
GST_tau3,3,123,4.417761554951375,3.3197820138569174,-1.0979795410944577,1.3603663165717657
GST_tau3,3,777,3.6170442434893664,3.535284038465596,-0.08176020502377046,1.2962598694830885
GST_tau3,3,17,4.367380560268332,3.1924932540848965,-1.1748873061834355,1.309073671879913
GST_tau3,3,256,4.17923649063635,3.431587797733823,-0.7476486929025268,1.278185477890073
GST_tau3,3,1337,3.8432400882527458,3.6589229572136537,-0.18431713103909209,1.3096101653336816
GST_tau3,3,99,4.289183641752688,3.419278857963354,-0.8699047837893339,1.2983516789232974
GST_tau3,3,314,4.185827919884561,3.40446743135215,-0.7813604885324112,1.3307509239451643
GST_tau3,3,2024,4.485042466140571,3.285760751137089,-1.1992817150034814,1.2834120088440533
GST_tau3,3,888,3.9527042652925455,3.227424635663115,-0.7252796296294304,1.317851894908698
GST_tau10,10,42,3.6554990410643216,3.1084651331199273,-0.5470339079443942,1.2507658431684774
GST_tau10,10,123,4.417761554951375,3.3653199088692873,-1.0524416460820878,1.2955355069758827
GST_tau10,10,777,3.6170442434893664,3.5767661880510593,-0.04027805543830709,1.2190672217019614
GST_tau10,10,17,4.367380560268332,3.3479242790487156,-1.0194562812196164,1.2433016788889188
GST_tau10,10,256,4.17923649063635,3.3477296779158525,-0.8315068127204972,1.2233735424964478
GST_tau10,10,1337,3.8432400882527458,3.344272511848871,-0.4989675764038748,1.2604811415862367
GST_tau10,10,99,4.289183641752688,3.2784581575755896,-1.0107254841770983,1.2400888511411687
GST_tau10,10,314,4.185827919884561,3.2433000013860167,-0.9425279184985444,1.2255886568768382
GST_tau10,10,2024,4.485042466140571,3.16626982180634,-1.3187726443342305,1.2231664626401528
GST_tau10,10,888,3.9527042652925455,3.105916350320889,-0.8467879149716566,1.2596887471205704
GST_tau30,30,42,3.6554990410643216,3.247630658281758,-0.40786838278256354,1.1851177961543995
GST_tau30,30,123,4.417761554951375,3.4929135808876275,-0.9248479740637476,1.1847406596954937
GST_tau30,30,777,3.6170442434893664,3.394375261211832,-0.2226689822775345,1.1598835270727441
GST_tau30,30,17,4.367380560268332,3.447982800265914,-0.9193977600024179,1.1817169253952635
