m,condition,sigma_fab,seed,h_cont,h_cog,sync
3,ELEC,,42,3.7062842209776687,0.19345230028391985,-0.0048370328246562936
3,ELEC,,123,3.7229370343347545,0.25022470439147365,0.0019860622428068413
3,ELEC,,777,3.6675108964264456,0.18377197419407026,0.017214348460221494
3,ELEC,,17,3.644525829119171,0.18705518075809593,0.008950709987008712
3,ELEC,,256,3.6369674199940074,0.14664698698577985,0.015047781123047799
3,ELEC,,1337,3.5964132327806966,0.09085140781408846,0.0022511723212806523
3,ELEC,,99,3.6447416800945183,0.1567382820742738,0.0036335910508306177
3,ELEC,,314,3.698135033126235,0.2056805863758273,0.009860780967519573
3,ELEC,,2024,3.6788371792327865,0.1779986402399375,0.012399447850777361
3,ELEC,,888,3.6957331831027918,0.210947373628636,0.007187598343647311
3,fab0,0.0,42,3.8360513930924145,0.21993729177999535,-0.0018504267713139175
3,fab0,0.0,123,3.8085496967131878,0.26459831131433004,0.010285824952727651
3,fab0,0.0,777,3.8102624611283,0.2458191171130836,0.008272695129922307
3,fab0,0.0,17,3.773354895217805,0.20298670248600376,0.004565822613627499
3,fab0,0.0,256,3.7345705662055724,0.17807363782728577,0.02508553256716203
3,fab0,0.0,1337,3.654270978707285,0.12745008840244612,0.002304007201651473
3,fab0,0.0,99,3.7314788225398714,0.16483176740174071,0.0008574951045871282
3,fab0,0.0,314,3.7565782512818524,0.1919836537882629,0.014182514598718917
3,fab0,0.0,2024,3.7660183470607413,0.18429362130866964,0.005314048133476385
3,fab0,0.0,888,3.8250585671885333,0.24192242042987255,0.0016431383712578493
3,fab0.05,0.05,42,3.832319499724586,0.22449775566249816,-0.003280908927294046
3,fab0.05,0.05,123,3.8402918567231126,0.26769549493227096,0.004275527586469028
3,fab0.05,0.05,777,3.8564772874813413,0.22183563124526198,0.01289448432938795
3,fab0.05,0.05,17,3.8550880355678228,0.21415786611904195,0.0005034374923816926
3,fab0.05,0.05,256,3.7846966489272784,0.17769404882318376,0.013066426606680557
3,fab0.05,0.05,1337,3.7461932609835853,0.10978915788737705,0.0054464962757390595
3,fab0.05,0.05,99,3.8090279920289514,0.17828981472694597,0.013572154548801773
3,fab0.05,0.05,314,3.8461434023455223,0.1740667475711656,0.006246614551492379
3,fab0.05,0.05,2024,3.80468907913391,0.19472199358776465,0.007741631611148339
3,fab0.05,0.05,888,3.8859657594753876,0.23705519084491602,0.009479718632679691
3,fab0.1,0.1,42,3.885602476573698,0.19554009766862232,-0.003951548326563554
3,fab0.1,0.1,123,3.9491472599918054,0.2577983459338015,0.002643916248701015
3,fab0.1,0.1,777,3.9742082846104214,0.23279262386135116,0.01814617027031668
3,fab0.1,0.1,17,3.9397020780444505,0.23873057075446946,0.005363196332271421
3,fab0.1,0.1,256,3.909346345334098,0.1792445126969084,0.011332694300862237
3,fab0.1,0.1,1337,3.8868982354354222,0.1257221731755165,0.004687333501095875
3,fab0.1,0.1,99,3.9063926209911553,0.20282893714822986,0.004779657017639883
3,fab0.1,0.1,314,3.9244211505194304,0.18414815835730972,0.014933355098954075
3,fab0.1,0.1,2024,3.8909393129093806,0.21453315245715165,0.002612309647131493
3,fab0.1,0.1,888,4.062768734553114,0.25681233107164997,0.010673099556686098
3,fab0.2,0.2,42,4.062859184221056,0.180069909189898,0.007335317857504189
3,fab0.2,0.2,123,4.1752464806297525,0.27852877792936725,0.01041146836149042
3,fab0.2,0.2,777,4.028748913460051,0.17823871647854683,0.02331341441789971
3,fab0.2,0.2,17,3.9373910660671285,0.12439890475748884,0.007147203324606701
3,fab0.2,0.2,256,4.089590981816647,0.1753890007255079,0.007788743121476905
3,fab0.2,0.2,1337,4.030293593380435,0.1481816571373189,0.014992378425836214
3,fab0.2,0.2,99,4.0620735494834515,0.1686384165866621,0.004227777654749534
3,fab0.2,0.2,314,4.034452206000984,0.17786098522241842,0.004356444916710554
3,fab0.2,0.2,2024,4.025883744308523,0.21352132789048758,0.00016280609304244065
3,fab0.2,0.2,888,4.157137136838793,0.2048861360409183,0.010146704476613911
3,fab0.3,0.3,42,4.181957531937834,0.2103416092159189,0.008522506641842871
3,fab0.3,0.3,123,4.212994346812986,0.17733385125988887,0.01939557718860678
3,fab0.3,0.3,777,4.162732664771405,0.18930995554609792,0.03355351150590139
3,fab0.3,0.3,17,4.007829454392205,0.16337889826021534,0.011292689546315297
3,fab0.3,0.3,256,4.233465675039364,0.2521534838857527,0.0024999298685843456
3,fab0.3,0.3,1337,4.037156725486893,0.15990144776199902,0.002212015591551918
3,fab0.3,0.3,99,4.042587698854295,0.16892566256006836,0.0059828450714069035
3,fab0.3,0.3,314,4.061810926320573,0.14111644189518563,0.012821515247985086
3,fab0.3,0.3,2024,4.071234604727277,0.24030429406226006,0.0068484579972540255
3,fab0.3,0.3,888,4.2991109897947135,0.28285185273023405,0.0040565001863150565
3,fab0.5,0.5,42,4.375428319810498,0.32456042516161543,0.020716844269668935
3,fab0.5,0.5,123,4.33745560954873,0.2471894583449928,0.007747362049298515
3,fab0.5,0.5,777,4.402358610352528,0.3640913601888619,0.0009115385868477421
3,fab0.5,0.5,17,4.3729263310404285,0.3596480445268143,0.01309316104932384
3,fab0.5,0.5,256,4.503177743177804,0.3727045314375213,0.015774452998054227
3,fab0.5,0.5,1337,4.232428860406281,0.19068377269756234,0.0046210783439711205
3,fab0.5,0.5,99,4.204394488176256,0.1849425701012177,0.0068787556011634535
3,fab0.5,0.5,314,4.339726615499068,0.23298606031580127,0.017956344839637536
3,fab0.5,0.5,2024,4.517757176019682,0.4006880892087336,0.0023558208858844225
3,fab0.5,0.5,888,4.6868123676158655,0.4730634766688526,0.026118677270538855
5,ELEC,,42,3.1627924922518598,0.0,-0.006255823827675473
5,ELEC,,123,3.247145770125801,0.0,-0.0027166247859445594
5,ELEC,,777,3.2242036794527427,0.0,0.007310485022135255
5,ELEC,,17,3.1234030003004123,0.0,0.006398185901174415
5,ELEC,,256,3.147448073727002,0.0,-0.0013937599537382577
5,ELEC,,1337,3.096030836810262,0.0,-0.0005885471058277521
5,ELEC,,99,3.114787173922083,0.0,0.0019798620912900074
5,ELEC,,314,3.2859083224721446,0.0,0.015504457230158508
5,ELEC,,2024,3.246034645088362,0.0,0.00665274001806482
5,ELEC,,888,3.196842120051262,0.0,-0.0023441857929516106
5,fab0,0.0,42,3.320865196006721,0.0,-0.0007486076880443547
5,fab0,0.0,123,3.4019587889484093,0.0,-0.0029355571275616965
5,fab0,0.0,777,3.306274250682382,0.0,0.001995931447932353
5,fab0,0.0,17,3.2355668089912735,0.0,-0.005552864461408489
5,fab0,0.0,256,3.279814102326685,0.0002693104529863706,0.0037008236613026942
5,fab0,0.0,1337,3.2055450626820523,0.0,-0.004878251542093441
5,fab0,0.0,99,3.2096489312215875,0.0,-0.0022595218755660776
5,fab0,0.0,314,3.4255585046782926,0.0,-0.0007276191491913642
5,fab0,0.0,2024,3.3727156629216624,0.0,-0.004513846522825239
5,fab0,0.0,888,3.3388384083232148,0.0,-0.002006825013405642
5,fab0.05,0.05,42,3.3309792349655782,0.0005386209059727412,-0.004421893712196706
5,fab0.05,0.05,123,3.4435226701788726,0.0,0.005837135915119998
5,fab0.05,0.05,777,3.408939380196025,0.0,0.019293643056562587
5,fab0.05,0.05,17,3.2806937968789476,0.0,0.0004896040953954959
5,fab0.05,0.05,256,3.292804458475459,0.0,0.004552414197160385
5,fab0.05,0.05,1337,3.25576735045055,0.0,0.0006473365652057938
5,fab0.05,0.05,99,3.266106592674368,0.0,-0.004994581119162928
5,fab0.05,0.05,314,3.4807692993215458,0.0,0.006130995093350057
5,fab0.05,0.05,2024,3.3863549474849646,0.0002693104529863706,-0.00040336805989706856
5,fab0.05,0.05,888,3.4168859718353044,0.0,0.002808083689698432
5,fab0.1,0.1,42,3.457342391156429,0.0,0.0018461530905925726
5,fab0.1,0.1,123,3.4439280066698728,0.0,-0.0006000306337516371
5,fab0.1,0.1,777,3.5937761734967224,0.0,0.015500578110718127
5,fab0.1,0.1,17,3.3613106250710567,0.0,-0.0018809970703732714
5,fab0.1,0.1,256,3.4279559322460607,0.0,-0.0005323996916905511
5,fab0.1,0.1,1337,3.3768477729288473,0.0,-0.002990753038479829
5,fab0.1,0.1,99,3.3863669196658313,0.0,-0.004662539537002588
5,fab0.1,0.1,314,3.5112651132784882,0.0,0.006215825264104152
5,fab0.1,0.1,2024,3.4787028063780325,0.0,-0.0016183711878520596
5,fab0.1,0.1,888,3.514980431505052,0.0002693104529863706,0.0023433711850337087
5,fab0.2,0.2,42,3.542057441479677,0.0,-0.0005287904823131266
5,fab0.2,0.2,123,3.5733981396706667,0.0002693104529863706,0.002983968352226648
5,fab0.2,0.2,777,3.6566397510471824,0.0,0.009317779601893146
5,fab0.2,0.2,17,3.390504565112993,0.0,0.00044251462981450727
5,fab0.2,0.2,256,3.5063625216485526,0.0,0.0038259913117942752
5,fab0.2,0.2,1337,3.4619610172171695,0.0,0.0009830795866205128
5,fab0.2,0.2,99,3.5260737403279077,0.0,0.0020504205142958783
5,fab0.2,0.2,314,3.5750845957397,0.0,0.008282013275418354
5,fab0.2,0.2,2024,3.5364743164680417,0.0,0.004653222868160718
5,fab0.2,0.2,888,3.651873474400257,0.0,0.003892932608940449
5,fab0.3,0.3,42,3.7168000511385126,0.0,-0.002436148833686185
5,fab0.3,0.3,123,3.7823016394721085,0.025584007269538533,0.0027042974941281182
5,fab0.3,0.3,777,3.8611734963643114,0.07121400705298331,0.028708801508276954
5,fab0.3,0.3,17,3.5673884271975536,0.0,0.0012467994821723364
5,fab0.3,0.3,256,3.729553903757983,0.022759886560786882,-6.479017759322991e-05
5,fab0.3,0.3,1337,3.535150466504606,0.0,-0.005929182935359943
5,fab0.3,0.3,99,3.582197401857743,0.0,-0.0012487635279329254
5,fab0.3,0.3,314,3.7057678585901126,0.0002693104529863706,-0.001531293725506733
5,fab0.3,0.3,2024,3.7142503819560027,0.0005386209059727412,0.0033904470376952952
5,fab0.3,0.3,888,3.8214343315885952,0.0,-0.0010178325574869782
5,fab0.5,0.5,42,4.052625204322888,0.08749102970039571,0.0030643305881167438
5,fab0.5,0.5,123,3.959223215142027,0.03790027803441152,-0.003955976659051992
5,fab0.5,0.5,777,4.18006945133003,0.17304695584858348,0.0037473346076583266
