m,condition,sigma_fab,n_seeds,h_cont_mean,h_cont_std,h_cog_mean,sync_mean,sync_std
3,ELEC,,10,3.669208570918907,0.03666573145237019,0.18033674367461025,0.007369445952248406,0.006387897551186494
3,fab0,0.0,10,3.7696193979135564,0.0518068655156726,0.20218966118516907,0.007066065190181732,0.007527444089195224
3,fab0.05,0.05,10,3.82608928223915,0.03852016117581849,0.1999803701400426,0.006994558270748644,0.005289088245537522
3,fab0.1,0.1,10,3.9329426498962974,0.05130858615251138,0.20881509031250106,0.007122018364709523,0.0062482911970952685
3,fab0.2,0.2,10,4.060367685620681,0.06504827732947364,0.1849713831958614,0.008988225864993057,0.006117124248709282
3,fab0.3,0.3,10,4.131088061813754,0.09446716664822943,0.19856174971776208,0.010718554884576369,0.009099424370796342
3,fab0.5,0.5,10,4.397246612164714,0.1348801396651286,0.3150557788651973,0.011617403589438866,0.007996879941294523
5,ELEC,,10,3.184459611420193,0.06163353159216261,0.0,0.0024546788796685356,0.006139967681014823
5,fab0,0.0,10,3.3096785716782278,0.07357897447395853,2.693104529863706e-05,-0.0017926338270861258,0.0028176418241100164
5,fab0.05,0.05,10,3.3562823702461615,0.0768609452152818,8.079313589591118e-05,0.0029939369721236047,0.00654369612045954
5,fab0.1,0.1,10,3.455247617239639,0.06858489489210576,2.693104529863706e-05,0.0013620836491298623,0.005538375183189513
5,fab0.2,0.2,10,3.5420429563112146,0.07629297853633757,2.693104529863706e-05,0.0035903132266851363,0.0030414644873968345
5,fab0.3,0.3,10,3.701601795842753,0.10368305636279147,0.012036583224226783,0.0023822333764706707,0.009131496446740507
5,fab0.5,0.5,10,4.058896670966229,0.14603057406151573,0.09665336030964167,0.0037917286380570077,0.007951406390043703
