m,condition,s_sat,tau_mat,seed,h_cont,h_cog,sync
3,DETERMINISTIC,,,42,3.7062842209776687,0.19345230028391985,-0.0048370328246562936
3,DETERMINISTIC,,,123,3.7229370343347545,0.25022470439147365,0.0019860622428068413
3,DETERMINISTIC,,,777,3.6675108964264456,0.18377197419407026,0.017214348460221494
3,DETERMINISTIC,,,17,3.644525829119171,0.18705518075809593,0.008950709987008712
3,DETERMINISTIC,,,256,3.6369674199940074,0.14664698698577985,0.015047781123047799
3,DETERMINISTIC,,,1337,3.5964132327806966,0.09085140781408846,0.0022511723212806523
3,DETERMINISTIC,,,99,3.6447416800945183,0.1567382820742738,0.0036335910508306177
3,DETERMINISTIC,,,314,3.698135033126235,0.2056805863758273,0.009860780967519573
3,DETERMINISTIC,,,2024,3.6788371792327865,0.1779986402399375,0.012399447850777361
3,DETERMINISTIC,,,888,3.6957331831027918,0.210947373628636,0.007187598343647311
3,s0_tau0,0.0,0,42,3.7566485699876755,0.20230018470229993,-0.005504240124786571
3,s0_tau0,0.0,0,123,3.7631872431455577,0.2852900239713949,-0.00039082952273526207
3,s0_tau0,0.0,0,777,3.7115122637310467,0.20518737636597947,0.014857004094538813
3,s0_tau0,0.0,0,17,3.774274818844482,0.20811627709223085,0.0037380533250743896
3,s0_tau0,0.0,0,256,3.655543398610705,0.13605185620725996,0.005145070950498934
3,s0_tau0,0.0,0,1337,3.6438016416242354,0.10109456971411424,0.025211869479130913
3,s0_tau0,0.0,0,99,3.700011291754482,0.15053566669547025,0.005881849525907279
3,s0_tau0,0.0,0,314,3.7262965062691427,0.18384058396849193,0.0062569590113453625
3,s0_tau0,0.0,0,2024,3.7239458776679353,0.18626232165476797,0.004914122207529284
3,s0_tau0,0.0,0,888,3.770624113721351,0.251347919179923,0.005451063951863962
3,s0_tau1,0.0,1,42,3.7566485699876755,0.20230018470229993,-0.005504240124786575
3,s0_tau1,0.0,1,123,3.7631872431455577,0.2852900239713949,-0.0003908295227352796
3,s0_tau1,0.0,1,777,3.7115122637310467,0.20518737636597947,0.01485700409453883
3,s0_tau1,0.0,1,17,3.774274818844482,0.20811627709223085,0.0037380533250743943
3,s0_tau1,0.0,1,256,3.655543398610705,0.13605185620725996,0.005145070950498936
3,s0_tau1,0.0,1,1337,3.6438016416242354,0.10109456971411424,0.025211869479130913
3,s0_tau1,0.0,1,99,3.700011291754482,0.15053566669547025,0.0058818495259072845
3,s0_tau1,0.0,1,314,3.7262965062691427,0.18384058396849193,0.006256959011345371
3,s0_tau1,0.0,1,2024,3.7239458776679353,0.18626232165476797,0.004914122207529283
3,s0_tau1,0.0,1,888,3.770624113721351,0.251347919179923,0.0054510639518639305
3,s0_tau3,0.0,3,42,3.7591870869696216,0.21504770940876397,0.001325651571271757
3,s0_tau3,0.0,3,123,3.7531775412102992,0.25765867850766466,0.005869636875371888
3,s0_tau3,0.0,3,777,3.743746574250078,0.21348698070987276,0.00898558783273835
3,s0_tau3,0.0,3,17,3.754283112707536,0.19757238683109524,0.010579500000746617
3,s0_tau3,0.0,3,256,3.6443654769521823,0.16134935486708804,0.026202963599903206
3,s0_tau3,0.0,3,1337,3.614694600507114,0.10533054556478852,0.0028165452081186856
3,s0_tau3,0.0,3,99,3.6563274006574313,0.14993375215209184,0.003490404236693657
3,s0_tau3,0.0,3,314,3.733898148882031,0.17176259067799204,0.004038692722446308
3,s0_tau3,0.0,3,2024,3.7255405006480244,0.17928590141583106,0.010991277716318979
3,s0_tau3,0.0,3,888,3.7579634972353193,0.21755910230574538,-0.00010989985810401514
3,s0_tau10,0.0,10,42,3.7429112615778095,0.19572269817056834,0.0019131462196245773
3,s0_tau10,0.0,10,123,3.771613805101665,0.26599910976397295,0.010513410903201218
3,s0_tau10,0.0,10,777,3.721286099289394,0.20921023206019235,0.009392307402390632
3,s0_tau10,0.0,10,17,3.703335320145261,0.20565942527801304,0.009612449101417155
3,s0_tau10,0.0,10,256,3.637841391844122,0.16390517380566158,0.009659421564688046
3,s0_tau10,0.0,10,1337,3.6076262809018234,0.10746506748445507,0.007649191366351006
3,s0_tau10,0.0,10,99,3.6797755471959923,0.14513141660258258,0.003213546015938711
3,s0_tau10,0.0,10,314,3.718599978717162,0.1797576114937521,0.011703483215652635
3,s0_tau10,0.0,10,2024,3.7103615331359263,0.18957758472841338,0.012329354127738803
3,s0_tau10,0.0,10,888,3.743932827356214,0.2238242005109603,0.02145712882991396
3,s0_tau30,0.0,30,42,3.689576576170371,0.20179013983714203,-7.44417488509761e-05
3,s0_tau30,0.0,30,123,3.730979744721567,0.25263137524451756,0.0015641573956947745
3,s0_tau30,0.0,30,777,3.7066081954453813,0.2178560730390465,0.01674112457613801
3,s0_tau30,0.0,30,17,3.6866209145585938,0.2046989731199097,0.01325901954470288
3,s0_tau30,0.0,30,256,3.6020908514551166,0.1497682068035365,0.017319270134347624
3,s0_tau30,0.0,30,1337,3.5786224176104104,0.09048550746779029,0.020430021819533812
3,s0_tau30,0.0,30,99,3.6576348076372702,0.14782251007569885,0.011967725610624659
3,s0_tau30,0.0,30,314,3.7374185088769414,0.19361325281514938,0.016138026901440762
3,s0_tau30,0.0,30,2024,3.688970084166855,0.18611628813888145,0.011367881484471511
3,s0_tau30,0.0,30,888,3.7645879176880515,0.24418097310122894,0.010305165187334408
3,s0_tau100,0.0,100,42,3.7150180556056958,0.17769569182780207,-0.0018568255575310906
3,s0_tau100,0.0,100,123,3.7414852982295117,0.262014675275115,0.005764662516845091
3,s0_tau100,0.0,100,777,3.7024953072981712,0.19935891881495837,0.003113071240706064
3,s0_tau100,0.0,100,17,3.678502177066712,0.18609869150739736,0.010179968242001096
3,s0_tau100,0.0,100,256,3.638844255475019,0.14691503411111473,0.013854104182328682
3,s0_tau100,0.0,100,1337,3.563065534810962,0.08666396343269116,0.008667196054963043
3,s0_tau100,0.0,100,99,3.670344658762651,0.16927178481300853,0.010614760042177082
3,s0_tau100,0.0,100,314,3.692013546641323,0.18985878073526244,0.0003757863656983735
3,s0_tau100,0.0,100,2024,3.635419720829773,0.16133077271927432,0.012499697427990982
3,s0_tau100,0.0,100,888,3.7348594123244743,0.22289402820884988,0.005261001625389119
3,s1_tau0,1.0,0,42,3.70195803614989,0.16174140100160408,-0.004513377820338007
3,s1_tau0,1.0,0,123,3.759799023909959,0.23982410903432358,0.009314884895428761
3,s1_tau0,1.0,0,777,3.707133046674979,0.19085440087438885,0.013438417517995103
3,s1_tau0,1.0,0,17,3.69765913736999,0.16763239910214522,0.007466877980345298
3,s1_tau0,1.0,0,256,3.6135874617680233,0.14054992671897146,0.010083598094005821
