m,condition,s_sat,tau_mat,n_seeds,h_cont_mean,h_cont_std,h_cog_mean,sync_mean
3,DETERMINISTIC,,,10,3.669208570918907,0.03666573145237019,0.18033674367461025,0.007369445952248406
3,s0_tau0,0.0,0,10,3.7225845725356614,0.04374661323953102,0.19100267795519324,0.006556092289836711
3,s0_tau1,0.0,1,10,3.7225845725356614,0.04374661323953102,0.19100267795519324,0.00655609228983671
3,s0_tau3,0.0,3,10,3.714318394001963,0.051557630979777454,0.18689870024409333,0.0074190359905505435
3,s0_tau10,0.0,10,10,3.7037284045265366,0.04741747016393414,0.1886252519898572,0.009744343874691674
3,s0_tau30,0.0,30,10,3.6843110018330565,0.05535028929229713,0.18889632996429012,0.011901795090543748
3,s0_tau100,0.0,100,10,3.6772047967044292,0.0510282555172772,0.1802102341445474,0.006847342214056844
3,s1_tau0,1.0,0,10,3.675149792304952,0.05037308688376823,0.1625637364564362,0.010379040102077151
3,s1_tau1,1.0,1,10,3.675149792304952,0.05037308688376823,0.1625637364564362,0.01037904010207714
3,s1_tau3,1.0,3,10,3.6711397098458236,0.04643672622259291,0.17024715099386006,0.009447007827001554
3,s1_tau10,1.0,10,10,3.6770568663341754,0.04304024774230892,0.16779728846981204,0.008540622910395434
3,s1_tau30,1.0,30,10,3.6542060966641268,0.051575538842168124,0.16104386759790604,0.009966022969969266
3,s1_tau100,1.0,100,10,3.663540215680102,0.03954776882230904,0.161998491935538,0.010404067061258963
3,s3_tau0,3.0,0,10,3.6531257627834948,0.04738597224420533,0.16173900442355432,0.005610387554930555
3,s3_tau1,3.0,1,10,3.6531257627834948,0.04738597224420533,0.16173900442355432,0.005610387554930555
3,s3_tau3,3.0,3,10,3.6570873934204102,0.05718591227158295,0.15948279962444406,0.011400680802684193
3,s3_tau10,3.0,10,10,3.6670111702253876,0.04749868595725494,0.16710869650751625,0.010261474613953936
3,s3_tau30,3.0,30,10,3.65829530644866,0.053396006635017076,0.16269507426687763,0.009210799058344595
3,s3_tau100,3.0,100,10,3.656985860553823,0.05614964711929074,0.16666294065300985,0.011333630561009375
5,DETERMINISTIC,,,10,3.184459611420193,0.06163353159216261,0.0,0.0024546788796685356
5,s0_tau0,0.0,0,10,3.247142509226884,0.06901739638282339,0.0,0.00022958277005087055
5,s0_tau1,0.0,1,10,3.247142509226884,0.06901739638282339,0.0,0.00022958277005087025
5,s0_tau3,0.0,3,10,3.2560632632581545,0.06020601575680977,0.0,0.002065161745773434
5,s0_tau10,0.0,10,10,3.228249953372854,0.07041532725980924,2.693104529863706e-05,0.0022468255380345857
5,s0_tau30,0.0,30,10,3.2038751494569717,0.06347844241477944,0.0,-0.0019183296785107568
5,s0_tau100,0.0,100,10,3.1972533196696626,0.09325563203529597,0.0,0.00031043323218104613
5,s1_tau0,1.0,0,10,3.211746703400324,0.06841512759704228,2.693104529863706e-05,-0.0003309308274265586
5,s1_tau1,1.0,1,10,3.211746703400324,0.06841512759704228,2.693104529863706e-05,-0.00033093082742656434
5,s1_tau3,1.0,3,10,3.221135466732279,0.07190450854861645,0.0,0.004222703353846156
5,s1_tau10,1.0,10,10,3.1953169144831057,0.0749774057661679,0.0,0.002373619793448394
5,s1_tau30,1.0,30,10,3.2009943088224118,0.0693210125582444,0.0,-0.001590887727224406
5,s1_tau100,1.0,100,10,3.1774546466285396,0.048410116107224864,0.0,0.0011712300457397359
5,s3_tau0,3.0,0,10,3.1918708732980594,0.06376437375106062,0.0,0.0010722222919686687
5,s3_tau1,3.0,1,10,3.1918708732980594,0.06376437375106062,0.0,0.0010722222919686687
5,s3_tau3,3.0,3,10,3.2036896204339955,0.07943234856500185,0.0,0.0011298834963961763
5,s3_tau10,3.0,10,10,3.1949997594734905,0.05450084789377481,0.0,-0.0015446319087729153
5,s3_tau30,3.0,30,10,3.1695346481036637,0.05838086932805079,0.0,0.0006966467900387889
5,s3_tau100,3.0,100,10,3.187624328538816,0.06976593687473205,0.0,0.0008656121414265478
