N,m,seed,D,H_cont,LZ_v_mean,dom_freq,ac_lag50,ac_lag100,u_mean
100,3,42,0.0,3.199806909677134,1.0763047027435055,0.017,0.6566011080634324,0.17966181878417337,0.04999999999999999
100,3,123,0.0,3.1070663646826375,1.14606519273614,0.008,0.7515050361049481,0.21915551630438848,0.04999999999999999
100,3,777,0.0,3.1630416203245524,1.1859283298747885,0.0055,0.7108713655186776,0.2058171732713495,0.04999999999999999
100,3,17,0.0,3.2326752864163573,1.0663389184588434,0.004,0.8560450874859153,0.508665654107143,0.04999999999999999
100,3,256,0.0,3.2390737275942585,1.1261336241668158,0.009,0.7303710435132884,0.21743546387626808,0.04999999999999999
100,6,42,0.0,3.199806909677134,1.0763047027435055,0.017,0.6566011080634324,0.17966181878417337,0.04999999999999999
100,6,123,0.0,3.1070663646826375,1.14606519273614,0.008,0.7515050361049481,0.21915551630438848,0.04999999999999999
100,6,777,0.0,3.1630416203245524,1.1859283298747885,0.0055,0.7108713655186776,0.2058171732713495,0.04999999999999999
100,6,17,0.0,3.2326752864163573,1.0663389184588434,0.004,0.8560450874859153,0.508665654107143,0.04999999999999999
100,6,256,0.0,3.2390737275942585,1.1261336241668158,0.009,0.7303710435132884,0.21743546387626808,0.04999999999999999
100,3,42,0.15,1.7884353256539267,1.2158256827287746,0.015,0.5670543576159768,0.014625178821962657,0.13333585806771217
100,3,123,0.15,1.7619872918176016,1.2058598984441125,0.007,0.6573680252199929,0.12594695131132638,0.13782391347152517
100,3,777,0.15,1.7982119112506225,1.4550045055606646,0.012,0.5339527931589579,-0.056981890262755804,0.13667899953759638
100,3,17,0.15,1.79902282840246,1.2756203884367472,0.016,0.6885785924377575,0.18633274585590046,0.13658793400984934
100,3,256,0.15,1.7894422903951983,1.3852440155680301,0.012,0.5901830412595829,-0.11992641027499186,0.1364355178233785
100,6,42,0.15,1.4076217035411809,1.4450387212760027,0.011,0.5857838385329868,0.07738814310227565,0.1972693274965598
100,6,123,0.15,1.4090533149533533,1.1958941141594506,0.015,0.6553426403078448,0.10856808683576474,0.19683390498321718
100,6,777,0.15,1.427886513030096,1.6443544069692444,0.016,0.48995561786015385,-0.10563725835402583,0.1953055413778056
100,6,17,0.15,1.421339106482484,1.2357572512980988,0.016,0.6718723041874356,0.1731746447294205,0.19388758953917562
100,6,256,0.15,1.4475215152732341,1.245723035582761,0.0085,0.6223962250047574,-0.10648316818898473,0.19006845667756003
100,3,42,0.5,1.1899957537249315,1.2357572512980988,0.022,0.4699630001195465,-0.0579255099028118,0.09285705835311774
100,3,123,0.5,1.162902029873233,1.245723035582761,0.007,0.6476246968862673,0.11378314772112151,0.09453930139760967
100,3,777,0.5,1.179274160852542,1.365312446998706,0.019,0.5180648231018132,-0.06207782334570416,0.09414176497411592
100,3,17,0.5,1.1746249979520358,1.3055177412907333,0.016,0.6844007061355659,0.1708825090975658,0.09387250768031612
100,3,256,0.5,1.1845520099613618,1.3553466627140438,0.0085,0.5628826709892304,-0.12498765671571274,0.09401960955579806
100,6,42,0.5,0.783125883480977,1.4749360741299888,0.02,0.5504908601596996,0.04689391424720257,0.12175867695553
100,6,123,0.5,0.8582178295531276,1.1859283298747885,0.008,0.6513368971443827,0.11337384011647908,0.12116057613164694
100,6,777,0.5,0.7647984700282552,1.5147992112686373,0.012,0.492891314372222,-0.11787126225359584,0.12040264326695699
100,6,17,0.5,0.8050660634457272,1.3453808784293817,0.016,0.6599819160352144,0.1646707358137049,0.11957176668249707
100,6,256,0.5,0.8658887800898223,1.3553466627140438,0.0045,0.5970799476486401,-0.11691632705096928,0.11807188913620652
