m,D,seed,H_cont,H_std,LZ_v_mean,cross_corr_drive,ac_lag5,ac_lag50
3,0.0,42,1.2271796175003373,0.3129347519725464,1.2224955885290552,0.9150072807178857,0.986422496868592,0.4576073078439402
3,0.0,123,1.9575713674827215,0.935143448264812,1.1206209561516338,0.03931970267687402,0.99617528850808,0.6844756502313487
3,0.0,777,1.8590045259037862,1.079825213628956,1.044214981868568,0.8219194673738646,0.997749096485123,0.8223831719883548
3,0.0,456,1.9062020343495372,1.0255004977932747,1.0569493109157457,0.6406478530879839,0.9969578753932055,0.7748592083279204
3,0.0,999,1.5216160005281985,0.668821569152028,0.9678090075855019,0.9226547568111738,0.9984624284366641,0.9058585922430358
3,0.15,42,1.057425590931221,0.22635897340990335,1.2224955885290552,0.9152754568744257,0.9864268225162519,0.4574469445832491
3,0.15,123,1.4054612828745636,0.5574554580266541,1.1206209561516338,0.04142712722004667,0.9961122898841076,0.6825584098439267
3,0.15,777,1.342457015662804,0.6210319614816601,1.0569493109157457,0.821818975143292,0.997599641959938,0.8176684683226191
3,0.15,456,1.3675028419991313,0.5971539537920584,1.0569493109157457,0.6414595779031831,0.9968992419085426,0.7747017940031052
3,0.15,999,1.1933703282749937,0.3737782734450979,0.9678090075855019,0.922410889952835,0.9984367829214117,0.9052571015406229
3,0.5,42,0.8702399497806976,0.19293022817875022,1.2224955885290552,0.9155789231120053,0.9864304169571141,0.4575707276618168
3,0.5,123,1.0056159102680888,0.28428809126426424,1.1206209561516338,0.04140753852223417,0.9961075127367597,0.6824613695677801
3,0.5,777,0.9722645255749434,0.3377619061253418,1.0569493109157457,0.8216773707912988,0.9975784414893862,0.8168506734429452
3,0.5,456,0.9815769381618858,0.2981063146606512,1.0696836399629233,0.6414466854866675,0.9969022019137056,0.7751358409654107
3,0.5,999,0.9177361142385604,0.221026661695341,0.9678090075855019,0.9224079712656736,0.9984358392194893,0.9052128999964743
6,0.0,42,1.2271796175003373,0.3129347519725464,1.2224955885290552,0.9150072807178857,0.986422496868592,0.4576073078439402
6,0.0,123,1.9575713674827215,0.935143448264812,1.1206209561516338,0.03931970267687402,0.99617528850808,0.6844756502313487
6,0.0,777,1.8590045259037862,1.079825213628956,1.044214981868568,0.8219194673738646,0.997749096485123,0.8223831719883548
6,0.0,456,1.9062020343495372,1.0255004977932747,1.0569493109157457,0.6406478530879839,0.9969578753932055,0.7748592083279204
6,0.0,999,1.5216160005281985,0.668821569152028,0.9678090075855019,0.9226547568111738,0.9984624284366641,0.9058585922430358
6,0.15,42,0.9375309583531688,0.18938919768692022,1.2352299175762327,0.9155124938977971,0.9864211242539496,0.45760689449059916
6,0.15,123,1.1500622672018954,0.3491615120886771,1.1206209561516338,0.04281161336262141,0.9961077349976994,0.6823077195850551
6,0.15,777,1.102894899343699,0.40367275026937527,1.0696836399629233,0.8218615698973648,0.9975925551133966,0.8173984278690076
6,0.15,456,1.1147341821818642,0.3785556545766439,1.0696836399629233,0.6410256345217143,0.9968810939289693,0.773669005782826
6,0.15,999,1.026774202176879,0.2558224767359949,0.9678090075855019,0.9223762305197606,0.9984353309273093,0.9051869896999954
6,0.5,42,0.6968293250801701,0.23274845969641098,1.2352299175762327,0.9157044344061784,0.986414428616113,0.45774481385391375
6,0.5,123,0.7621039294161174,0.22304150172002007,1.1206209561516338,0.042751762949467254,0.9961085189075445,0.6824010894308546
6,0.5,777,0.7329112497155535,0.24340384385025143,1.0569493109157457,0.8218588185643989,0.9975868925592805,0.8171516901522223
6,0.5,456,0.7451289634637804,0.23516204720870562,1.0696836399629233,0.6409884548332554,0.9968829530137804,0.7738923991199442
6,0.5,999,0.7201982906574332,0.2261968417065936,0.9678090075855019,0.9223914257323056,0.998436115423363,0.9051840553710683
