n_pivots,pct_pivots,m,D,n_seeds,f_drive_wins,f_drive_frac,f_v_mean,f_v_std,ac50_mean,lz_mean,winner_majority
1,1,3,0.0,5,0,0.0,0.006266666666666666,0.0032180049029725782,0.7154972784576165,1.2301361859573618,INTRINSIC
1,1,3,0.15,5,0,0.0,0.007333333333333333,0.002666666666666667,0.6249316201170503,1.3651200738574452,INTRINSIC
1,1,3,0.5,5,0,0.0,0.0084,0.004657133119086128,0.5901707295287382,1.4695415720443017,INTRINSIC
1,1,6,0.0,5,0,0.0,0.0068000000000000005,0.004200529067206231,0.7152420302425457,1.250511112432846,INTRINSIC
1,1,6,0.15,5,0,0.0,0.006533333333333333,0.006623191577077222,0.7669681244297004,1.097699163866714,INTRINSIC
1,1,6,0.5,5,0,0.0,0.007866666666666666,0.004200529067206231,0.6072736966501424,1.365120073857445,INTRINSIC
2,2,3,0.0,5,0,0.0,0.0068000000000000005,0.0033132729706104474,0.7082051287265039,1.2479642466234102,INTRINSIC
2,2,3,0.15,5,0,0.0,0.009466666666666665,0.004676180777800048,0.6037261601252736,1.4135105242367199,INTRINSIC
2,2,3,0.5,5,0,0.0,0.009333333333333334,0.0036514837167011074,0.5667775824329561,1.500103961757528,INTRINSIC
2,2,6,0.0,5,0,0.0,0.0068000000000000005,0.0033132729706104474,0.7078879035563933,1.2505111124328459,INTRINSIC
2,2,6,0.15,5,0,0.0,0.005866666666666667,0.005684286332611255,0.6812328333115496,1.0747773715817943,INTRINSIC
2,2,6,0.5,5,0,0.0,0.012933333333333333,0.00677577383854502,0.5558959878854118,1.4160573900461555,INTRINSIC
3,3,3,0.0,5,0,0.0,0.008266666666666667,0.003515047020390418,0.6967765884953734,1.2759797705272014,INTRINSIC
3,3,3,0.15,5,0,0.0,0.0108,0.006788879796320516,0.5707952351662197,1.5102914249952701,INTRINSIC
3,3,3,0.5,5,0,0.0,0.010933333333333333,0.004044200236827494,0.5331127913927977,1.5357600830896254,INTRINSIC
3,3,6,0.0,5,0,0.0,0.008266666666666667,0.003515047020390418,0.6971009872496412,1.2734329047177657,INTRINSIC
3,3,6,0.15,5,0,0.0,0.005333333333333333,0.004737556801183965,0.7156922423099323,1.1995737962441353,INTRINSIC
3,3,6,0.5,5,0,0.0,0.012933333333333333,0.0076390808056699825,0.5306179668025346,1.5128382908047056,INTRINSIC
4,4,3,0.0,5,0,0.0,0.011199999999999998,0.004279148409568324,0.6805776603179702,1.3243702209064765,INTRINSIC
4,4,3,0.15,5,0,0.0,0.011333333333333334,0.00725718035235908,0.5257878266592029,1.5841505334689008,INTRINSIC
4,4,3,0.5,5,0,0.0,0.013333333333333332,0.006633249580710799,0.45931988008143954,1.6427284470859178,INTRINSIC
4,4,6,0.0,5,0,0.0,0.0104,0.003699849846803096,0.682335240397868,1.3345576841442184,INTRINSIC
4,4,6,0.15,5,0,0.0,0.007066666666666667,0.003960920207336786,0.7019381906351907,1.2708860389083303,INTRINSIC
4,4,6,0.5,5,0,0.0,0.015600000000000003,0.008387821860027522,0.4745323520593967,1.6223535206104334,INTRINSIC
5,5,3,0.0,5,0,0.0,0.013333333333333332,0.004055175020198814,0.6604298964176534,1.3574794764291382,INTRINSIC
5,5,3,0.15,5,0,0.0,0.014533333333333334,0.007444610280076602,0.47463305655592897,1.6198066548009984,INTRINSIC
5,5,3,0.5,5,0,0.0,0.015333333333333332,0.007498147919467994,0.41259486903293113,1.6732908367991441,INTRINSIC
5,5,6,0.0,5,0,0.0,0.014133333333333335,0.005505552752550022,0.6600307354751764,1.3676669396668804,INTRINSIC
5,5,6,0.15,5,0,0.0,0.009866666666666668,0.006278711828251255,0.604127334268462,1.385495000332929,INTRINSIC
5,5,6,0.5,5,0,0.0,0.0188,0.009937582983580844,0.4147702598326674,1.6885720316557573,INTRINSIC
6,6,3,0.0,5,0,0.0,0.016,0.0074833147735478825,0.6371550268643749,1.4262448532838974,INTRINSIC
6,6,3,0.15,5,0,0.0,0.016266666666666665,0.008558296819136646,0.4187615019411103,1.6605565077519668,INTRINSIC
6,6,3,0.5,5,0,0.0,0.019733333333333332,0.010409397463616977,0.3253975956753166,1.7114938239406772,INTRINSIC
6,6,6,0.0,5,0,0.0,0.014933333333333335,0.006491019437140312,0.6365933324304704,1.433885450712204,INTRINSIC
6,6,6,0.15,5,0,0.0,0.013333333333333332,0.008498365855987974,0.6162637618205847,1.4109636584272844,INTRINSIC
6,6,6,0.5,5,1,0.2,0.021733333333333334,0.0092327918012075,0.33413944416078134,1.7242281529878547,INTRINSIC
7,7,3,0.0,5,0,0.0,0.017066666666666667,0.006626545941220895,0.6101685204414441,1.4593541088065596,INTRINSIC
7,7,3,0.15,5,0,0.0,0.019200000000000002,0.00914573367447601,0.35578943824894516,1.7013063607029353,INTRINSIC
7,7,3,0.5,5,1,0.2,0.02146666666666667,0.011209123268322302,0.26774823775146295,1.77261860336713,INTRINSIC
7,7,6,0.0,5,0,0.0,0.017599999999999998,0.006953815898882825,0.6094719926508587,1.4669947062348663,INTRINSIC
7,7,6,0.15,5,0,0.0,0.0092,0.005257798440834761,0.6750028198598945,1.3498388790008318,INTRINSIC
7,7,6,0.5,5,2,0.4,0.0232,0.009881520350859195,0.27603907800407446,1.7828060666048722,INTRINSIC
8,8,3,0.0,5,0,0.0,0.017333333333333333,0.0061824123303304696,0.5925002224129425,1.53321321728019,INTRINSIC
8,8,3,0.15,5,1,0.2,0.02306666666666667,0.011743556152678417,0.29427324905987845,1.777712334986001,INTRINSIC
8,8,3,0.5,5,3,0.6,0.025999999999999995,0.01391242450313947,0.18495199219533967,1.815915322127534,F_DRIVE
8,8,6,0.0,5,0,0.0,0.017866666666666666,0.005932958789676531,0.5808931771096598,1.5179320224235766,INTRINSIC
