condition,seed,input_scale,nrmse,eff_rank
FULL,0,0.1,2.573880,16.0894
FULL,0,0.3,1.828835,13.9357
FULL,0,0.6,1.471038,11.5340
FROZEN_U,0,0.1,1.887554,13.9038
FROZEN_U,0,0.3,6.511531,12.7412
FROZEN_U,0,0.6,4.067749,11.3662
DECOUPLE,0,0.1,2.014237,17.7048
DECOUPLE,0,0.3,2.084528,13.0603
DECOUPLE,0,0.6,2.113261,11.5468
FULL,1,0.1,5.311829,15.5073
FULL,1,0.3,7.507100,14.3273
FULL,1,0.6,1.600868,11.6077
FROZEN_U,1,0.1,3.446813,14.2640
FROZEN_U,1,0.3,2.621749,13.4651
FROZEN_U,1,0.6,8.214774,12.3485
DECOUPLE,1,0.1,4.353901,16.0145
DECOUPLE,1,0.3,1.955435,13.6456
DECOUPLE,1,0.6,1.220777,9.7475
FULL,2,0.1,2.392346,20.8106
FULL,2,0.3,2.070805,17.0033
FULL,2,0.6,2.844086,15.4856
FROZEN_U,2,0.1,5.138553,20.5492
FROZEN_U,2,0.3,3.515989,15.6287
FROZEN_U,2,0.6,4.114566,12.2506
DECOUPLE,2,0.1,1.692426,19.6621
DECOUPLE,2,0.3,3.219329,17.4267
DECOUPLE,2,0.6,1.772140,15.0986
FULL,3,0.1,1.687528,18.3754
FULL,3,0.3,3.832187,13.3400
FULL,3,0.6,2.078433,11.3573
FROZEN_U,3,0.1,1.976496,20.3042
FROZEN_U,3,0.3,2.159256,14.1558
FROZEN_U,3,0.6,4.323023,10.9339
DECOUPLE,3,0.1,3.754342,15.5685
DECOUPLE,3,0.3,2.509083,13.3478
DECOUPLE,3,0.6,1.954044,11.2915
FULL,4,0.1,2.224923,25.6458
FULL,4,0.3,2.962703,16.0957
FULL,4,0.6,2.951253,11.0835
FROZEN_U,4,0.1,2.684680,17.9184
FROZEN_U,4,0.3,5.086752,16.5553
FROZEN_U,4,0.6,4.446898,11.1603
DECOUPLE,4,0.1,3.220149,16.0936
DECOUPLE,4,0.3,1.348701,14.3192
DECOUPLE,4,0.6,1.748118,10.9364
