eta,sigma_C,seed,H_stable
0.1,0.0,0,0.0
0.1,0.0,1,0.0
0.1,0.0,2,0.0
0.1,0.05,0,0.0
0.1,0.05,1,0.0
0.1,0.05,2,0.0
0.1,0.1,0,0.0
0.1,0.1,1,0.0
0.1,0.1,2,0.0
0.1,0.2,0,0.0
0.1,0.2,1,0.0
0.1,0.2,2,0.0
0.1,0.5,0,0.6583750170906618
0.1,0.5,1,0.29354163861461996
0.1,0.5,2,0.10361495069305549
0.3,0.0,0,0.1077743490034461
0.3,0.0,1,0.0790680622403416
0.3,0.0,2,0.10998969184645323
0.3,0.05,0,0.0883229065302401
0.3,0.05,1,0.07392959067932617
0.3,0.05,2,0.08084686434218559
0.3,0.1,0,0.1053870710963851
0.3,0.1,1,0.19141866885236022
0.3,0.1,2,0.0815969387843723
0.3,0.2,0,0.16422854641924195
0.3,0.2,1,0.4758863455997543
0.3,0.2,2,0.12127890099774633
0.3,0.5,0,1.3251937057978904
0.3,0.5,1,1.0273682848251038
0.3,0.5,2,1.623886136272186
0.5,0.0,0,1.3089983575767767
0.5,0.0,1,1.41488997853246
0.5,0.0,2,1.2833723512387398
0.5,0.05,0,1.3109074931289724
0.5,0.05,1,1.4016419756966185
0.5,0.05,2,1.3466275754678487
0.5,0.1,0,1.2370856250953917
0.5,0.1,1,1.4658048600056783
0.5,0.1,2,1.1686818718155452
0.5,0.2,0,1.2699370327882085
0.5,0.2,1,1.5781728207117154
0.5,0.2,2,1.4285934953512576
0.5,0.5,0,1.8250681397908295
0.5,0.5,1,1.5653014410500956
0.5,0.5,2,1.430942882527462
