eta,sigma_C,seed,H_continuous_100bin,H_cognitive_kimi,H_cognitive_legacy
0.1,0.0,0,1.372295,0.102793,0.000000
0.1,0.0,1,1.437869,0.107132,0.000000
0.1,0.0,2,1.388727,0.068285,0.000000
0.1,0.05,0,1.358048,0.056743,0.000000
0.1,0.05,1,1.390188,0.071045,0.000000
0.1,0.05,2,1.408101,0.064329,0.000000
0.1,0.1,0,1.308083,0.041094,0.000000
0.1,0.1,1,1.413645,0.082304,0.000000
0.1,0.1,2,1.350330,0.060514,0.000000
0.1,0.2,0,1.400001,0.081014,0.000000
0.1,0.2,1,1.380398,0.063806,0.000000
0.1,0.2,2,1.398206,0.076672,0.000000
0.1,0.5,0,2.867134,0.778021,0.658375
0.1,0.5,1,2.064211,0.411937,0.293542
0.1,0.5,2,1.826189,0.346148,0.103615
0.3,0.0,0,2.786803,0.726637,0.107774
0.3,0.0,1,2.791730,0.750386,0.079068
0.3,0.0,2,2.811451,0.740513,0.109990
0.3,0.05,0,2.815463,0.766965,0.088323
0.3,0.05,1,2.743255,0.721612,0.073930
0.3,0.05,2,2.780574,0.754737,0.080847
0.3,0.1,0,2.811165,0.734531,0.105387
0.3,0.1,1,2.916380,0.785116,0.191419
0.3,0.1,2,2.736562,0.733898,0.081597
0.3,0.2,0,2.888375,0.753855,0.164229
0.3,0.2,1,3.161831,0.908202,0.475886
0.3,0.2,2,2.836328,0.750131,0.121279
0.3,0.5,0,4.075605,1.190311,1.325194
0.3,0.5,1,3.769137,1.149660,1.027368
0.3,0.5,2,4.562940,1.376816,1.623886
0.5,0.0,0,4.185645,1.265749,1.308998
0.5,0.0,1,4.303955,1.482479,1.414890
0.5,0.0,2,4.240235,1.245865,1.283372
0.5,0.05,0,4.235947,1.284218,1.310907
0.5,0.05,1,4.345511,1.431718,1.401642
0.5,0.05,2,4.244731,1.384700,1.346628
0.5,0.1,0,4.166042,1.205606,1.237086
0.5,0.1,1,4.380666,1.384288,1.465805
0.5,0.1,2,4.203475,1.083975,1.168682
0.5,0.2,0,4.290970,1.348128,1.269937
0.5,0.2,1,4.537774,1.411773,1.578173
0.5,0.2,2,4.409467,1.454765,1.428593
0.5,0.5,0,4.796492,1.578645,1.825068
0.5,0.5,1,4.471982,1.320716,1.565301
0.5,0.5,2,4.483010,1.261566,1.430943
