step,v3_dynamic_heretics_mean,v3_dynamic_heretics_std,v3_total_heretics_mean,v3_total_heretics_std,v3_synchrony_mean,v3_synchrony_std,v3_entropy_mean,v3_entropy_std,v4_dynamic_heretics_mean,v4_dynamic_heretics_std,v4_total_heretics_mean,v4_total_heretics_std,v4_synchrony_mean,v4_synchrony_std,v4_entropy_mean,v4_entropy_std
0,0.0,0.0,15.0,0.0,0.7737012609589271,0.04378179517283758,5.317354811001209,0.05741556478963296,0.0,0.0,15.0,0.0,0.7737012609589271,0.04378179517283758,5.317354811001209,0.05741556478963296
50,0.0,0.0,15.0,0.0,1.7192834427538117,0.039270262518730004,5.062363561613757,0.04165069405814304,0.0,0.0,15.0,0.0,1.7192834427538117,0.039270262518730004,5.062363561613757,0.04165069405814304
100,0.0,0.0,15.0,0.0,1.8303931611804258,0.06651826698915833,4.563281280392237,0.05007596009674059,0.0,0.0,15.0,0.0,1.8303931611804258,0.06651826698915833,4.563281280392237,0.05007596009674059
150,0.0,0.0,15.0,0.0,1.6822700180439032,0.05224681916879545,4.735067399141417,0.12290727227562002,0.0,0.0,15.0,0.0,1.6822700180439032,0.05224681916879545,4.735067399141417,0.12290727227562002
200,0.0,0.0,15.0,0.0,1.8169046664848298,0.018889927146214822,4.694613544876451,0.17318256468153365,0.0,0.0,15.0,0.0,1.8169046664848298,0.018889927146214822,4.694613544876451,0.17318256468153365
250,0.0,0.0,15.0,0.0,1.9513354280481043,0.06354875776117536,4.322398157933941,0.01458660012389569,10.2,2.2271057451320084,25.2,2.2271057451320084,1.967342487194249,0.06626660219730174,4.489272136267029,0.04125287142315281
300,0.0,0.0,15.0,0.0,1.826554949496512,0.08332027462208667,4.4667888033707275,0.05655626356068899,20.8,4.261455150532504,35.8,4.261455150532504,1.871706731700947,0.0883196076772379,4.530386193730505,0.06982966605000343
350,0.0,0.0,15.0,0.0,1.6684336144408873,0.10213120648883764,4.663472463962191,0.09166931292082629,24.0,5.059644256269407,39.0,5.059644256269407,1.7312342572337212,0.11199143487926957,4.733975735900647,0.10545344772780624
400,0.0,0.0,15.0,0.0,1.54173441478348,0.12676047951340796,4.955092947725306,0.1979091608629696,24.4,5.571355310873647,39.4,5.571355310873647,1.6158872610331714,0.1389900065001312,4.984278286423843,0.10493187186580624
450,0.0,0.0,15.0,0.0,1.6878876551710686,0.08835774079894033,5.086817415878724,0.1574865890487016,25.4,5.3516352641038605,40.4,5.3516352641038605,1.7589942131757461,0.1013888170139268,5.165151355820185,0.05205869898720979
500,0.0,0.0,15.0,0.0,1.8446054476050133,0.037576565507294726,5.072789406727068,0.1335405443121649,26.4,5.238320341483518,41.4,5.238320341483518,1.912341959635518,0.0344533694063412,5.136240773636515,0.13998176990630423
550,0.0,0.0,15.0,0.0,1.8762955388441156,0.07055856610747017,5.169104850489229,0.11510970241089188,32.8,6.8527366796047255,47.8,6.8527366796047255,1.9523316433545854,0.06341967471353972,5.219983561514708,0.049980648440609135
600,0.0,0.0,15.0,0.0,1.8828563058173426,0.05175469493692884,5.000784248960099,0.09774311730380061,42.8,7.833262411026456,57.8,7.833262411026456,1.9920397888414036,0.060882904824595,4.9983638917721045,0.0969080165085935
650,0.0,0.0,15.0,0.0,1.9701308418219874,0.03946864382605692,4.6640340490792935,0.14564541674381906,53.2,7.332121111929345,68.2,7.332121111929345,2.101232188255622,0.06277834496866583,4.6401464399842975,0.21664446001621415
700,0.0,0.0,15.0,0.0,2.1087623986059705,0.0992323351064631,4.314235347150712,0.2492605993248243,65.2,4.955804677345547,80.2,4.955804677345547,2.254442332160681,0.0750551032068171,4.307060520539429,0.2660357380770717
750,0.0,0.0,15.0,0.0,2.085609110755139,0.10582857642591509,4.186971623105623,0.28209647860241543,72.4,3.261901286060018,87.4,3.261901286060018,2.2609636411849805,0.085618709805388,4.046612434907229,0.27331909117258457
800,0.0,0.0,15.0,0.0,1.9962669837178009,0.09368613249174418,4.0748248826318845,0.24565295765830283,76.2,2.9257477676655586,91.2,2.9257477676655586,2.1952237210505197,0.07020256947950097,3.9620852777659517,0.23065812689367196
850,0.0,0.0,15.0,0.0,1.9123657658351747,0.0773987899402816,3.9731526087672124,0.23219319049779075,78.8,2.993325909419153,93.8,2.993325909419153,2.132615803961225,0.06534494849123142,3.795607573480679,0.178693492361914
900,0.0,0.0,15.0,0.0,1.8142375172684897,0.061847861247430434,3.9055524682334415,0.2272882033624016,79.8,3.655133376499413,94.8,3.655133376499413,2.0492563852170917,0.05521026231534141,3.6704674668760666,0.19772322637151657
950,0.0,0.0,15.0,0.0,1.7198700477261284,0.05089411525273685,3.8123516986152985,0.22698225708152775,80.6,3.1999999999999997,95.6,3.1999999999999997,1.9714728344986252,0.048791721180718485,3.574270963556542,0.13403058517213587
1000,0.0,0.0,15.0,0.0,1.6396387315445597,0.04328251635751824,3.806620244887346,0.14579939919086712,80.8,2.9933259094191533,95.8,2.9933259094191533,1.9010818407364316,0.04165937440093447,3.4455900451955634,0.11166757042170752
1050,0.0,0.0,15.0,0.0,1.5781797033030838,0.03707798616214677,3.828692568050714,0.09428591501112421,81.4,2.576819745345025,96.4,2.576819745345025,1.8412346672701294,0.03381460349247224,3.363831259977668,0.1215560774143333
1100,0.0,0.0,15.0,0.0,1.5379871898343322,0.032765936245009966,3.8651424769022475,0.12358410293949472,81.4,2.576819745345025,96.4,2.576819745345025,1.7927284339328267,0.027667913566381028,3.23846381098744,0.17929167057926698
1150,0.0,0.0,15.0,0.0,1.5174945038328,0.02312615292547678,3.884264710632838,0.143935073674025,81.4,2.576819745345025,96.4,2.576819745345025,1.7533584143549752,0.021409907952123854,3.0685166398019037,0.13216793967325924
1200,0.0,0.0,15.0,0.0,1.5426313873524902,0.032445326283408765,3.8304362378043884,0.1248440221005659,81.4,2.576819745345025,96.4,2.576819745345025,1.72799519355687,0.024917998879305066,2.9200120469270283,0.1935495257429406
1250,0.0,0.0,15.0,0.0,1.556039370527247,0.04246930972845893,3.7814196704869345,0.15917209133558766,81.4,2.576819745345025,96.4,2.576819745345025,1.7022628797617743,0.022315105528779085,2.7596342435017833,0.21318043372549758
1300,0.0,0.0,15.0,0.0,1.5812648546753187,0.059914296823086605,3.7422358190586835,0.19866603490358603,81.6,2.33238075793812,96.6,2.33238075793812,1.690175658136243,0.02886617621070994,2.752001299179784,0.21076983894607704
1350,0.0,0.0,15.0,0.0,1.597490384582232,0.06967784136655528,3.762796475910099,0.14363261480226927,81.6,2.33238075793812,96.6,2.33238075793812,1.6785805037755903,0.028712542153557865,2.6926904413374144,0.22872764967985967
1400,0.0,0.0,15.0,0.0,1.6026101169266418,0.060345342852637505,3.722360156190578,0.11199131201833097,81.8,2.1354156504062622,96.8,2.1354156504062622,1.6717283073365183,0.028571687688925266,2.688350558744718,0.1960444453781659
1450,0.0,0.0,15.0,0.0,1.5990142836100472,0.047769127895369495,3.773113772301888,0.10737265742705798,82.0,2.0,97.0,2.0,1.6667694714701722,0.02947721498566122,2.680116135706957,0.2016859380654279
1500,0.0,0.0,15.0,0.0,1.5979492432097793,0.038336643375430836,3.750850266357174,0.1852256773629383,82.0,2.0,97.0,2.0,1.6630151065704766,0.02700158425732399,2.618950953653504,0.18447415992833188
1550,0.0,0.0,15.0,0.0,1.5970960215479002,0.03462358281666073,3.731211885291941,0.19233850567335115,82.0,2.0,97.0,2.0,1.6598187456953384,0.024797416154112923,2.594514126755249,0.15857856115085148
1600,0.0,0.0,15.0,0.0,1.5950404609190443,0.036755400747707,3.716036767025173,0.13168456328960781,82.2,1.7204650534085253,97.2,1.7204650534085253,1.6585733470462187,0.02172935848695835,2.5823911380881124,0.20110821573812757
1650,0.0,0.0,15.0,0.0,1.592738630769952,0.0379488465520071,3.6779527315660006,0.07782573693983481,82.4,1.624807680927192,97.4,1.624807680927192,1.6582489315003044,0.020514307604351505,2.586347056591188,0.15030122019862652
1700,0.0,0.0,15.0,0.0,1.5911682590898788,0.0357943085114633,3.62297557598714,0.07015917615456636,82.6,1.624807680927192,97.6,1.624807680927192,1.6584132540824594,0.016691398677635975,2.5851522138645486,0.156130216996899
1750,0.0,0.0,15.0,0.0,1.591830678799284,0.029838998138739685,3.578240677268542,0.09759355242256713,82.6,1.624807680927192,97.6,1.624807680927192,1.656821974354229,0.014576483201063086,2.5791348663486042,0.17524200622226319
