u_threshold,steps_required,heretic_pct_final_mean,heretic_pct_final_std,dynamic_born_final_mean,dynamic_born_final_std,initial_heretics_mean,initial_heretics_std,t_first_mean,t_first_std,t_first_valid_mean,t_sat_mean,t_sat_std,t_sat_valid_mean,entropy_final_mean,entropy_final_std,synchrony_final_mean,synchrony_final_std,u_max_observed_mean,u_max_observed_std
0.9,10,0.92,0.0346,77.0,3.4641,15.0,0.0,132.8,5.9127,132.8,960.0,172.5109,960.0,2.6573,0.2239,1.671,0.0166,1.0,0.0
0.9,50,0.928,0.0312,77.8,3.1241,15.0,0.0,172.8,5.9127,172.8,854.0,44.9889,854.0,2.6472,0.1399,1.6762,0.013,1.0,0.0
0.9,200,0.93,0.0303,78.0,3.0332,15.0,0.0,322.8,5.9127,322.8,1044.0,100.9158,1044.0,2.6482,0.2381,1.6726,0.0148,1.0,0.0
0.92,10,0.908,0.0366,75.8,3.6551,15.0,0.0,136.2,6.1449,136.2,1056.0,249.6878,1056.0,2.7403,0.1788,1.6719,0.0181,1.0,0.0
0.92,50,0.91,0.0379,76.0,3.7947,15.0,0.0,176.2,6.1449,176.2,884.0,73.1027,884.0,2.7268,0.1442,1.6752,0.0106,1.0,0.0
0.92,200,0.906,0.0403,75.6,4.0299,15.0,0.0,326.2,6.1449,326.2,1122.0,191.1439,1122.0,2.6934,0.1174,1.6763,0.0084,1.0,0.0
0.94,10,0.89,0.0283,74.0,2.8284,15.0,0.0,139.4,6.5299,139.4,996.0,159.8249,996.0,2.9144,0.1087,1.6873,0.0083,1.0,0.0
0.94,50,0.88,0.0335,73.0,3.3466,15.0,0.0,179.4,6.5299,179.4,946.0,160.8229,946.0,2.8957,0.171,1.6882,0.0102,1.0,0.0
0.94,200,0.882,0.0426,73.2,4.2615,15.0,0.0,329.4,6.5299,329.4,1152.0,193.6388,1152.0,2.8191,0.1826,1.6838,0.0173,1.0,0.0
0.96,10,0.87,0.042,72.0,4.1952,15.0,0.0,143.2,7.2222,143.2,1350.0,433.5897,1350.0,2.9251,0.1384,1.6933,0.0096,1.0,0.0
0.96,50,0.86,0.0498,71.0,4.98,15.0,0.0,183.2,7.2222,183.2,1078.0,233.1866,1078.0,2.9334,0.1675,1.6947,0.0071,1.0,0.0
0.96,200,0.862,0.0453,71.2,4.5343,15.0,0.0,333.2,7.2222,333.2,1188.0,232.4134,1188.0,2.842,0.1744,1.6959,0.0164,1.0,0.0
0.98,10,0.838,0.044,68.8,4.4,15.0,0.0,146.8,7.8588,146.8,1048.0,287.2908,1048.0,2.9968,0.153,1.6939,0.0102,1.0,0.0
0.98,50,0.842,0.0496,69.2,4.9558,15.0,0.0,186.8,7.8588,186.8,1058.0,298.0872,1058.0,2.9823,0.1594,1.6957,0.0118,1.0,0.0
0.98,200,0.838,0.0511,68.8,5.1147,15.0,0.0,336.8,7.8588,336.8,1244.0,304.539,1244.0,2.8798,0.2299,1.7023,0.022,1.0,0.0
1.0,10,0.812,0.0546,66.2,5.4553,15.0,0.0,151.4,9.0244,151.4,992.0,244.7366,992.0,3.0107,0.1522,1.6996,0.0151,1.0,0.0
1.0,50,0.762,0.0747,61.2,7.4673,15.0,0.0,219.0,10.373,219.0,1366.0,427.813,1366.0,3.1081,0.2035,1.7138,0.0122,1.0,0.0
1.0,200,0.544,0.0659,39.4,6.5909,15.0,0.0,378.6,3.4409,378.6,2092.0,117.3712,2092.0,3.5473,0.0272,1.7302,0.0148,1.0,0.0
1.05,10,0.15,0.0,0.0,0.0,15.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,3.5085,0.1329,1.6093,0.0187,1.0,0.0
1.05,50,0.15,0.0,0.0,0.0,15.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,3.5085,0.1329,1.6093,0.0187,1.0,0.0
1.05,200,0.15,0.0,0.0,0.0,15.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,3.5085,0.1329,1.6093,0.0187,1.0,0.0
1.1,10,0.15,0.0,0.0,0.0,15.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,3.5085,0.1329,1.6093,0.0187,1.0,0.0
1.1,50,0.15,0.0,0.0,0.0,15.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,3.5085,0.1329,1.6093,0.0187,1.0,0.0
1.1,200,0.15,0.0,0.0,0.0,15.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,3.5085,0.1329,1.6093,0.0187,1.0,0.0
1.2,10,0.15,0.0,0.0,0.0,15.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,3.5085,0.1329,1.6093,0.0187,1.0,0.0
1.2,50,0.15,0.0,0.0,0.0,15.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,3.5085,0.1329,1.6093,0.0187,1.0,0.0
1.2,200,0.15,0.0,0.0,0.0,15.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,3.5085,0.1329,1.6093,0.0187,1.0,0.0
1.5,10,0.15,0.0,0.0,0.0,15.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,3.5085,0.1329,1.6093,0.0187,1.0,0.0
1.5,50,0.15,0.0,0.0,0.0,15.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,3.5085,0.1329,1.6093,0.0187,1.0,0.0
1.5,200,0.15,0.0,0.0,0.0,15.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,3.5085,0.1329,1.6093,0.0187,1.0,0.0
2.0,10,0.15,0.0,0.0,0.0,15.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,3.5085,0.1329,1.6093,0.0187,1.0,0.0
2.0,50,0.15,0.0,0.0,0.0,15.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,3.5085,0.1329,1.6093,0.0187,1.0,0.0
2.0,200,0.15,0.0,0.0,0.0,15.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,3.5085,0.1329,1.6093,0.0187,1.0,0.0
