u_threshold,steps_required,heretic_pct_final_mean,heretic_pct_final_std,dynamic_born_final_mean,dynamic_born_final_std,initial_heretics_mean,initial_heretics_std,t_first_mean,t_first_std,t_first_valid_mean,t_sat_mean,t_sat_std,t_sat_valid_mean,entropy_final_mean,entropy_final_std,synchrony_final_mean,synchrony_final_std
0.3,10,1.0,0.0,85.0,0.0,15.0,0.0,50.0,2.1602,50.0,363.3333,28.6744,363.3,2.8236,0.2301,1.6781,0.01
0.3,25,1.0,0.0,85.0,0.0,15.0,0.0,65.0,2.1602,65.0,360.0,28.2843,360.0,2.851,0.0995,1.7014,0.0048
0.3,50,1.0,0.0,85.0,0.0,15.0,0.0,90.0,2.1602,90.0,326.6667,57.9272,326.7,2.8602,0.0387,1.703,0.0037
0.3,100,1.0,0.0,85.0,0.0,15.0,0.0,140.0,2.1602,140.0,400.0,66.8331,400.0,2.8014,0.0911,1.6896,0.0068
0.3,200,1.0,0.0,85.0,0.0,15.0,0.0,240.0,2.1602,240.0,526.6667,79.3025,526.7,2.6201,0.1267,1.6849,0.0121
0.3,500,1.0,0.0,85.0,0.0,15.0,0.0,540.0,2.1602,540.0,846.6667,92.8559,846.7,2.229,0.1745,1.6418,0.0079
0.4,10,1.0,0.0,85.0,0.0,15.0,0.0,63.6667,2.4944,63.7,466.6667,4.714,466.7,2.7917,0.0649,1.7036,0.0069
0.4,25,1.0,0.0,85.0,0.0,15.0,0.0,78.6667,2.4944,78.7,466.6667,4.714,466.7,2.8262,0.0744,1.6965,0.0062
0.4,50,1.0,0.0,85.0,0.0,15.0,0.0,103.6667,2.4944,103.7,486.6667,12.4722,486.7,2.7272,0.1409,1.6837,0.0062
0.4,100,1.0,0.0,85.0,0.0,15.0,0.0,153.6667,2.4944,153.7,526.6667,20.548,526.7,2.6726,0.1381,1.6875,0.0155
0.4,200,1.0,0.0,85.0,0.0,15.0,0.0,253.6667,2.4944,253.7,646.6667,20.548,646.7,2.4136,0.1369,1.6632,0.0054
0.4,500,1.0,0.0,85.0,0.0,15.0,0.0,553.6667,2.4944,553.7,973.3333,16.9967,973.3,2.0387,0.1574,1.6302,0.0134
0.5,10,1.0,0.0,85.0,0.0,15.0,0.0,76.6667,2.4944,76.7,523.3333,18.8562,523.3,2.6236,0.0478,1.6791,0.0218
