N,lambda2_bin,lambda2_mean,U4,H_mean,count
100,1.4,1.4053703121062715,0.6647836736549723,3.2772791576033313,60
100,1.6,1.5951762949653778,0.6638365789798514,3.234865340107063,62
100,1.8,1.8005684171685996,0.6640740049496312,3.1132679332308744,73
100,2.0,1.9931339292766859,0.664153529616771,3.0363242703368623,63
100,2.2,2.1975552343152196,0.6646944579544241,2.984895430916814,62
100,2.4,2.4006332379854336,0.6652154655158479,2.924076757598264,55
100,2.6,2.596232037083217,0.6647450818562133,2.8337718101048432,63
100,2.8,2.8051352193096517,0.6636987380093389,2.806848566002341,48
100,3.0,3.024811441247083,0.6642683358608318,2.782915068821506,43
100,3.2,3.207762400586031,0.664906668256932,2.7289808798231117,35
100,3.4,3.3856063254721667,0.6643852487554156,2.6950457888790154,20
100,3.6,3.5673556046851065,0.6625166951666357,2.661074298664868,8
200,1.2,1.279926844413636,0.6656317390040953,3.35662957327229,10
200,1.4,1.3583387115171792,0.6658781564669722,3.3329899506050857,34
200,1.6,1.5758612540495822,0.6654985188152096,3.3081646558074516,38
200,1.8,1.8030594762105625,0.6654609068625783,3.1711601880907594,35
200,2.0,1.9998322677685334,0.6658014330990141,3.0599386000496915,33
200,2.2,2.2132154352581237,0.6655408366116699,2.9702827882936433,37
200,2.4,2.4100674098172434,0.6649490463923908,2.8867262190926404,48
200,2.6,2.6031755442055835,0.6653532188944122,2.802816239186959,42
200,2.8,2.7678416170350064,0.6644013786066102,2.7271277331282544,21
200,3.0,3.021449831248153,0.6644992611270006,2.7811164797283534,17
200,3.2,3.2010817212742624,0.665274123369193,2.7444914831501266,22
200,3.4,3.405434359266765,0.6635518991448505,2.641613925023614,37
200,3.6,3.576206154795988,0.6655227085991506,2.6313474831052437,35
200,3.8,3.748256070562191,0.66401800371441,2.5919691289844793,6
200,4.0,3.991169715765755,0.6639260531077064,2.601599588338737,21
200,4.2,4.22034681082894,0.6654760845641028,2.5701667250496736,25
200,4.4,4.400792527084447,0.6653124682951366,2.5149681546820326,30
200,4.6,4.58253083410687,0.6652369613410589,2.4743904505647736,21
200,4.8,4.809263932515981,0.6657075609784413,2.4712297431526795,11
200,5.0,4.9519394619198085,0.6643429351604901,2.462117348652176,9
400,1.2,1.2768767846849334,0.6661604324258357,3.3680690037345604,27
400,1.4,1.3225564398465757,0.6663549501123414,3.3674088650251983,13
400,1.6,1.6361310686852903,0.666158665077289,3.1783096072083525,9
400,1.8,1.7683814618524822,0.6661571296387623,3.204806225188871,31
400,2.0,2.0226148641402064,0.6662055723030229,2.9928181896436703,8
400,2.2,2.207323906895579,0.6659713523983556,2.958802136313614,31
400,2.4,2.405286118997555,0.6658632282947013,2.884029508081242,19
400,2.6,2.604271763502172,0.6651240758798462,2.79729155327277,24
400,2.8,2.762546127189721,0.6630708352760114,2.6863741491723387,24
400,3.2,3.235129896415352,0.66612291084796,2.69794379613281,11
400,3.4,3.3958183547833296,0.666023601086041,2.6576700162964673,13
400,3.6,3.6109945149864995,0.6655934394319072,2.6027757064419297,25
400,3.8,3.7489840859028676,0.6665386414365424,2.5549151348610266,6
400,4.2,4.219342807273097,0.6659400786661309,2.6319626524864086,8
400,4.4,4.398026647793313,0.6654440729423707,2.4979419084824093,15
400,4.6,4.588938374585163,0.6657338946745567,2.45981921395933,18
400,4.8,4.78638361688459,0.6645093895504124,2.4140194364215195,7
400,5.0,4.964193396943303,0.6664280279552508,2.4992708789777693,5
800,1.4,1.4541915128655767,0.6664724375531941,3.354440735693418,7
800,1.6,1.6059886932692065,0.666092764496025,3.2948701256735964,32
800,1.8,1.7867444037462827,0.665783644267805,3.1583579695092308,38
800,2.0,2.0023606704144754,0.6659961462103233,3.0496138016607333,37
800,2.2,2.200169559537018,0.6654994447667161,2.9392562463233958,40
800,2.4,2.39412394992682,0.6658950943492408,2.879573149087622,40
800,2.6,2.611924897443748,0.6661434749870621,2.829805431352246,36
800,2.8,2.7468048519259916,0.6663530081507565,2.7545707705444133,8
1600,1.8,1.7789511103745344,0.6661788528811771,3.145393773780662,28
1600,2.0,2.0046234221732737,0.6663339523727789,3.0410473644055047,32
1600,2.2,2.1972800230272678,0.6663246675867529,2.9436329000723593,30
1600,2.4,2.413037323367916,0.6661741779462393,2.8448889557299752,31
1600,2.6,2.589792219239081,0.6662308780881225,2.77607068133748,29
1600,2.8,2.7923191439067514,0.6665585086341734,2.749062975685524,5
