N,c,seed,lambda2,H_stable
100,0.0,2,1.3666579470752394,4.63482533336729
100,0.0,0,1.1655988290222565,4.816731614755519
100,0.0,1,1.3049799406482483,4.5428921064921015
100,2.0,0,1.7987325419417053,3.7386472360532044
100,2.0,1,1.9631028742781444,3.631402920731648
100,2.0,2,1.9090813625999419,3.9640042069901025
100,4.0,0,2.6714307084509596,3.272497765260887
100,4.0,1,2.9860938438829803,3.002515845908342
100,4.0,2,2.6902559334199956,3.186547022960857
100,6.0,0,3.512810558156272,2.806493950524616
100,6.0,1,4.132744734265163,2.754357493142434
100,6.0,2,3.7903756967701154,2.8126391415475975
100,8.0,0,4.056190514885893,2.791831701311874
100,8.0,2,4.988482101963959,2.743784314920863
100,8.0,1,5.0673745448901695,2.6995230430089716
