N,m,lambda2_bin,lambda2_mean,U4,H_mean,H_std,H_var,count
100,1,0.5,0.5714787020065011,0.6632859808066214,4.769568429067803,0.2448180719050536,0.059935888331308,6
100,1,0.75,0.7770376542979953,0.6601575544118553,4.276444836056256,0.3072988644278426,0.09443259207864159,6
100,1,1.25,1.2648221129429538,0.663901445114369,4.064041908174792,0.1848365007042269,0.03416453199258368,5
100,1,1.5,1.520916252909031,0.6639922155793134,3.664288837819734,0.16692610766040725,0.027864325418653874,3
100,1,1.75,1.7081706310759932,0.6526415521984836,3.4433556847003572,0.35015503927800473,0.12260855153178105,8
100,1,2.25,2.2697021940352315,0.6628623210783432,3.3252124242195347,0.17495183774958353,0.030608145531956604,3
100,1,2.5,2.4933245747276107,0.664708365503409,3.1373010941825004,0.12083957590679675,0.014602203105334494,6
100,2,0.5,0.6095366431792025,0.6665969830990423,4.887492660334832,0.03525014501392581,0.0012425727235027984,3
100,2,0.75,0.7587640619110222,0.6655576510587202,4.696231824931163,0.1361524920370366,0.018537501087895317,24
100,2,1.0,1.003827558623954,0.6658558790564648,4.522904652624832,0.11166329847174031,0.01246869222558896,15
100,2,1.25,1.2163060774463248,0.6636406843672694,4.26930485145336,0.21723295436051673,0.04719015646019834,14
100,2,1.5,1.4747172447242005,0.6660692728338236,4.161873552384046,0.08853598145894505,0.00783862001289866,5
100,2,1.75,1.7103362448124153,0.6562482265109466,3.701743157040782,0.32990653808218656,0.10883832386937321,7
100,2,2.0,2.0104731967598157,0.6620640283792182,3.561142284481424,0.20934260553673123,0.04382432649290745,4
100,2,2.25,2.3062985311917625,0.665036306666339,3.288317601244877,0.11373323308179828,0.012935248307238655,3
100,2,2.5,2.5165752296024264,0.656300908211729,3.198854239646525,0.28043233212314367,0.07864229290002515,5
100,2,2.75,2.685390822766039,0.661465926645723,3.144123698614346,0.19310084918298237,0.03728793795518891,3
100,2,3.0,3.019164263292781,0.6654133767676988,3.10585975430581,0.09423992429271653,0.008881163330696943,5
100,2,3.5,3.5234376340019273,0.664842151684644,2.9453871114349846,0.1094061628203563,0.011969708463074312,3
100,2,3.75,3.7240358439079104,0.6650467493948101,2.9514798717103425,0.1034355595987629,0.01069891498950923,4
100,2,4.25,4.241534496666135,0.6658256029172183,2.871770011885444,0.07241623080196942,0.005244110483564104,3
100,5,3.0,3.043701685836602,0.6631655184455836,3.3585488137909527,0.17035478962030456,0.029020754346578227,8
