N,m,c,seed,lambda2,H_stable
100,1,2.0,0,0.5001949717275077,5.020922496088131
100,1,2.5,0,0.5844546224826435,5.0498199944888364
100,1,2.5,5,0.548784828967847,4.8155723452334085
100,1,3.428571428571429,0,0.698927637603761,4.676355753703329
100,1,2.5,2,0.6014004687768024,4.717994011780984
100,1,3.428571428571429,4,0.589876745427304,4.3132082109139
100,1,2.5,1,0.6041605746569024,4.699893515901558
100,1,3.428571428571429,1,0.7994299971750299,4.112676998270528
100,1,4.357142857142858,2,0.8212936515981982,3.7085306332858257
100,1,4.357142857142858,0,0.8992257953048313,4.386900987729613
100,1,3.428571428571429,5,0.7876000328373621,4.480872269489024
100,1,3.428571428571429,2,0.7582418764960082,4.401032938281683
100,1,4.357142857142858,1,1.2464834471957555,3.9213207532320182
100,1,4.357142857142858,4,1.1305038928623126,4.234216050454743
100,1,4.357142857142858,3,0.7967327300776127,4.279200423307149
100,1,4.357142857142858,5,1.2793827239876432,4.315824459710435
100,1,5.285714285714286,0,1.3810101487557582,3.754206443781624
100,1,5.285714285714286,3,0.9027621124069906,4.184378269565149
100,1,5.285714285714286,1,1.6390298146336015,3.5243811686221305
100,1,5.285714285714286,2,1.6610287768338032,3.6808022300837147
100,1,5.285714285714286,4,1.2988831164399723,3.8266657711901098
100,1,5.285714285714286,5,1.3688573842290843,4.022182506286652
100,1,6.214285714285714,3,1.7238342341348136,4.125691741726344
100,1,6.214285714285714,0,1.6185802442193782,3.430299333016195
100,1,6.214285714285714,1,2.628907176920073,3.1954069393693847
100,1,6.214285714285714,5,2.243111435984089,3.5718080416073055
100,1,6.214285714285714,4,1.5631583657519565,3.8083607366613834
100,1,6.214285714285714,2,2.2565776814494316,3.1844455167568815
100,1,7.142857142857143,2,2.435450274070225,3.1811236142017627
100,1,7.142857142857143,3,1.789619579765641,3.47033671178679
100,1,7.142857142857143,1,2.8379088902221508,3.0442938229101077
100,1,7.142857142857143,0,2.309417464672175,3.2193837142944166
100,1,7.142857142857143,5,2.4043815754275912,3.323664685161877
100,1,8.071428571428571,1,3.3007262437367815,2.8319063425710276
100,1,8.071428571428571,5,2.5892966880728845,3.069573149184153
