t_fou,t_sage,seed,valid_frac,coverage,sharpness,consec_dist
300,350,0,1.0000,4,0.9983,0.2157
300,350,1,0.9167,5,0.9967,0.2414
300,350,2,1.0000,6,0.9983,0.2974
300,350,3,1.0000,3,1.0000,0.2287
300,350,4,0.9167,2,0.9992,0.2157
300,350,5,1.0000,3,0.9992,0.2370
300,350,6,1.0000,3,0.9983,0.1908
300,350,7,0.9167,4,0.9975,0.2322
300,400,0,1.0000,8,0.9967,0.3253
300,400,1,0.8333,7,0.9975,0.3210
300,400,2,1.0000,7,0.9983,0.3477
300,400,3,1.0000,4,0.9992,0.2267
300,400,4,1.0000,4,0.9967,0.1866
300,400,5,1.0000,4,0.9967,0.2000
300,400,6,1.0000,3,0.9992,0.1926
300,400,7,0.9167,5,0.9983,0.2705
300,450,0,1.0000,11,0.9967,0.5501
300,450,1,0.8333,7,0.9992,0.3693
300,450,2,0.8333,8,0.9983,0.4879
300,450,3,0.7500,7,0.9967,0.4294
300,450,4,0.9167,5,0.9967,0.2577
300,450,5,0.9167,9,0.9958,0.4091
300,450,6,1.0000,8,0.9983,0.4371
300,450,7,0.8333,7,0.9975,0.4089
300,500,0,0.2500,3,0.9942,0.4718
300,500,1,0.1667,1,0.9992,0.4435
300,500,2,0.1667,2,0.9983,0.5022
300,500,3,0.2500,2,0.9992,0.4483
300,500,4,0.2500,1,1.0000,0.4562
300,500,5,0.1667,2,0.9975,0.3072
300,500,6,0.1667,2,0.9967,0.3955
300,500,7,0.1667,2,0.9975,0.4887
500,350,0,1.0000,4,0.9983,0.2616
500,350,1,1.0000,5,0.9983,0.2707
500,350,2,1.0000,7,0.9967,0.2804
500,350,3,1.0000,6,0.9967,0.2573
500,350,4,1.0000,5,0.9992,0.2390
500,350,5,1.0000,5,0.9975,0.2211
500,350,6,1.0000,5,0.9958,0.2187
500,350,7,1.0000,5,0.9975,0.2046
500,400,0,1.0000,8,0.9992,0.3194
500,400,1,0.9167,6,0.9950,0.3462
500,400,2,1.0000,9,0.9975,0.4069
500,400,3,1.0000,5,0.9983,0.2075
500,400,4,1.0000,9,0.9942,0.3465
500,400,5,1.0000,5,0.9983,0.2585
500,400,6,1.0000,7,0.9983,0.3201
500,400,7,1.0000,8,0.9967,0.2835
500,450,0,0.6667,6,0.9958,0.4475
500,450,1,0.6667,7,0.9967,0.3924
500,450,2,0.7500,6,0.9967,0.3898
500,450,3,0.5833,5,0.9967,0.4550
500,450,4,0.6667,6,0.9967,0.3812
500,450,5,0.7500,5,0.9992,0.3726
500,450,6,0.7500,9,0.9958,0.4718
500,450,7,0.8333,6,0.9992,0.3736
500,500,0,0.3333,4,0.9967,0.5239
500,500,1,0.3333,4,0.9983,0.5387
500,500,2,0.3333,3,0.9958,0.4431
500,500,3,0.4167,5,0.9967,0.3950
500,500,4,0.3333,3,0.9958,0.4614
500,500,5,0.2500,1,0.9958,0.3088
500,500,6,0.2500,3,0.9983,0.4349
500,500,7,0.3333,3,0.9992,0.4975
