t_fou,t_sage,seed,valid_frac,coverage,sharpness,consec_dist
100,150,0,0.3333,1,0.9992,0.3108
100,150,1,0.0833,1,0.9992,0.2697
100,150,2,0.2500,1,0.9992,0.3019
100,150,3,0.2500,1,0.9983,0.3232
100,150,4,0.3333,1,0.9992,0.2969
100,300,0,0.5000,3,0.9983,0.3601
100,300,1,0.4167,1,1.0000,0.3135
100,300,2,0.3333,1,1.0000,0.3612
100,300,3,0.3333,1,0.9992,0.3456
100,300,4,0.3333,1,1.0000,0.3600
100,400,0,0.8333,4,0.9983,0.2609
100,400,1,1.0000,5,0.9975,0.2374
100,400,2,0.7500,6,0.9967,0.3121
100,400,3,0.9167,2,1.0000,0.2317
100,400,4,0.8333,5,0.9967,0.3211
100,600,0,1.0000,9,0.9958,0.3691
100,600,1,0.0000,0,0.9975,0.4348
100,600,2,1.0000,6,1.0000,0.3746
100,600,3,1.0000,8,0.9967,0.4275
100,600,4,1.0000,8,0.9967,0.3148
200,150,0,0.3333,1,0.9983,0.3527
200,150,1,0.2500,1,0.9975,0.3068
200,150,2,0.3333,1,0.9983,0.3326
200,150,3,0.3333,1,0.9983,0.3437
200,150,4,0.2500,1,0.9975,0.3298
200,300,0,0.1667,1,1.0000,0.2301
200,300,1,0.1667,1,0.9992,0.2229
200,300,2,0.0000,0,0.9992,0.1874
200,300,3,0.0000,0,0.9992,0.1840
200,300,4,0.0000,0,1.0000,0.1725
200,400,0,1.0000,8,0.9950,0.2698
200,400,1,1.0000,4,0.9983,0.2321
200,400,2,1.0000,8,0.9975,0.3117
200,400,3,1.0000,5,0.9975,0.2842
200,400,4,1.0000,5,0.9975,0.2625
200,600,0,0.2500,3,0.9975,0.3893
200,600,1,0.1667,2,0.9975,0.3476
200,600,2,0.1667,2,0.9967,0.3475
200,600,3,0.4167,3,1.0000,0.3463
200,600,4,0.3333,3,0.9992,0.3421
300,150,0,0.3333,1,0.9983,0.2643
300,150,1,0.5000,1,1.0000,0.3210
300,150,2,0.5000,1,1.0000,0.2994
300,150,3,0.3333,1,0.9992,0.2955
300,150,4,0.5000,1,1.0000,0.3223
300,300,0,0.9167,4,0.9967,0.2013
300,300,1,0.9167,3,0.9975,0.1972
300,300,2,0.9167,3,0.9992,0.2306
300,300,3,0.9167,2,0.9983,0.1983
300,300,4,0.8333,2,0.9983,0.1946
300,400,0,1.0000,8,0.9967,0.3253
300,400,1,0.8333,7,0.9975,0.3210
300,400,2,1.0000,7,0.9983,0.3477
300,400,3,1.0000,4,0.9992,0.2267
300,400,4,1.0000,4,0.9967,0.1866
300,600,0,0.0833,1,0.9992,0.3966
300,600,1,0.2500,2,0.9992,0.3130
300,600,2,0.2500,3,0.9992,0.3486
300,600,3,0.2500,2,0.9975,0.4029
300,600,4,0.1667,2,0.9975,0.3465
500,150,0,0.0833,1,0.9950,0.1530
500,150,1,0.2500,1,0.9967,0.1734
500,150,2,0.0000,0,0.9925,0.1398
500,150,3,0.0000,0,0.9958,0.1440
500,150,4,0.0000,0,0.9958,0.1341
500,300,0,1.0000,2,1.0000,0.1976
500,300,1,0.9167,3,0.9992,0.2129
500,300,2,1.0000,4,0.9983,0.2031
500,300,3,1.0000,2,0.9992,0.1809
500,300,4,1.0000,1,1.0000,0.1637
500,400,0,1.0000,8,0.9992,0.3194
500,400,1,0.9167,6,0.9950,0.3462
500,400,2,1.0000,9,0.9975,0.4069
500,400,3,1.0000,5,0.9983,0.2075
500,400,4,1.0000,9,0.9942,0.3465
500,600,0,0.0000,0,0.9975,0.3174
500,600,1,0.1667,2,0.9992,0.3612
500,600,2,0.1667,2,0.9983,0.3438
500,600,3,0.0833,1,1.0000,0.3293
500,600,4,0.0833,1,0.9983,0.3429
800,150,0,0.3333,1,0.9950,0.1482
800,150,1,0.6667,2,0.9958,0.1558
800,150,2,0.3333,1,0.9942,0.1412
800,150,3,0.3333,1,0.9942,0.1456
800,150,4,0.3333,1,0.9933,0.1344
800,300,0,0.9167,1,1.0000,0.1921
800,300,1,1.0000,4,0.9983,0.2217
800,300,2,1.0000,2,0.9983,0.1691
800,300,3,1.0000,2,0.9992,0.1691
800,300,4,1.0000,3,0.9992,0.1897
800,400,0,0.9167,9,0.9975,0.3610
800,400,1,1.0000,9,0.9958,0.3707
800,400,2,1.0000,5,1.0000,0.2956
800,400,3,1.0000,8,0.9958,0.4219
800,400,4,1.0000,4,0.9983,0.2821
800,600,0,0.0833,1,0.9983,0.2854
800,600,1,0.0000,0,0.9975,0.3171
800,600,2,0.0833,1,1.0000,0.2766
800,600,3,0.0000,0,0.9983,0.2979
800,600,4,0.0000,0,0.9983,0.2748
